Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnext50,L0,3584,85248,65109.8,1776,2.7277e+07,2.69385e+14,2.11706e+09,127,121.553,127,1,127,23296,384,1,1,155952,12288,2.32531e+12,151400448,4380.72,4748.08,80.3712,2.11706e+09,151400448, 9441216, 9441216, 155952, 16.0361, 151400448, 913408, 913408, 12288, 165.753, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 1776, 13.9843
resnext50,L1,3584,28672,357665,896,2.50513e+06,2.69385e+14,2.11706e+09,896,896,896,1,896,1936,6,1,1,200704,8192,7.18272e+10,25690112,4380.72,74.1888,6.6792,2.11706e+09,25690112, 1605240, 1605240, 200704, 16.0039, 25690112, 451712, 451712, 8192, 56.8728, 25690112, 25690112, 401408, 25690112, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L2,3584,15925248,1.14222e+07,864,75642.1,2.69385e+14,2.11708e+09,96,96,96,1,96,95616,1728,1,1,12845056,4718592,1.20462e+12,13759414272,4380.72,21366.4,329.875,2.11706e+09,13759414272, 859854528, 859854528, 12845056, 16.002, 13759414272, 252850176, 252850176, 4718592, 54.4173, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 864, 12.3429
resnext50,L3,3584,114688,2.21735e+07,896,40408.6,2.69385e+14,2.11706e+09,896,896,896,1,896,1936,6,1,1,401408,32768,4.63438e+09,102760448,4380.72,74.1888,6.6792,2.11706e+09,102760448, 6421688, 6421688, 401408, 16.0021, 102760448, 1820928, 1820928, 32768, 56.433, 102760448, 102760448, 802816, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L4,3584,57344,400472,896,2.23736e+06,2.69385e+14,2.11706e+09,896,896,896,1,896,1936,6,1,1,200704,16384,1.28299e+11,51380224,4380.72,74.1888,6.6792,2.11706e+09,51380224, 3210424, 3210424, 200704, 16.0042, 51380224, 903424, 903424, 16384, 56.8728, 51380224, 51380224, 802816, 51380224, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L5,3584,14336,11861,56,4.72135e+06,2.69385e+14,2.11706e+09,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,4380.72,74.1888,0.7797,2.11706e+09,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnext50,L6,3584,114688,480286,896,1.86555e+06,2.69385e+14,2.11706e+09,896,896,896,1,896,1936,6,1,1,802816,32768,2.13957e+11,102760448,4380.72,74.1888,6.6792,2.11706e+09,102760448, 6422136, 6422136, 802816, 16.001, 102760448, 1827968, 1827968, 32768, 56.2157, 102760448, 102760448, 401408, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L7,3584,15925248,1.15437e+07,864,74845.8,2.69385e+14,2.11708e+09,96,96,96,1,96,95616,1728,1,1,12845056,4718592,1.19194e+12,13759414272,4380.72,21366.4,329.875,2.11706e+09,13759414272, 859854528, 859854528, 12845056, 16.002, 13759414272, 252850176, 252850176, 4718592, 54.4173, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 864, 12.3429
resnext50,L8,3584,114688,2.21735e+07,896,40408.6,2.69385e+14,2.11706e+09,896,896,896,1,896,1936,6,1,1,401408,32768,4.63438e+09,102760448,4380.72,74.1888,6.6792,2.11706e+09,102760448, 6421688, 6421688, 401408, 16.0021, 102760448, 1820928, 1820928, 32768, 56.433, 102760448, 102760448, 802816, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L9,3584,14336,11861,56,4.72135e+06,2.69385e+14,2.11706e+09,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,4380.72,74.1888,0.7797,2.11706e+09,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnext50,L10,3584,114688,480286,896,1.86555e+06,2.69385e+14,2.11706e+09,896,896,896,1,896,1936,6,1,1,802816,32768,2.13957e+11,102760448,4380.72,74.1888,6.6792,2.11706e+09,102760448, 6422136, 6422136, 802816, 16.001, 102760448, 1827968, 1827968, 32768, 56.2157, 102760448, 102760448, 401408, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L11,3584,15925248,1.15437e+07,864,74845.8,2.69385e+14,2.11708e+09,96,96,96,1,96,95616,1728,1,1,12845056,4718592,1.19194e+12,13759414272,4380.72,21366.4,329.875,2.11706e+09,13759414272, 859854528, 859854528, 12845056, 16.002, 13759414272, 252850176, 252850176, 4718592, 54.4173, 13759414272, 13759414272, 1528823808, 1528823808, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 864, 12.3429
resnext50,L12,3584,114688,2.21735e+07,896,40408.6,2.69385e+14,2.11706e+09,896,896,896,1,896,1936,6,1,1,401408,32768,4.63438e+09,102760448,4380.72,74.1888,6.6792,2.11706e+09,102760448, 6421688, 6421688, 401408, 16.0021, 102760448, 1820928, 1820928, 32768, 56.433, 102760448, 102760448, 802816, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L13,3584,14336,11861,56,4.72135e+06,2.69385e+14,2.11706e+09,57,56.0001,57,1,57,226,6,1,1,802816,256,6.76852e+10,802816,4380.72,74.1888,0.7797,2.11706e+09,802816, 802561, 802561, 802816, 1.00032, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnext50,L14,3584,229376,955585,896,937646,2.69385e+14,2.11706e+09,896,896,896,1,896,1936,6,1,1,802816,65536,2.15073e+11,205520896,4380.72,74.1888,6.6792,2.11706e+09,205520896, 12844216, 12844216, 802816, 16.001, 205520896, 3655936, 3655936, 65536, 56.2157, 205520896, 205520896, 802816, 205520896, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
resnext50,L15,3584,31850496,1.93044e+07,432,22378.3,2.69385e+14,2.11708e+09,94,94.2222,94,1,94,79424,1728,1,1,25690112,18874368,7.1276e+11,13759414272,4380.72,21366.4,274.013,2.11706e+09,13759414272, 881077536, 881077536, 25690112, 15.6166, 13759414272, 507691008, 507691008, 18874368, 27.1019, 13759414272, 13759414272, 6115295232, 3001024512, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 448, 9.89313
resnext50,L16,3584,229376,2.22876e+07,448,20100.9,2.69385e+14,2.11706e+09,448,448,448,1,448,984,6,1,1,200704,131072,4.61066e+09,102760448,4380.72,74.1888,3.3948,2.11706e+09,102760448, 6421660, 6421660, 200704, 16.0022, 102760448, 3656192, 3656192, 131072, 28.1059, 102760448, 102760448, 401408, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 10.1818
resnext50,L17,3584,1990656,1.34556e+06,432,321057,2.69385e+14,2.11706e+09,94,94.2222,94,1,94,2482,54,1,1,802816,1179648,6.39113e+11,859963392,4380.72,667.699,8.5629,2.11706e+09,859963392, 55067097, 55067097, 802816, 15.6166, 859963392, 31730688, 31730688, 1179648, 27.1019, 859963392, 859963392, 1492992, 187564032, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 448, 9.89313
resnext50,L18,3584,14336,5932.16,28,4.72004e+06,2.69385e+14,2.11706e+09,29,28.0001,29,1,29,114,6,1,1,401408,512,6.76665e+10,401408,4380.72,74.1888,0.3933,2.11706e+09,401408, 400897, 400897, 401408, 1.00127, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
resnext50,L19,3584,229376,486068,448,921682,2.69385e+14,2.11706e+09,448,448,448,1,448,984,6,1,1,401408,131072,2.11412e+11,102760448,4380.72,74.1888,3.3948,2.11706e+09,102760448, 6422108, 6422108, 401408, 16.001, 102760448, 3663104, 3663104, 131072, 28.0528, 102760448, 102760448, 200704, 102760448, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 10.1818
resnext50,L20,3584,30670848,1.18445e+07,416,35121.8,2.69385e+14,2.11708e+09,46,46.2222,46,1,46,50816,1728,1,1,6422528,18874368,1.07722e+12,12759072768,4380.72,21366.4,175.315,2.11706e+09,12759072768, 797329728, 797329728, 6422528, 16.0023, 12759072768, 488890368, 488890368, 18874368, 26.098, 12759072768, 12759072768, 1417674752, 1417674752, 1, 0, 0, 0, 0, 0, 0, 288, 288, 288, 416, 9.90476
