DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,73,77221071.28229201,8310515772.732429,3895.933526991349,119212211.53171553,29 64,pass
1,0,0.0,0.0,0.0,0.0,1 48,pass
2,0,0.0,0.0,0.0,0.0,1 44,pass
3,0,0.0,0.0,0.0,0.0,1 40,pass
4,0,0.0,0.0,0.0,0.0,1 36,pass
5,0,0.0,0.0,0.0,0.0,1 32,pass
6,0,0.0,0.0,0.0,0.0,1 28,pass
7,0,0.0,0.0,0.0,0.0,1 24,pass
8,0,0.0,0.0,0.0,0.0,1 20,pass
9,0,0.0,0.0,0.0,0.0,1 16,pass
10,1,477626.20021281455,34918133.49887575,17.588999484969232,2111223.703628158,2 48,pass
11,1,477626.20021281455,34918133.49887575,17.588999484969232,2111223.703628158,2 44,pass
12,1,477626.20021281455,34918133.49887575,17.588999484969232,2111223.703628158,2 40,pass
13,1,477626.20021281455,34918133.49887575,17.588999484969232,2111223.703628158,2 36,pass
14,1,477626.20021281455,34918133.49887575,17.588999484969232,2111223.703628158,2 32,pass
15,1,477626.20021281455,34918133.49887575,17.588999484969232,2111223.703628158,2 28,pass
16,1,477626.20021281455,34918133.49887575,17.588999484969232,2111223.703628158,2 24,pass
17,1,477626.20021281455,34918133.49887575,17.588999484969232,2111223.703628158,2 20,pass
18,1,477626.20021281455,34918133.49887575,17.588999484969232,2111223.703628158,2 16,pass
19,3,968784.87389936,6966167633.025713,3508.9957037977283,15752211.768477269,3 48,pass
20,3,969517.9648084508,6966167633.025713,3508.9957037977283,15752211.768477269,3 44,pass
21,3,970397.67389936,6966167633.025713,3508.9957037977283,15752211.768477269,3 40,pass
22,3,971472.87389936,6966167633.025713,3508.9957037977283,15752211.768477269,3 36,pass
23,3,972816.87389936,6966167633.025713,3508.9957037977283,15752211.768477269,3 32,pass
24,3,974544.87389936,6966167633.025713,3508.9957037977283,15752211.768477269,3 28,pass
25,3,976848.87389936,6966167633.025713,3508.9957037977283,15752211.768477269,3 24,pass
26,3,980074.47389936,6966167633.025713,3508.9957037977283,15752211.768477269,3 20,pass
27,3,984912.87389936,6966167633.025713,3508.9957037977283,15752211.768477269,3 16,pass
28,11,10904944.259778067,7402644301.76166,3728.755781931678,68846494.47179472,4 48,pass
29,11,10905677.350687156,7402644301.76166,3728.755781931678,68846494.47179472,4 44,pass
30,11,10906557.059778066,7402644301.76166,3728.755781931678,68846494.47179472,4 40,pass
31,11,10907632.259778067,7402644301.76166,3728.755781931678,68846494.47179472,4 36,pass
32,11,10908976.259778067,7402644301.76166,3728.755781931678,68846494.47179472,4 32,pass
