DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,73,1363875.0,746672.978,25690900000000.0,201903000.0,1024 16,pass
1,0,0.0,0.0,1214280000000.0,,192 4,fail
2,0,0.0,0.0,2428530000000.0,,192 8,fail
3,0,0.0,0.0,1214280000000.0,,192 4,fail
4,0,0.0,0.0,2428530000000.0,,192 8,fail
5,0,0.0,0.0,1214280000000.0,,192 4,fail
6,0,0.0,0.0,2428530000000.0,,192 8,fail
7,0,0.0,0.0,1214280000000.0,,192 4,fail
8,0,0.0,0.0,2428530000000.0,,192 8,fail
9,0,0.0,0.0,1214280000000.0,,192 4,fail
10,0,0.0,0.0,2428530000000.0,,192 8,fail
11,0,0.0,0.0,1214280000000.0,,192 4,fail
12,0,0.0,0.0,2428530000000.0,,192 8,fail
13,0,0.0,0.0,1214280000000.0,,192 4,fail
14,0,0.0,0.0,2428530000000.0,,192 8,fail
15,0,0.0,0.0,1214280000000.0,,192 4,fail
16,0,0.0,0.0,2428530000000.0,,192 8,fail
17,0,0.0,0.0,1214280000000.0,,192 4,fail
18,0,0.0,0.0,2428530000000.0,,192 8,fail
19,0,0.0,0.0,1214280000000.0,,192 4,fail
20,0,0.0,0.0,2428530000000.0,,192 8,fail
21,0,0.0,0.0,1214280000000.0,,192 4,fail
22,0,0.0,0.0,2428530000000.0,,192 8,fail
23,0,0.0,0.0,1214280000000.0,,192 4,fail
24,0,0.0,0.0,2428530000000.0,,192 8,fail
25,0,0.0,0.0,1214280000000.0,,192 4,fail
26,0,0.0,0.0,2428530000000.0,,192 8,fail
27,0,0.0,0.0,1214280000000.0,,192 4,fail
28,0,0.0,0.0,2428530000000.0,,192 8,fail
29,0,0.0,0.0,1214280000000.0,,192 4,fail
30,0,0.0,0.0,2428530000000.0,,192 8,fail
31,0,0.0,0.0,1214280000000.0,,192 4,fail
32,0,0.0,0.0,2428530000000.0,,192 8,fail
33,0,0.0,0.0,1214280000000.0,,192 4,fail
34,0,0.0,0.0,2428530000000.0,,192 8,fail
35,0,0.0,0.0,1214280000000.0,,192 4,fail
36,0,0.0,0.0,2428530000000.0,,192 8,fail
37,0,0.0,0.0,1214280000000.0,,192 4,fail
38,0,0.0,0.0,2428530000000.0,,192 8,fail
39,0,0.0,0.0,4419630000000.0,,704 4,fail
40,0,0.0,0.0,8839010000000.0,,704 8,fail
41,0,0.0,0.0,4419630000000.0,,704 4,fail
42,0,0.0,0.0,8839010000000.0,,704 8,fail
43,0,0.0,0.0,4419630000000.0,,704 4,fail
44,0,0.0,0.0,8839010000000.0,,704 8,fail
45,0,0.0,0.0,4419630000000.0,,704 4,fail
46,0,0.0,0.0,8839010000000.0,,704 8,fail
47,0,0.0,0.0,4419630000000.0,,704 4,fail
48,0,0.0,0.0,8839010000000.0,,704 8,fail
49,0,0.0,0.0,4419630000000.0,,704 4,fail
50,0,0.0,0.0,8839010000000.0,,704 8,fail
51,0,0.0,0.0,4419630000000.0,,704 4,fail
52,0,0.0,0.0,8839010000000.0,,704 8,fail
53,0,0.0,0.0,4419630000000.0,,704 4,fail
54,0,0.0,0.0,8839010000000.0,,704 8,fail
55,0,0.0,0.0,4419630000000.0,,704 4,fail
56,0,0.0,0.0,8839010000000.0,,704 8,fail
57,0,0.0,0.0,4419630000000.0,,704 4,fail
58,0,0.0,0.0,8839010000000.0,,704 8,fail
59,0,0.0,0.0,4419630000000.0,,704 4,fail
60,0,0.0,0.0,8839010000000.0,,704 8,fail
61,0,0.0,0.0,4419630000000.0,,704 4,fail
62,0,0.0,0.0,8839010000000.0,,704 8,fail
63,0,0.0,0.0,4419630000000.0,,704 4,fail
64,0,0.0,0.0,8839010000000.0,,704 8,fail
65,0,0.0,0.0,4419630000000.0,,704 4,fail
66,0,0.0,0.0,8839010000000.0,,704 8,fail
67,0,0.0,0.0,4419630000000.0,,704 4,fail
68,0,0.0,0.0,8839010000000.0,,704 8,fail
69,0,0.0,0.0,4419630000000.0,,704 4,fail
70,0,0.0,0.0,8839010000000.0,,704 8,fail
71,0,0.0,0.0,4419630000000.0,,704 4,fail
72,0,0.0,0.0,8839010000000.0,,704 8,fail
73,0,0.0,0.0,4419630000000.0,,704 4,fail
74,0,0.0,0.0,8839010000000.0,,704 8,fail
75,0,0.0,0.0,4419630000000.0,,704 4,fail
76,0,0.0,0.0,8839010000000.0,,704 8,fail
