latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
77048419.78229192,8310675308.12743,3895.974841236349,119212211.53171548,0,74,23 64,pass
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,1,72,5 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,2,72,5 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,3,72,5 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,4,72,5 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,5,72,5 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,6,72,5 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,7,72,5 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,8,72,5 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,9,72,5 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,10,72,5 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,11,72,5 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,12,72,6 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,13,72,6 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,14,72,6 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,15,72,6 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,16,72,6 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,17,72,6 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,18,72,6 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,19,72,6 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,20,72,6 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,21,72,6 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,22,72,6 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,23,72,7 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,24,72,7 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,25,72,7 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,26,72,7 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,27,72,7 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,28,72,7 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,29,72,7 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,30,72,7 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,31,72,7 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,32,72,7 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,33,72,7 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,34,72,8 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,35,72,8 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,36,72,8 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,37,72,8 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,38,72,8 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,39,72,8 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,40,72,8 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,41,72,8 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,42,72,8 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,43,72,8 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,44,72,8 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,45,72,9 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,46,72,9 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,47,72,9 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,48,72,9 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,49,72,9 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,50,72,9 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,51,72,9 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,52,72,9 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,53,72,9 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,54,72,9 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,55,72,9 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,56,72,10 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,57,72,10 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,58,72,10 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,59,72,10 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,60,72,10 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,61,72,10 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,62,72,10 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,63,72,10 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,64,72,10 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,65,72,10 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,66,72,10 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,67,72,11 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,68,72,11 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,69,72,11 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,70,72,11 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,71,72,11 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,72,72,11 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,73,72,11 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,74,72,11 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,75,72,11 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,76,72,11 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,77,72,11 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,78,72,12 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,79,72,12 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,80,72,12 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,81,72,12 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,82,72,12 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,83,72,12 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,84,72,12 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,85,72,12 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,86,72,12 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,87,72,12 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,88,72,12 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,89,72,13 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,90,72,13 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,91,72,13 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,92,72,13 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,93,72,13 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,94,72,13 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,95,72,13 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,96,72,13 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,97,72,13 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,98,72,13 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,99,72,13 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,100,72,14 48,fail
77269000.60047375,8310675308.12743,3895.974841236349,119212211.53171548,101,72,14 44,fail
77370416.28229192,8310675308.12743,3895.974841236349,119212211.53171548,102,72,14 40,fail
77494368.78229192,8310675308.12743,3895.974841236349,119212211.53171548,103,72,14 36,fail
77649309.40729192,8310675308.12743,3895.974841236349,119212211.53171548,104,72,14 32,fail
77848518.78229193,8310675308.12743,3895.974841236349,119212211.53171548,105,72,14 28,fail
78114131.28229192,8310675308.12743,3895.974841236349,119212211.53171548,106,72,14 24,fail
78485988.78229192,8310675308.12743,3895.974841236349,119212211.53171548,107,72,14 20,fail
79043775.03229192,8310675308.12743,3895.974841236349,119212211.53171548,108,72,14 16,fail
79973418.78229192,8310675308.12743,3895.974841236349,119212211.53171548,109,72,14 12,fail
81832706.28229192,8310675308.12743,3895.974841236349,119212211.53171548,110,72,14 8,fail
77184487.53229192,8310675308.12743,3895.974841236349,119212211.53171548,111,72,15 48,fail
