DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,5 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
2,256 20,5 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
3,256 24,5 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
4,256 28,5 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
5,256 32,5 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
6,256 36,5 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
7,256 40,5 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
8,256 44,5 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
9,256 48,5 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
10,256 52,5 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
11,256 56,5 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
12,256 16,6 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
13,256 20,6 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
14,256 24,6 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
15,256 28,6 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
16,256 32,6 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
17,256 36,6 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
18,256 40,6 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
19,256 44,6 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
20,256 48,6 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
21,256 52,6 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
22,256 56,6 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
23,256 16,7 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
24,256 20,7 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
25,256 24,7 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
26,256 28,7 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
27,256 32,7 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
28,256 36,7 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
29,256 40,7 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
30,256 44,7 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
31,256 48,7 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
32,256 52,7 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
33,256 56,7 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
34,256 16,8 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
35,256 20,8 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
36,256 24,8 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
37,256 28,8 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
38,256 32,8 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
39,256 36,8 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
40,256 40,8 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
41,256 44,8 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
42,256 48,8 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
43,256 52,8 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
44,256 56,8 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
45,256 16,9 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
46,256 20,9 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
47,256 24,9 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
48,256 28,9 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
49,256 32,9 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
50,256 36,9 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
51,256 40,9 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
52,256 44,9 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
53,256 48,9 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
54,256 52,9 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
55,256 56,9 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
56,256 16,10 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
57,256 20,10 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
58,256 24,10 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
59,256 28,10 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
60,256 32,10 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
61,256 36,10 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
62,256 40,10 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
63,256 44,10 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
64,256 48,10 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
65,256 52,10 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
66,256 56,10 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
67,256 16,11 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
68,256 20,11 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
69,256 24,11 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
70,256 28,11 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
71,256 32,11 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
72,256 36,11 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
73,256 40,11 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
74,256 44,11 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
75,256 48,11 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
76,256 52,11 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
77,256 56,11 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
78,256 16,12 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
79,256 20,12 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
80,256 24,12 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
81,256 28,12 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
82,256 32,12 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
83,256 36,12 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
84,256 40,12 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
85,256 44,12 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
86,256 48,12 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
87,256 52,12 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
88,256 56,12 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
89,256 16,13 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
90,256 20,13 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
91,256 24,13 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
92,256 28,13 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
93,256 32,13 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
94,256 36,13 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
95,256 40,13 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
96,256 44,13 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
97,256 48,13 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
98,256 52,13 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
99,256 56,13 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
100,256 16,14 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
101,256 20,14 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
102,256 24,14 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
103,256 28,14 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
104,256 32,14 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
105,256 36,14 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
106,256 40,14 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
107,256 44,14 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
108,256 48,14 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
109,256 52,14 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
110,256 56,14 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
111,256 16,15 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
112,256 20,15 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
113,256 24,15 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
114,256 28,15 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
115,256 32,15 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
116,256 36,15 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
117,256 40,15 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
118,256 44,15 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
119,256 48,15 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
120,256 52,15 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
121,256 56,15 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
122,256 16,16 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
123,256 20,16 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
124,256 24,16 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
125,256 28,16 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
126,256 32,16 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
127,256 36,16 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
128,256 40,16 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
129,256 44,16 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
130,256 48,16 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
131,256 52,16 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
132,256 56,16 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
133,256 16,17 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
134,256 20,17 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
135,256 24,17 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
136,256 28,17 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
137,256 32,17 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
138,256 36,17 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
139,256 40,17 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
140,256 44,17 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
141,256 48,17 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
142,256 52,17 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
143,256 56,17 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
144,256 16,18 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
145,256 20,18 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
146,256 24,18 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
147,256 28,18 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
148,256 32,18 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
149,256 36,18 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
150,256 40,18 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
151,256 44,18 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
152,256 48,18 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
153,256 52,18 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
154,256 56,18 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
155,256 16,19 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
156,256 20,19 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
157,256 24,19 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
158,256 28,19 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
159,256 32,19 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
160,256 36,19 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
161,256 40,19 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
162,256 44,19 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
163,256 48,19 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
164,256 52,19 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
165,256 56,19 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
166,256 16,20 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
167,256 20,20 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
168,256 24,20 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
169,256 28,20 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
170,256 32,20 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
171,256 36,20 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
172,256 40,20 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
173,256 44,20 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
174,256 48,20 16,1,72,597379.5781072,9422983229414916.0,3677,79043775,162,119212211,19378800000000,8310675308,fail
175,256 52,20 12,1,72,597379.5781072,9533808116789052.0,3677,79973418,162,119212211,20993700000000,8310675308,fail
176,256 56,20 8,1,72,597379.5781072,9755457891537326.0,3677,81832706,162,119212211,22608600000000,8310675308,fail
177,256 16,21 48,1,72,597379.5781072,9201333454666640.0,3677,77184487,162,119212211,6459620000000,8310675308,fail
178,256 20,21 44,1,72,597379.5781072,9211408444427926.0,3677,77269000,162,119212211,8074520000000,8310675308,fail
179,256 24,21 40,1,72,597379.5781072,9223498432141468.0,3677,77370416,162,119212211,9689420000000,8310675308,fail
180,256 28,21 36,1,72,597379.5781072,9238275083791352.0,3677,77494368,162,119212211,11304300000000,8310675308,fail
181,256 32,21 32,1,72,597379.5781072,9256745898353710.0,3677,77649309,162,119212211,12919200000000,8310675308,fail
182,256 36,21 28,1,72,597379.5781072,9280494088505312.0,3677,77848518,162,119212211,14534100000000,8310675308,fail
183,256 40,21 24,1,72,597379.5781072,9312158342040778.0,3677,78114131,162,119212211,16149000000000,8310675308,fail
184,256 44,21 20,1,72,597379.5781072,9356488296990432.0,3677,78485988,162,119212211,17763900000000,8310675308,fail
