DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,23 16,pass
1,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,5 12,fail
2,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,5 8,fail
3,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,6 12,fail
4,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,6 8,fail
5,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,7 12,fail
6,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,7 8,fail
7,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,8 12,fail
8,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,8 8,fail
9,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,9 12,fail
10,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,9 8,fail
11,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,10 12,fail
12,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,10 8,fail
13,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,11 12,fail
14,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,11 8,fail
15,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,12 12,fail
16,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,12 8,fail
17,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,13 12,fail
18,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,13 8,fail
19,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,14 12,fail
20,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,14 8,fail
21,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,15 12,fail
22,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,15 8,fail
23,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,16 12,fail
24,73,82147261.78229198,8310515772.732429,3895.933526991349,119212211.53171553,16 8,fail
25,73,80204845.782292,8310515772.732429,3895.933526991349,119212211.53171553,17 12,fail
