latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
5767840.86662,1600210.8919999998,102762000000000.0,807605000.0,0,73,1024 64,pass
3677.53988,168.936,6459620000000.0,50766400.0,1,1,256 16,fail
3677.53988,168.936,8074520000000.0,63457900.0,2,1,256 20,fail
3677.53988,168.936,9689420000000.0,76149500.0,3,1,256 24,fail
3677.53988,168.936,11304300000000.0,88841000.0,4,1,256 28,fail
3677.53988,168.936,12919200000000.0,101532000.0,5,1,256 32,fail
3677.53988,168.936,14534100000000.0,114224000.0,6,1,256 36,fail
3677.53988,168.936,16149000000000.0,126916000.0,7,1,256 40,fail
3677.53988,168.936,17763900000000.0,139607000.0,8,1,256 44,fail
3677.53988,168.936,19378800000000.0,152299000.0,9,1,256 48,fail
3677.53988,168.936,20993700000000.0,164990000.0,10,1,256 52,fail
3677.53988,168.936,22608600000000.0,177682000.0,11,1,256 56,fail
3677.53988,168.936,6459620000000.0,50766400.0,12,1,256 16,fail
3677.53988,168.936,8074520000000.0,63457900.0,13,1,256 20,fail
3677.53988,168.936,9689420000000.0,76149500.0,14,1,256 24,fail
3677.53988,168.936,11304300000000.0,88841000.0,15,1,256 28,fail
3677.53988,168.936,12919200000000.0,101532000.0,16,1,256 32,fail
3677.53988,168.936,14534100000000.0,114224000.0,17,1,256 36,fail
3677.53988,168.936,16149000000000.0,126916000.0,18,1,256 40,fail
3677.53988,168.936,17763900000000.0,139607000.0,19,1,256 44,fail
3677.53988,168.936,19378800000000.0,152299000.0,20,1,256 48,fail
3677.53988,168.936,20993700000000.0,164990000.0,21,1,256 52,fail
3677.53988,168.936,22608600000000.0,177682000.0,22,1,256 56,fail
3677.53988,168.936,6459620000000.0,50766400.0,23,1,256 16,fail
3677.53988,168.936,8074520000000.0,63457900.0,24,1,256 20,fail
3677.53988,168.936,9689420000000.0,76149500.0,25,1,256 24,fail
3677.53988,168.936,11304300000000.0,88841000.0,26,1,256 28,fail
3677.53988,168.936,12919200000000.0,101532000.0,27,1,256 32,fail
3677.53988,168.936,14534100000000.0,114224000.0,28,1,256 36,fail
3677.53988,168.936,16149000000000.0,126916000.0,29,1,256 40,fail
3677.53988,168.936,17763900000000.0,139607000.0,30,1,256 44,fail
3677.53988,168.936,19378800000000.0,152299000.0,31,1,256 48,fail
3677.53988,168.936,20993700000000.0,164990000.0,32,1,256 52,fail
3677.53988,168.936,22608600000000.0,177682000.0,33,1,256 56,fail
3677.53988,168.936,6459620000000.0,50766400.0,34,1,256 16,fail
3677.53988,168.936,8074520000000.0,63457900.0,35,1,256 20,fail
3677.53988,168.936,9689420000000.0,76149500.0,36,1,256 24,fail
3677.53988,168.936,11304300000000.0,88841000.0,37,1,256 28,fail
