Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
shufflenet_v2,L0,704,332667,4775.98,24,5.02515e+06,8.83901e+12,6.94652e+07,36,2.01079,36,1,36,670,54,1,1,150528,648,1.6717e+12,7984008,860.499,131.155,2.3115,6.94642e+07,7984008, 668277, 668277, 150528, 11.9472, 7984008, 648, 648, 648, 12321, 7984008, 7984008, 1182816, 295704, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 24, 16.5
shufflenet_v2,L1,704,19683,14411.1,192,1.33231e+07,8.83901e+12,6.94652e+07,288,16.5377,288,1,288,5206,54,1,1,75264,5184,2.62238e+11,3779136,860.499,131.155,17.9607,6.94642e+07,3779136, 320328, 320328, 75264, 11.7977, 3779136, 5184, 5184, 5184, 729, 3779136, 3779136, 69984, 17496, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 192, 16.5
shufflenet_v2,L2,704,4704,6736.61,232,3.44387e+07,8.83901e+12,6.94651e+07,288,24.2704,288,1,288,598,6,1,1,18816,1392,1.61999e+11,1091328,860.499,14.5728,2.0631,6.94642e+07,1091328, 112776, 112776, 18816, 9.67695, 1091328, 1392, 1392, 1392, 784, 1091328, 1091328, 45472, 45472, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 232, 11
shufflenet_v2,L3,704,18816,4775.88,232,4.85775e+07,8.83901e+12,6.94651e+07,288,24.0676,288,1,288,598,6,1,1,75264,1392,9.14034e+11,4365312,860.499,14.5728,2.0631,6.94642e+07,4365312, 451464, 451464, 75264, 9.66924, 4365312, 1392, 1392, 1392, 3136, 4365312, 4365312, 181888, 181888, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 232, 11
shufflenet_v2,L4,704,39366,14765.5,560.667,3.79715e+07,8.83901e+12,6.94653e+07,696,40.0848,696,1,696,12550,54,1,1,181888,30276,1.49479e+12,22071204,860.499,131.155,43.2975,6.94642e+07,22071204, 1547730, 1547730, 181888, 14.2604, 22071204, 30276, 30276, 30276, 729, 22071204, 22071204, 169128, 42282, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 560.667, 16.5
shufflenet_v2,L5,704,4704,36307.6,560.667,1.54421e+07,8.83901e+12,6.94651e+07,696,58.6535,696,1,696,1414,6,1,1,45472,3364,7.26397e+10,2637376,860.499,14.5728,4.8783,6.94642e+07,2637376, 272542, 272542, 45472, 9.67695, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 45472, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 560.667, 11
shufflenet_v2,L6,704,784,668.916,58,8.67074e+07,8.83901e+12,6.94651e+07,116,58.074,116,1,116,346,6,1,1,45472,58,6.79786e+10,45472,860.499,14.5728,1.1937,6.94642e+07,45472, 45472, 45472, 45472, 1, 45472, 58, 58, 58, 784, 45472, 45472, 45472, 44688, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 58, 1
shufflenet_v2,L7,704,4704,1672.5,560.667,3.35226e+08,8.83901e+12,6.94651e+07,696,58.6535,696,1,696,1414,6,1,1,45472,3364,1.57691e+12,2637376,860.499,14.5728,4.8783,6.94642e+07,2637376, 272542, 272542, 45472, 9.67695, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 45472, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 560.667, 11
shufflenet_v2,L8,704,36504,8046.57,560.667,6.96777e+07,8.83901e+12,6.94653e+07,696,21.5779,696,1,696,12550,54,1,1,45472,30276,2.54352e+12,20466576,860.499,131.155,43.2975,6.94642e+07,20466576, 757422, 757422, 45472, 27.0214, 20466576, 30276, 30276, 30276, 676, 20466576, 20466576, 39208, 39208, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 560.667, 33
shufflenet_v2,L9,704,4704,33522.1,560.667,1.67253e+07,8.83901e+12,6.94651e+07,696,58.6535,696,1,696,1414,6,1,1,45472,3364,7.86757e+10,2637376,860.499,14.5728,4.8783,6.94642e+07,2637376, 272542, 272542, 45472, 9.67695, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 45472, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 560.667, 11
