DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,73,461071.875,682768.7170000001,410461000000000.0,3225770000.0,4096 64,pass
1,68,761943.75,709555.988,25690900000000.0,201903000.0,1024 16,pass
2,68,761943.75,709555.988,32113400000000.0,252378000.0,1024 20,pass
3,68,761943.75,709555.988,38536000000000.0,302853000.0,1024 24,pass
4,68,761943.75,709555.988,44958600000000.0,353328000.0,1024 28,pass
5,68,761943.75,709555.988,51381200000000.0,403803220.5882353,1024 32,pass
6,68,761943.75,709555.988,57803700000000.0,454279000.0,1024 36,pass
7,68,761943.75,709555.988,64226300000000.0,504754000.0,1024 40,pass
8,68,761943.75,709555.988,70648900000000.0,555229000.0,1024 44,pass
9,68,761943.75,709555.988,77071500000000.0,605704000.0,1024 48,pass
10,63,560793.75,664287.228,25690900000000.0,201903000.0,1024 16,pass
11,63,560793.75,664287.228,32113400000000.0,252378000.0,1024 20,pass
12,63,560793.75,664287.228,38536000000000.0,302853000.0,1024 24,pass
13,63,560793.75,664287.228,44958600000000.0,353328000.0,1024 28,pass
14,63,560793.75,664287.228,51381200000000.0,403803158.7301588,1024 32,pass
15,63,560793.75,664287.228,57803700000000.0,454279000.0,1024 36,pass
16,63,560793.75,664287.228,64226300000000.0,504754000.0,1024 40,pass
17,63,560793.75,664287.228,70648900000000.0,555229000.0,1024 44,pass
18,63,560793.75,664287.228,77071500000000.0,605704000.0,1024 48,pass
19,59,407703.75,624421.758,25690900000000.0,201903000.0,1024 16,pass
20,59,407703.75,624421.758,32113400000000.0,252378000.0,1024 20,pass
21,59,407703.75,624421.758,38536000000000.0,302853000.0,1024 24,pass
22,59,407703.75,624421.758,44958600000000.0,353328000.0,1024 28,pass
23,59,407703.75,624421.758,51381200000000.0,403803101.6949152,1024 32,pass
24,59,407703.75,624421.758,57803700000000.0,454279000.0,1024 36,pass
25,59,407703.75,624421.758,64226300000000.0,504754000.0,1024 40,pass
26,59,407703.75,624421.758,70648900000000.0,555229000.0,1024 44,pass
27,59,407703.75,624421.758,77071500000000.0,605704000.0,1024 48,pass
28,45,172777.5,472151.628,25690900000000.0,201903000.0,1024 16,pass
29,45,172777.5,472151.628,32113400000000.0,252378000.0,1024 20,pass
30,45,172777.5,472151.628,38536000000000.0,302853000.0,1024 24,pass
31,45,172777.5,472151.628,44958600000000.0,353328000.0,1024 28,pass
32,45,172777.5,472151.628,51381200000000.0,403803000.0,1024 32,pass
33,45,172777.5,472151.628,57803700000000.0,454279000.0,1024 36,pass
34,45,172777.5,472151.628,64226300000000.0,504754000.0,1024 40,pass
35,45,172777.5,472151.628,70648900000000.0,555229000.0,1024 44,pass
36,45,172777.5,472151.628,77071500000000.0,605704000.0,1024 48,pass
37,0,0.0,0.0,25690900000000.0,,1024 16,fail
