Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
shufflenet_v2,L0,4096,110889,2816.37,72,2.55648e+07,4.10461e+14,3.22577e+09,75,2.56538,75,1,75,1396,54,1,1,150528,648,2.83486e+12,7984008,5006.54,763.085,4.8162,3.22577e+09,7984008, 222777, 222777, 150528, 35.8386, 7984008, 648, 648, 648, 12321, 7984008, 7984008, 1182816, 283383, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 36
shufflenet_v2,L1,4096,6561,1138.19,24,2.10861e+07,4.10461e+14,3.22577e+09,48,16.3292,48,1,48,910,54,1,1,75264,216,1.38346e+11,157464,5006.54,763.085,3.1395,3.22577e+09,157464, 106920, 106920, 75264, 1.47273, 157464, 216, 216, 216, 729, 157464, 157464, 69984, 16767, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 24, 1.5
shufflenet_v2,L2,4096,784,649.044,1392,2.14469e+09,4.10461e+14,3.22577e+09,1416,58.7334,1416,1,1416,2946,6,1,1,18816,1392,1.68144e+12,1091328,5006.54,84.7872,10.1637,3.22577e+09,1091328, 18816, 18816, 18816, 58, 1091328, 1392, 1392, 1392, 784, 1091328, 1091328, 45472, 44688, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1392, 58
shufflenet_v2,L3,4096,3136,3115.9,1392,4.46741e+08,4.10461e+14,3.22577e+09,1416,57.4334,1416,1,1416,2946,6,1,1,75264,1392,1.40098e+12,4365312,5006.54,84.7872,10.1637,3.22577e+09,4365312, 75264, 75264, 75264, 58, 4365312, 1392, 1392, 1392, 3136, 4365312, 4365312, 181888, 178752, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1392, 58
shufflenet_v2,L4,4096,6561,2755.05,58,2.10522e+07,4.10461e+14,3.22577e+09,116,39.4609,116,1,116,2202,54,1,1,181888,522,1.38124e+11,380538,5006.54,763.085,7.5969,3.22577e+09,380538, 258390, 258390, 181888, 1.47273, 380538, 522, 522, 522, 729, 380538, 380538, 169128, 41553, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 58, 1.5
shufflenet_v2,L5,4096,784,1297.55,3364,2.59259e+09,4.10461e+14,3.22577e+09,3422,62.2908,3422,1,3422,6958,6,1,1,45472,3364,2.03259e+12,2637376,5006.54,84.7872,24.0051,3.22577e+09,2637376, 45472, 45472, 45472, 58, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 44688, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3364, 58
shufflenet_v2,L6,4096,1568,5125.72,3364,6.56299e+08,4.10461e+14,3.22577e+09,3770,65.25,3770,1,3770,7668,6,1,1,45472,6728,1.02908e+12,5274752,5006.54,84.7872,26.4546,3.22577e+09,5274752, 90886, 90886, 45472, 58.037, 5274752, 6728, 6728, 6728, 784, 5274752, 5274752, 90944, 90944, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3364, 64
shufflenet_v2,L7,4096,784,8799.72,3364,3.82285e+08,4.10461e+14,3.22577e+09,3422,62.2908,3422,1,3422,6958,6,1,1,45472,3364,2.99711e+11,2637376,5006.54,84.7872,24.0051,3.22577e+09,2637376, 45472, 45472, 45472, 58, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 44688, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3364, 58
shufflenet_v2,L8,4096,6084,1500.77,58,3.86468e+07,4.10461e+14,3.22577e+09,116,20.9053,116,1,116,2202,54,1,1,45472,522,2.35127e+11,352872,5006.54,763.085,7.5969,3.22577e+09,352872, 126672, 126672, 45472, 2.78571, 352872, 522, 522, 522, 676, 352872, 352872, 39208, 38532, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 58, 3
shufflenet_v2,L9,4096,784,1203.89,3364,2.79427e+09,4.10461e+14,3.22577e+09,3422,62.2908,3422,1,3422,6958,6,1,1,45472,3364,2.19071e+12,2637376,5006.54,84.7872,24.0051,3.22577e+09,2637376, 45472, 45472, 45472, 58, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 44688, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3364, 58
