Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
shufflenet_v2,L0,4096,5994,11342.6,1332,1.17433e+08,4.10461e+14,3.22577e+09,392,294.658,392,1,392,9370,54,1,1,150528,648,7.03895e+11,7984008,5006.54,763.085,32.3265,3.22577e+09,7984008, 668325, 668325, 150528, 11.9463, 7984008, 64224, 64224, 648, 124.315, 7984008, 7984008, 1182816, 1766232, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1792, 13.9112
shufflenet_v2,L1,4096,5832,1217.05,27,2.21847e+07,4.10461e+14,3.22577e+09,28,18.5,28,1,28,622,54,1,1,75264,216,1.29381e+11,157464,5006.54,763.085,2.1459,3.22577e+09,157464, 107697, 107697, 75264, 1.4621, 157464, 216, 216, 216, 729, 157464, 157464, 69984, 34344, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 28, 1.46386
shufflenet_v2,L2,4096,2688,5541.27,406,7.32685e+07,4.10461e+14,3.22577e+09,448,406,448,1,448,984,6,1,1,18816,1392,1.96946e+11,1091328,5006.54,84.7872,3.3948,3.22577e+09,1091328, 75180, 75180, 18816, 14.5162, 1091328, 41280, 41280, 1392, 26.4372, 1091328, 1091328, 45472, 1091328, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 10.1818
shufflenet_v2,L3,4096,5376,22385.7,812,3.62731e+07,4.10461e+14,3.22577e+09,896,812,896,1,896,1936,6,1,1,75264,1392,1.95004e+11,4365312,5006.54,84.7872,6.6792,3.22577e+09,4365312, 300888, 300888, 75264, 14.5081, 4365312, 82496, 82496, 1392, 52.9154, 4365312, 4365312, 181888, 4365312, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 12.4444
shufflenet_v2,L4,4096,14094,2940.68,27,9.18156e+06,4.10461e+14,3.22577e+09,28,18.4943,28,1,28,622,54,1,1,181888,522,1.29405e+11,380538,5006.54,763.085,2.1459,3.22577e+09,380538, 260153, 260153, 181888, 1.46275, 380538, 522, 522, 522, 729, 380538, 380538, 169128, 82998, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 28, 1.46386
shufflenet_v2,L5,4096,6496,13402.3,406,3.02932e+07,4.10461e+14,3.22577e+09,448,406,448,1,448,984,6,1,1,45472,3364,1.96785e+11,2637376,5006.54,84.7872,3.3948,3.22577e+09,2637376, 181804, 181804, 45472, 14.5067, 2637376, 102208, 102208, 3364, 25.804, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 10.1818
shufflenet_v2,L6,4096,12992,29418.2,406,1.3801e+07,4.10461e+14,3.22577e+09,448,406,448,1,448,984,6,1,1,45472,6728,1.79302e+11,5274752,5006.54,84.7872,3.3948,3.22577e+09,5274752, 363580, 363580, 45472, 14.5078, 5274752, 204416, 204416, 6728, 25.804, 5274752, 5274752, 90944, 5274752, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 10.1818
shufflenet_v2,L7,4096,6496,21085.6,406,1.92549e+07,4.10461e+14,3.22577e+09,448,406,448,1,448,984,6,1,1,45472,3364,1.2508e+11,2637376,5006.54,84.7872,3.3948,3.22577e+09,2637376, 181804, 181804, 45472, 14.5067, 2637376, 102208, 102208, 3364, 25.804, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 10.1818
shufflenet_v2,L8,4096,13572,1462.97,26,1.77721e+07,4.10461e+14,3.22577e+09,27,8.72878,27,1,27,538,54,1,1,45472,522,2.41203e+11,352872,5006.54,763.085,1.8561,3.22577e+09,352872, 117951, 117951, 45472, 2.99168, 352872, 522, 522, 522, 676, 352872, 352872, 39208, 39208, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 26, 3
shufflenet_v2,L9,4096,6496,13304.6,406,3.05157e+07,4.10461e+14,3.22577e+09,448,406,448,1,448,984,6,1,1,45472,3364,1.9823e+11,2637376,5006.54,84.7872,3.3948,3.22577e+09,2637376, 181804, 181804, 45472, 14.5067, 2637376, 102208, 102208, 3364, 25.804, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 10.1818
