DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,5 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
2,256 20,5 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
3,256 24,5 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
4,256 28,5 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
5,256 32,5 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
6,256 36,5 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
7,256 40,5 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
8,256 44,5 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
9,256 48,5 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
10,256 16,6 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
11,256 20,6 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
12,256 24,6 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
13,256 28,6 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
14,256 32,6 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
15,256 36,6 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
16,256 40,6 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
17,256 44,6 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
18,256 48,6 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
19,256 16,7 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
20,256 20,7 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
21,256 24,7 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
22,256 28,7 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
23,256 32,7 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
24,256 36,7 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
25,256 40,7 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
26,256 44,7 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
27,256 48,7 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
28,256 16,8 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
29,256 20,8 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
30,256 24,8 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
31,256 28,8 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
32,256 32,8 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
33,256 36,8 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
34,256 40,8 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
35,256 44,8 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
36,256 48,8 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
37,256 16,9 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
38,256 20,9 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
39,256 24,9 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
40,256 28,9 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
41,256 32,9 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
42,256 36,9 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
43,256 40,9 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
44,256 44,9 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
45,256 48,9 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
46,256 16,10 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
47,256 20,10 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
48,256 24,10 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
49,256 28,10 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
50,256 32,10 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
51,256 36,10 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
52,256 40,10 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
53,256 44,10 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
54,256 48,10 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
55,256 16,11 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
56,256 20,11 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
57,256 24,11 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
58,256 28,11 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
59,256 32,11 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
60,256 36,11 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
61,256 40,11 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
62,256 44,11 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
63,256 48,11 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
64,256 16,12 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
65,256 20,12 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
66,256 24,12 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
67,256 28,12 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
68,256 32,12 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
69,256 36,12 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
70,256 40,12 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
71,256 44,12 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
72,256 48,12 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
73,256 16,13 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
74,256 20,13 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
75,256 24,13 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
76,256 28,13 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
77,256 32,13 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
78,256 36,13 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
79,256 40,13 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
80,256 44,13 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
81,256 48,13 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
82,256 16,14 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
83,256 20,14 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
84,256 24,14 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
85,256 28,14 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
86,256 32,14 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
87,256 36,14 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
88,256 40,14 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
89,256 44,14 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
90,256 48,14 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
91,256 16,15 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
92,256 20,15 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
93,256 24,15 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
94,256 28,15 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
95,256 32,15 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
96,256 36,15 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
97,256 40,15 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
98,256 44,15 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
99,256 48,15 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
100,256 16,16 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
101,256 20,16 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
102,256 24,16 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
103,256 28,16 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
104,256 32,16 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
105,256 36,16 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
106,256 40,16 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
107,256 44,16 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
108,256 48,16 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
109,256 16,17 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
110,256 20,17 44,0,73,0.0,9224582921885996.0,0,77379513,0,119212211,8074520000000,8310515772,fail
111,256 24,17 40,0,73,0.0,9237213451362790.0,0,77485463,0,119212211,9689420000000,8310515772,fail
112,256 28,17 36,0,73,0.0,9252650765167766.0,0,77614957,0,119212211,11304300000000,8310515772,fail
113,256 32,17 32,0,73,0.0,9271947407423980.0,0,77776825,0,119212211,12919200000000,8310515772,fail
114,256 36,17 28,0,73,0.0,9296757376039118.0,0,77984941,0,119212211,14534100000000,8310515772,fail
115,256 40,17 24,0,73,0.0,9329837334192626.0,0,78262429,0,119212211,16149000000000,8310515772,fail
116,256 44,17 20,0,73,0.0,9376149275607544.0,0,78650912,0,119212211,17763900000000,8310515772,fail
117,256 48,17 16,0,73,0.0,9445617187729920.0,0,79233637,0,119212211,19378800000000,8310515772,fail
118,256 16,18 48,0,73,0.0,9214057480655334.0,0,77291221,0,119212211,6459620000000,8310515772,fail
