DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,73,77048419.78229201,8310515772.732429,3895.933526991349,119212211.53171553,23 64,pass
1,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,5 48,fail
2,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,5 44,fail
3,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,5 40,fail
4,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,5 36,fail
5,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,5 32,fail
6,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,5 28,fail
7,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,5 24,fail
8,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,5 20,fail
9,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,5 16,fail
10,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,6 48,fail
11,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,6 44,fail
12,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,6 40,fail
13,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,6 36,fail
14,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,6 32,fail
15,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,6 28,fail
16,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,6 24,fail
17,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,6 20,fail
18,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,6 16,fail
19,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,7 48,fail
20,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,7 44,fail
21,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,7 40,fail
22,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,7 36,fail
23,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,7 32,fail
24,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,7 28,fail
25,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,7 24,fail
26,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,7 20,fail
27,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,7 16,fail
28,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,8 48,fail
29,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,8 44,fail
30,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,8 40,fail
31,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,8 36,fail
32,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,8 32,fail
33,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,8 28,fail
34,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,8 24,fail
35,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,8 20,fail
36,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,8 16,fail
37,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,9 48,fail
38,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,9 44,fail
39,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,9 40,fail
40,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,9 36,fail
41,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,9 32,fail
42,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,9 28,fail
43,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,9 24,fail
44,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,9 20,fail
45,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,9 16,fail
46,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,10 48,fail
47,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,10 44,fail
48,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,10 40,fail
49,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,10 36,fail
50,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,10 32,fail
51,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,10 28,fail
52,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,10 24,fail
53,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,10 20,fail
54,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,10 16,fail
55,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,11 48,fail
56,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,11 44,fail
57,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,11 40,fail
58,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,11 36,fail
59,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,11 32,fail
60,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,11 28,fail
61,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,11 24,fail
62,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,11 20,fail
63,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,11 16,fail
64,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,12 48,fail
65,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,12 44,fail
66,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,12 40,fail
67,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,12 36,fail
68,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,12 32,fail
69,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,12 28,fail
70,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,12 24,fail
71,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,12 20,fail
72,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,12 16,fail
73,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,13 48,fail
74,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,13 44,fail
75,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,13 40,fail
76,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,13 36,fail
77,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,13 32,fail
78,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,13 28,fail
79,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,13 24,fail
80,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,13 20,fail
81,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,13 16,fail
82,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,14 48,fail
83,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,14 44,fail
84,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,14 40,fail
85,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,14 36,fail
86,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,14 32,fail
87,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,14 28,fail
88,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,14 24,fail
89,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,14 20,fail
90,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,14 16,fail
91,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,15 48,fail
92,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,15 44,fail
93,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,15 40,fail
94,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,15 36,fail
95,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,15 32,fail
96,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,15 28,fail
97,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,15 24,fail
98,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,15 20,fail
99,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,15 16,fail
100,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,16 48,fail
101,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,16 44,fail
102,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,16 40,fail
103,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,16 36,fail
104,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,16 32,fail
105,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,16 28,fail
106,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,16 24,fail
107,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,16 20,fail
108,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,16 16,fail
109,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,17 48,fail
110,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,17 44,fail
111,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,17 40,fail
112,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,17 36,fail
113,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,17 32,fail
114,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,17 28,fail
115,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,17 24,fail
116,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,17 20,fail
117,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,17 16,fail
118,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,18 48,fail
119,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,18 44,fail
120,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,18 40,fail
121,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,18 36,fail
122,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,18 32,fail
123,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,18 28,fail
124,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,18 24,fail
125,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,18 20,fail
126,73,79233637.782292,8310515772.732429,3895.933526991349,119212211.53171553,18 16,fail
127,73,77291221.78229201,8310515772.732429,3895.933526991349,119212211.53171553,19 48,fail
128,73,77379513.41865563,8310515772.732429,3895.933526991349,119212211.53171553,19 44,fail
129,73,77485463.38229199,8310515772.732429,3895.933526991349,119212211.53171553,19 40,fail
130,73,77614957.78229201,8310515772.732429,3895.933526991349,119212211.53171553,19 36,fail
131,73,77776825.78229201,8310515772.732429,3895.933526991349,119212211.53171553,19 32,fail
132,73,77984941.78229202,8310515772.732429,3895.933526991349,119212211.53171553,19 28,fail
133,73,78262429.782292,8310515772.732429,3895.933526991349,119212211.53171553,19 24,fail
134,73,78650912.982292,8310515772.732429,3895.933526991349,119212211.53171553,19 20,fail
