DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,73,70563367.5,2204619.072,102762000000000.0,807605000.0,1024 64,pass
1,0,0.0,0.0,6459620000000.0,,256 16,fail
2,0,0.0,0.0,8074520000000.0,,256 20,fail
3,0,0.0,0.0,9689420000000.0,,256 24,fail
4,0,0.0,0.0,11304300000000.0,,256 28,fail
5,0,0.0,0.0,12919200000000.0,,256 32,fail
6,0,0.0,0.0,14534100000000.0,,256 36,fail
7,0,0.0,0.0,16149000000000.0,,256 40,fail
8,0,0.0,0.0,17763900000000.0,,256 44,fail
9,0,0.0,0.0,19378800000000.0,,256 48,fail
10,0,0.0,0.0,6459620000000.0,,256 16,fail
11,0,0.0,0.0,8074520000000.0,,256 20,fail
12,0,0.0,0.0,9689420000000.0,,256 24,fail
13,0,0.0,0.0,11304300000000.0,,256 28,fail
14,0,0.0,0.0,12919200000000.0,,256 32,fail
15,0,0.0,0.0,14534100000000.0,,256 36,fail
16,0,0.0,0.0,16149000000000.0,,256 40,fail
17,0,0.0,0.0,17763900000000.0,,256 44,fail
18,0,0.0,0.0,19378800000000.0,,256 48,fail
19,0,0.0,0.0,6459620000000.0,,256 16,fail
20,0,0.0,0.0,8074520000000.0,,256 20,fail
21,0,0.0,0.0,9689420000000.0,,256 24,fail
22,0,0.0,0.0,11304300000000.0,,256 28,fail
23,0,0.0,0.0,12919200000000.0,,256 32,fail
24,0,0.0,0.0,14534100000000.0,,256 36,fail
25,0,0.0,0.0,16149000000000.0,,256 40,fail
26,0,0.0,0.0,17763900000000.0,,256 44,fail
27,0,0.0,0.0,19378800000000.0,,256 48,fail
28,0,0.0,0.0,6459620000000.0,,256 16,fail
29,0,0.0,0.0,8074520000000.0,,256 20,fail
30,0,0.0,0.0,9689420000000.0,,256 24,fail
31,0,0.0,0.0,11304300000000.0,,256 28,fail
32,0,0.0,0.0,12919200000000.0,,256 32,fail
33,0,0.0,0.0,14534100000000.0,,256 36,fail
34,0,0.0,0.0,16149000000000.0,,256 40,fail
35,0,0.0,0.0,17763900000000.0,,256 44,fail
36,0,0.0,0.0,19378800000000.0,,256 48,fail
37,0,0.0,0.0,6459620000000.0,,256 16,fail
38,0,0.0,0.0,8074520000000.0,,256 20,fail
39,0,0.0,0.0,9689420000000.0,,256 24,fail
40,0,0.0,0.0,11304300000000.0,,256 28,fail
41,0,0.0,0.0,12919200000000.0,,256 32,fail
42,0,0.0,0.0,14534100000000.0,,256 36,fail
43,0,0.0,0.0,16149000000000.0,,256 40,fail
44,0,0.0,0.0,17763900000000.0,,256 44,fail
45,0,0.0,0.0,19378800000000.0,,256 48,fail
46,0,0.0,0.0,6459620000000.0,,256 16,fail
47,0,0.0,0.0,8074520000000.0,,256 20,fail
