DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,73,38401927.5,1487761.238,410461000000000.0,3225770000.0,4096 64,pass
1,73,38401927.5,1487761.238,25690900000000.0,201903000.0,1024 16,pass
2,73,38401927.5,1487761.238,32113400000000.0,252378000.0,1024 20,pass
3,73,38401927.5,1487761.238,38536000000000.0,302853273.9726027,1024 24,pass
4,73,38401927.5,1487761.238,44958600000000.0,353328273.9726027,1024 28,pass
5,73,38401927.5,1487761.238,51381200000000.0,403803780.8219178,1024 32,pass
6,73,38401927.5,1487761.238,57803700000000.0,454279000.0,1024 36,pass
7,73,38401927.5,1487761.238,64226300000000.0,504754000.0,1024 40,pass
8,73,38401927.5,1487761.238,70648900000000.0,555229273.9726027,1024 44,pass
9,73,38401927.5,1487761.238,77071500000000.0,605704273.9726027,1024 48,pass
10,72,35283847.5,1429681.1379999998,25690900000000.0,201903000.0,1024 16,pass
11,72,35283847.5,1429681.1379999998,32113400000000.0,252378000.0,1024 20,pass
12,72,35283847.5,1429681.1379999998,38536000000000.0,302853277.7777778,1024 24,pass
13,72,35283847.5,1429681.1379999998,44958600000000.0,353328277.7777778,1024 28,pass
14,72,35283847.5,1429681.1379999998,51381200000000.0,403803777.7777778,1024 32,pass
15,72,35283847.5,1429681.1379999998,57803700000000.0,454279000.0,1024 36,pass
16,72,35283847.5,1429681.1379999998,64226300000000.0,504754000.0,1024 40,pass
17,72,35283847.5,1429681.1379999998,70648900000000.0,555229277.7777778,1024 44,pass
18,72,35283847.5,1429681.1379999998,77071500000000.0,605704277.7777778,1024 48,pass
19,70,31469287.5,1358839.838,25690900000000.0,201903000.0,1024 16,pass
20,70,31469287.5,1358839.838,32113400000000.0,252378000.0,1024 20,pass
21,70,31469287.5,1358839.838,38536000000000.0,302853271.4285714,1024 24,pass
22,70,31469287.5,1358839.838,44958600000000.0,353328271.4285714,1024 28,pass
23,70,31469287.5,1358839.838,51381200000000.0,403803771.4285714,1024 32,pass
24,70,31469287.5,1358839.838,57803700000000.0,454279000.0,1024 36,pass
25,70,31469287.5,1358839.838,64226300000000.0,504754000.0,1024 40,pass
26,70,31469287.5,1358839.838,70648900000000.0,555229271.4285715,1024 44,pass
27,70,31469287.5,1358839.838,77071500000000.0,605704271.4285715,1024 48,pass
28,62,21676567.5,1171263.838,25690900000000.0,201903000.0,1024 16,pass
29,62,21676567.5,1171263.838,32113400000000.0,252378000.0,1024 20,pass
30,62,21676567.5,1171263.838,38536000000000.0,302853177.41935486,1024 24,pass
