Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
shufflenet_v2,L0,3584,110889,2816.37,72,2.55648e+07,2.69385e+14,2.11706e+09,75,2.56538,75,1,75,1396,54,1,1,150528,648,2.83486e+12,7984008,4380.72,667.699,4.8162,2.11706e+09,7984008, 222777, 222777, 150528, 35.8386, 7984008, 648, 648, 648, 12321, 7984008, 7984008, 1182816, 283383, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 72, 36
shufflenet_v2,L1,3584,6561,13322.4,576,4.32356e+07,2.69385e+14,2.11706e+09,600,17.0864,600,1,600,10846,54,1,1,75264,5184,2.83669e+11,3779136,4380.72,667.699,37.4187,2.11706e+09,3779136, 106920, 106920, 75264, 35.3455, 3779136, 5184, 5184, 5184, 729, 3779136, 3779136, 69984, 16767, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 576, 36
shufflenet_v2,L2,3584,1568,6332.41,696,1.09911e+08,2.69385e+14,2.11706e+09,1368,40.852,1368,1,1368,2848,6,1,1,18816,1392,1.7234e+11,1091328,4380.72,74.1888,9.8256,2.11706e+09,1091328, 37608, 37608, 18816, 29.0185, 1091328, 1392, 1392, 1392, 784, 1091328, 1091328, 45472, 45472, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 696, 56
shufflenet_v2,L3,3584,6272,3458.63,696,2.01236e+08,2.69385e+14,2.11706e+09,1368,40.213,1368,1,1368,2848,6,1,1,75264,1392,1.26215e+12,4365312,4380.72,74.1888,9.8256,2.11706e+09,4365312, 150504, 150504, 75264, 29.0046, 4365312, 1392, 1392, 1392, 3136, 4365312, 4365312, 181888, 181888, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 696, 56
shufflenet_v2,L4,3584,13122,10234.2,1682,1.64352e+08,2.69385e+14,2.11706e+09,3306,41.6488,3306,1,3306,59620,54,1,1,181888,30276,2.15662e+12,22071204,4380.72,667.699,205.689,2.11706e+09,22071204, 516258, 516258, 181888, 42.7523, 22071204, 30276, 30276, 30276, 729, 22071204, 22071204, 169128, 42282, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1682, 84
shufflenet_v2,L5,3584,1568,35131.5,1682,4.78772e+07,2.69385e+14,2.11706e+09,3306,60.1084,3306,1,3306,6724,6,1,1,45472,3364,7.50715e+10,2637376,4380.72,74.1888,23.1978,2.11706e+09,2637376, 90886, 90886, 45472, 29.0185, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 45472, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1682, 56
shufflenet_v2,L6,3584,784,668.916,58,8.67074e+07,2.69385e+14,2.11706e+09,116,58.074,116,1,116,346,6,1,1,45472,58,6.79786e+10,45472,4380.72,74.1888,1.1937,2.11706e+09,45472, 45472, 45472, 45472, 1, 45472, 58, 58, 58, 784, 45472, 45472, 45472, 44688, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 58, 1
shufflenet_v2,L7,3584,1568,894.959,1682,1.87942e+09,2.69385e+14,2.11706e+09,3306,60.1084,3306,1,3306,6724,6,1,1,45472,3364,2.94692e+12,2637376,4380.72,74.1888,23.1978,2.11706e+09,2637376, 90886, 90886, 45472, 29.0185, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 45472, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1682, 56
shufflenet_v2,L8,3584,12168,5816.54,1682,2.89175e+08,2.69385e+14,2.11706e+09,3306,23.2648,3306,1,3306,59620,54,1,1,45472,30276,3.51869e+12,20466576,4380.72,667.699,205.689,2.11706e+09,20466576, 252822, 252822, 45472, 80.9525, 20466576, 30276, 30276, 30276, 676, 20466576, 20466576, 39208, 39208, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1682, 168
shufflenet_v2,L9,3584,1568,32549.6,1682,5.1675e+07,2.69385e+14,2.11706e+09,3306,60.1084,3306,1,3306,6724,6,1,1,45472,3364,8.10263e+10,2637376,4380.72,74.1888,23.1978,2.11706e+09,2637376, 90886, 90886, 45472, 29.0185, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 45472, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1682, 56
