Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
shufflenet_v2,L0,3584,31968,9982.25,249.75,2.50194e+07,2.69385e+14,2.11706e+09,73,55.2432,73,1,73,9370,198,1,1,150528,648,7.99821e+11,7984008,4380.72,2448.23,32.3265,2.11706e+09,7984008, 334665, 334665, 150528, 23.8567, 7984008, 80064, 80064, 648, 99.7203, 7984008, 7984008, 1182816, 1766232, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 336, 55.5
shufflenet_v2,L1,3584,62208,17846.2,60.75,3.40409e+06,2.69385e+14,2.11706e+09,17,13.2469,17,1,17,2482,198,1,1,75264,5184,2.11762e+11,3779136,4380.72,2448.23,8.5629,2.11706e+09,3779136, 161352, 161352, 75264, 23.4217, 3779136, 182880, 182880, 5184, 20.6646, 3779136, 3779136, 69984, 824256, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 84, 13.5
shufflenet_v2,L2,3584,43008,10994.5,25.375,2.30797e+06,2.69385e+14,2.11706e+09,28,25.3743,28,1,28,984,66,1,1,18816,1392,9.9261e+10,1091328,4380.72,816.077,3.3948,2.11706e+09,1091328, 18816, 18816, 18816, 58, 1091328, 42576, 42576, 1392, 25.6325, 1091328, 1091328, 45472, 1091328, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 28, 17.5
shufflenet_v2,L3,3584,86016,21410,50.75,2.37039e+06,2.69385e+14,2.11706e+09,56,50.75,56,1,56,1936,66,1,1,75264,1392,2.03891e+11,4365312,4380.72,816.077,6.6792,2.11706e+09,4365312, 75264, 75264, 75264, 58, 4365312, 85136, 85136, 1392, 51.2746, 4365312, 4365312, 181888, 4365312, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 56, 35
shufflenet_v2,L4,3584,300672,33835.9,73.4062,2.16948e+06,2.69385e+14,2.11706e+09,17,16.0099,17,1,17,2482,198,1,1,181888,30276,6.52301e+11,22071204,4380.72,2448.23,8.5629,2.11706e+09,22071204, 389934, 389934, 181888, 56.6024, 22071204, 898272, 898272, 30276, 24.5707, 22071204, 22071204, 169128, 4813884, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 84, 16.875
shufflenet_v2,L5,3584,103936,46746.5,25.375,542822,2.69385e+14,2.11706e+09,28,25.3747,28,1,28,984,66,1,1,45472,3364,5.64187e+10,2637376,4380.72,816.077,3.3948,2.11706e+09,2637376, 45472, 45472, 45472, 58, 2637376, 103504, 103504, 3364, 25.4809, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 28, 17.5
shufflenet_v2,L6,3584,784,668.916,58,8.67074e+07,2.69385e+14,2.11706e+09,116,58.074,116,1,116,346,6,1,1,45472,58,6.79786e+10,45472,4380.72,74.1888,1.1937,2.11706e+09,45472, 45472, 45472, 45472, 1, 45472, 58, 58, 58, 784, 45472, 45472, 45472, 44688, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 58, 1
shufflenet_v2,L7,3584,103936,12223.3,25.375,2.07595e+06,2.69385e+14,2.11706e+09,28,25.3747,28,1,28,984,66,1,1,45472,3364,2.15766e+11,2637376,4380.72,816.077,3.3948,2.11706e+09,2637376, 45472, 45472, 45472, 58, 2637376, 103504, 103504, 3364, 25.4809, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 28, 17.5
shufflenet_v2,L8,3584,289536,19404.7,70.6875,3.64281e+06,2.69385e+14,2.11706e+09,8,7.85345,8,1,8,1588,198,1,1,45472,30276,1.05472e+12,20466576,4380.72,2448.23,5.4786,2.11706e+09,20466576, 352872, 352872, 45472, 58, 20466576, 865008, 865008, 30276, 23.6606, 20466576, 20466576, 39208, 2274064, 1, 0, 0, 0, 0, 0, 0, 48, 48, 48, 78, 16.25
shufflenet_v2,L9,3584,103936,44239.2,25.375,573587,2.69385e+14,2.11706e+09,28,25.3747,28,1,28,984,66,1,1,45472,3364,5.96163e+10,2637376,4380.72,816.077,3.3948,2.11706e+09,2637376, 45472, 45472, 45472, 58, 2637376, 103504, 103504, 3364, 25.4809, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 28, 17.5
shufflenet_v2,L10,3584,784,668.916,58,8.67074e+07,2.69385e+14,2.11706e+09,116,58.074,116,1,116,346,6,1,1,45472,58,6.79786e+10,45472,4380.72,74.1888,1.1937,2.11706e+09,45472, 45472, 45472, 45472, 1, 45472, 58, 58, 58, 784, 45472, 45472, 45472, 44688, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 58, 1
shufflenet_v2,L11,3584,103936,12223.3,25.375,2.07595e+06,2.69385e+14,2.11706e+09,28,25.3747,28,1,28,984,66,1,1,45472,3364,2.15766e+11,2637376,4380.72,816.077,3.3948,2.11706e+09,2637376, 45472, 45472, 45472, 58, 2637376, 103504, 103504, 3364, 25.4809, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 16, 16, 16, 28, 17.5
