Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
shufflenet_v2,L0,3584,23976,35882.1,555,1.54673e+07,2.69385e+14,2.11706e+09,261,221.612,261,1,261,6918,54,1,1,150528,648,3.70845e+11,13306680,4380.72,667.699,23.8671,2.11706e+09,13306680, 5287529, 5287529, 150528, 2.51662, 13306680, 648, 648, 648, 20535, 13306680, 13306680, 1182816, 2943720, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 336, 2.48507
shufflenet_v2,L1,3584,46656,39607.8,135,3.40842e+06,2.69385e+14,2.11706e+09,65,54.072,65,1,65,1710,54,1,1,75264,5184,1.59023e+11,6298560,4380.72,667.699,5.8995,2.11706e+09,6298560, 2511749, 2511749, 75264, 2.50764, 6298560, 5184, 5184, 5184, 1215, 6298560, 6298560, 69984, 1373760, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 84, 2.43976
shufflenet_v2,L2,3584,5568,20709.5,196,9.46427e+06,2.69385e+14,2.11706e+09,225,224,225,1,225,898,6,1,1,18816,1392,5.26971e+10,1091328,4380.72,74.1888,3.0981,2.11706e+09,1091328, 1223792, 1223792, 18816, 0.891759, 1091328, 1392, 1392, 1392, 784, 1091328, 1091328, 45472, 1091328, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 224, 0.5
shufflenet_v2,L3,3584,9744,39708.9,448,1.12821e+07,2.69385e+14,2.11706e+09,449,448,449,1,449,1794,6,1,1,75264,1392,1.09933e+11,4365312,4380.72,74.1888,6.1893,2.11706e+09,4365312, 4329104, 4329104, 75264, 1.00836, 4365312, 1392, 1392, 1392, 3136, 4365312, 4365312, 181888, 4365312, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 1
shufflenet_v2,L4,3584,272484,106714,135,1.26506e+06,2.69385e+14,2.11706e+09,65,54.108,65,1,65,1710,54,1,1,181888,30276,3.44708e+11,36785340,4380.72,667.699,5.8995,2.11706e+09,36785340, 14698709, 14698709, 181888, 2.50262, 36785340, 30276, 30276, 30276, 1215, 36785340, 36785340, 169128, 8023140, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 84, 2.43976
shufflenet_v2,L5,3584,13456,86792.5,196,2.25826e+06,2.69385e+14,2.11706e+09,225,224,225,1,225,898,6,1,1,45472,3364,3.03871e+10,2637376,4380.72,74.1888,3.0981,2.11706e+09,2637376, 2974928, 2974928, 45472, 0.886534, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 224, 0.5
shufflenet_v2,L6,3584,1624,672.006,28,4.16663e+07,2.69385e+14,2.11706e+09,29,28.0006,29,1,29,114,6,1,1,45472,58,6.7666e+10,45472,4380.72,74.1888,0.3933,2.11706e+09,45472, 45415, 45415, 45472, 1.00126, 45472, 58, 58, 58, 784, 45472, 45472, 45472, 45472, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 28, 1
shufflenet_v2,L7,3584,13456,24333.6,196,8.0547e+06,2.69385e+14,2.11706e+09,225,224,225,1,225,898,6,1,1,45472,3364,1.08384e+11,2637376,4380.72,74.1888,3.0981,2.11706e+09,2637376, 2974928, 2974928, 45472, 0.886534, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 224, 0.5
shufflenet_v2,L8,3584,121104,43182.4,130,3.01049e+06,2.69385e+14,2.11706e+09,70,58.2208,70,1,70,1578,54,1,1,45472,30276,3.64582e+11,15743520,4380.72,667.699,5.4441,2.11706e+09,15743520, 7012128, 7012128, 45472, 2.24518, 15743520, 30276, 30276, 30276, 520, 15743520, 15743520, 39208, 1749280, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
shufflenet_v2,L9,3584,13456,51300.1,196,3.82065e+06,2.69385e+14,2.11706e+09,225,224,225,1,225,898,6,1,1,45472,3364,5.14107e+10,2637376,4380.72,74.1888,3.0981,2.11706e+09,2637376, 2974928, 2974928, 45472, 0.886534, 2637376, 3364, 3364, 3364, 784, 2637376, 2637376, 45472, 2637376, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 224, 0.5
