DSE index,"DLA DSE HW (pes, bw)","RRAM DSE HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
1,1024 16,6 48,6,10,8739333501516.0,204438577401387.6,25690900000000.0,pass
2,1024 20,6 44,6,10,8739333501516.0,204462802529839.97,32113400000000.0,pass
3,1024 24,6 40,6,10,8739333501516.0,204491872683982.84,38536000000000.0,pass
4,1024 28,6 36,6,10,8739333501516.0,204527402872379.7,44958600000000.0,pass
5,1024 32,6 32,6,10,8739333501516.0,204571815607875.72,51381200000000.0,pass
6,1024 36,6 28,6,10,8739333501516.0,204628917696370.66,57803700000000.0,pass
7,1024 40,6 24,6,10,8739333501516.0,204705053814363.88,64226300000000.0,pass
8,1024 44,6 20,6,10,8739333501516.0,204811644379554.34,70648900000000.0,pass
9,1024 48,6 16,6,10,8739333501516.0,204971530227340.16,77071500000000.0,pass
10,1024 16,7 48,5,11,2613536504460.0,211420084600622.56,25690900000000.0,pass
11,1024 20,7 44,5,11,2613536504460.0,211445059922988.12,32113400000000.0,pass
12,1024 24,7 40,5,11,2613536504460.0,211475030309826.84,38536000000000.0,pass
13,1024 28,7 36,5,11,2613536504460.0,211511660782629.7,44958600000000.0,pass
14,1024 32,7 32,5,11,2613536504460.0,211557448873633.28,51381200000000.0,pass
15,1024 36,7 28,5,11,2613536504460.0,211616319276352.16,57803700000000.0,pass
16,1024 40,7 24,5,11,2613536504460.0,211694813146643.97,64226300000000.0,pass
17,1024 44,7 20,5,11,2613536504460.0,211804704565052.5,70648900000000.0,pass
18,1024 48,7 16,5,11,2613536504460.0,211969541692665.4,77071500000000.0,pass
19,1024 16,8 48,3,13,44982005148.0,225500341590387.53,25690900000000.0,pass
20,1024 20,8 44,3,13,44982005148.0,225526817300579.5,32113400000000.0,pass
21,1024 24,8 40,3,13,44982005148.0,225558588152809.88,38536000000000.0,pass
22,1024 28,8 36,3,13,44982005148.0,225597419194424.78,44958600000000.0,pass
23,1024 32,8 32,3,13,44982005148.0,225645957996443.4,51381200000000.0,pass
24,1024 36,8 28,3,13,44982005148.0,225708365027610.2,57803700000000.0,pass
25,1024 40,8 24,3,13,44982005148.0,225791574402499.25,64226300000000.0,pass
26,1024 44,8 20,3,13,44982005148.0,225908067527343.94,70648900000000.0,pass
27,1024 48,8 16,3,13,44982005148.0,226082807214610.97,77071500000000.0,pass
28,1024 16,9 48,3,13,44982005148.0,225500341590387.53,25690900000000.0,pass
29,1024 20,9 44,3,13,44982005148.0,225526817300579.5,32113400000000.0,pass
30,1024 24,9 40,3,13,44982005148.0,225558588152809.88,38536000000000.0,pass
31,1024 28,9 36,3,13,44982005148.0,225597419194424.78,44958600000000.0,pass
32,1024 32,9 32,3,13,44982005148.0,225645957996443.4,51381200000000.0,pass
33,1024 36,9 28,3,13,44982005148.0,225708365027610.2,57803700000000.0,pass
34,1024 40,9 24,3,13,44982005148.0,225791574402499.25,64226300000000.0,pass
35,1024 44,9 20,3,13,44982005148.0,225908067527343.94,70648900000000.0,pass
36,1024 48,9 16,3,13,44982005148.0,226082807214610.97,77071500000000.0,pass
37,1024 16,10 48,3,13,44982005148.0,225500341590387.53,25690900000000.0,pass
38,1024 20,10 44,3,13,44982005148.0,225526817300579.5,32113400000000.0,pass
39,1024 24,10 40,3,13,44982005148.0,225558588152809.88,38536000000000.0,pass
40,1024 28,10 36,3,13,44982005148.0,225597419194424.78,44958600000000.0,pass
41,1024 32,10 32,3,13,44982005148.0,225645957996443.4,51381200000000.0,pass
42,1024 36,10 28,3,13,44982005148.0,225708365027610.2,57803700000000.0,pass
43,1024 40,10 24,3,13,44982005148.0,225791574402499.25,64226300000000.0,pass
44,1024 44,10 20,3,13,44982005148.0,225908067527343.94,70648900000000.0,pass
45,1024 48,10 16,3,13,44982005148.0,226082807214610.97,77071500000000.0,pass
46,1024 16,11 48,3,13,44982005148.0,225500341590387.53,25690900000000.0,pass
47,1024 20,11 44,3,13,44982005148.0,225526817300579.5,32113400000000.0,pass
48,1024 24,11 40,3,13,44982005148.0,225558588152809.88,38536000000000.0,pass
49,1024 28,11 36,3,13,44982005148.0,225597419194424.78,44958600000000.0,pass
50,1024 32,11 32,3,13,44982005148.0,225645957996443.4,51381200000000.0,pass
51,1024 36,11 28,3,13,44982005148.0,225708365027610.2,57803700000000.0,pass
52,1024 40,11 24,3,13,44982005148.0,225791574402499.25,64226300000000.0,pass
53,1024 44,11 20,3,13,44982005148.0,225908067527343.94,70648900000000.0,pass
54,1024 48,11 16,3,13,44982005148.0,226082807214610.97,77071500000000.0,pass
55,1024 16,12 48,2,14,15425313563.999998,236912593477032.88,25690900000000.0,pass
56,1024 20,12 44,2,14,15425313563.999998,236972050367340.88,32113400000000.0,pass
57,1024 24,12 40,2,14,15425313563.999998,237043398635710.4,38536000000000.0,pass
58,1024 28,12 36,2,14,15425313563.999998,237130602074828.75,44958600000000.0,pass
59,1024 32,12 32,2,14,15425313563.999998,237239606373726.7,51381200000000.0,pass
60,1024 36,12 28,2,14,15425313563.999998,237379754758024.06,57803700000000.0,pass
61,1024 40,12 24,2,14,15425313563.999998,237566619270420.47,64226300000000.0,pass
62,1024 44,12 20,2,14,15425313563.999998,237828229587775.53,70648900000000.0,pass
63,1024 48,12 16,2,14,15425313563.999998,238220645063808.1,77071500000000.0,pass
64,1024 16,13 48,1,15,523573092.0,242932150693378.16,25690900000000.0,pass
65,1024 20,13 44,1,15,523573092.0,243024729970339.62,32113400000000.0,pass
66,1024 24,13 40,1,15,523573092.0,243135825102693.47,38536000000000.0,pass
67,1024 28,13 36,1,15,523573092.0,243271608042237.03,44958600000000.0,pass
68,1024 32,13 32,1,15,523573092.0,243441336716666.47,51381200000000.0,pass
69,1024 36,13 28,1,15,523573092.0,243659559298075.75,57803700000000.0,pass
70,1024 40,13 24,1,15,523573092.0,243950522739954.78,64226300000000.0,pass
71,1024 44,13 20,1,15,523573092.0,244357871558585.4,70648900000000.0,pass
72,1024 48,13 16,1,15,523573092.0,244968894786531.4,77071500000000.0,pass
73,1024 16,14 48,0,16,0.0,246004231308226.1,25690900000000.0,fail
74,1024 20,14 44,0,16,0.0,246107413483080.9,32113400000000.0,fail
75,1024 24,14 40,0,16,0.0,246231232092906.72,38536000000000.0,fail
76,1024 28,14 36,0,16,0.0,246382565949360.47,44958600000000.0,fail
77,1024 32,14 32,0,16,0.0,246571733269927.62,51381200000000.0,fail
78,1024 36,14 28,0,16,0.0,246814948396371.12,57803700000000.0,fail
79,1024 40,14 24,0,16,0.0,247139235231629.16,64226300000000.0,fail
80,1024 44,14 20,0,16,0.0,247593236800990.34,70648900000000.0,fail
81,1024 48,14 16,0,16,0.0,248274239155032.25,77071500000000.0,fail
82,1024 16,15 48,0,16,0.0,246004231308226.1,25690900000000.0,fail
83,1024 20,15 44,0,16,0.0,246107413483080.9,32113400000000.0,fail
84,1024 24,15 40,0,16,0.0,246231232092906.72,38536000000000.0,fail
85,1024 28,15 36,0,16,0.0,246382565949360.47,44958600000000.0,fail
86,1024 32,15 32,0,16,0.0,246571733269927.62,51381200000000.0,fail
87,1024 36,15 28,0,16,0.0,246814948396371.12,57803700000000.0,fail
88,1024 40,15 24,0,16,0.0,247139235231629.16,64226300000000.0,fail
89,1024 44,15 20,0,16,0.0,247593236800990.34,70648900000000.0,fail
90,1024 48,15 16,0,16,0.0,248274239155032.25,77071500000000.0,fail
91,1024 16,16 48,0,16,0.0,246004231308226.1,25690900000000.0,fail
92,1024 20,16 44,0,16,0.0,246107413483080.9,32113400000000.0,fail
93,1024 24,16 40,0,16,0.0,246231232092906.72,38536000000000.0,fail
94,1024 28,16 36,0,16,0.0,246382565949360.47,44958600000000.0,fail
95,1024 32,16 32,0,16,0.0,246571733269927.62,51381200000000.0,fail
96,1024 36,16 28,0,16,0.0,246814948396371.12,57803700000000.0,fail
97,1024 40,16 24,0,16,0.0,247139235231629.16,64226300000000.0,fail
98,1024 44,16 20,0,16,0.0,247593236800990.34,70648900000000.0,fail
99,1024 48,16 16,0,16,0.0,248274239155032.25,77071500000000.0,fail
100,1024 16,17 48,0,16,0.0,246004231308226.1,25690900000000.0,fail
101,1024 20,17 44,0,16,0.0,246107413483080.9,32113400000000.0,fail
102,1024 24,17 40,0,16,0.0,246231232092906.72,38536000000000.0,fail
