DSE index,layers,latency,area,power,energy,"HW (t_rol,t col,  tile_bw)",restraint
0,14,13767452.069215646,668445823.7824475,157.01022636165797,5024686.966886007,12 12 16,pass
1,9,13639627.415296055,334222911.89122367,71.00355798922249,4277056.495051861,5 5 10,pass
2,9,13759845.01529606,334222911.89122367,71.00355798922249,4277056.495051861,5 5 9,pass
3,9,13910117.01529606,334222911.89122367,71.00355798922249,4277056.495051861,5 5 8,pass
4,9,14103323.872438924,334222911.89122367,71.00355798922249,4277056.495051861,5 5 7,pass
5,9,14360933.01529606,334222911.89122367,71.00355798922249,4277056.495051861,5 5 6,pass
6,9,14721585.815296069,334222911.89122367,71.00355798922249,4277056.495051861,5 5 5,pass
7,9,15262565.01529606,334222911.89122367,71.00355798922249,4277056.495051861,5 5 4,pass
8,9,16164197.01529606,334222911.89122367,71.00355798922249,4277056.495051861,5 5 3,pass
9,10,13964556.188162385,380642760.7650048,83.17056653931124,4575840.428886334,5 7 10,pass
10,10,14097880.988162387,380642760.7650048,83.17056653931124,4575840.428886334,5 7 9,pass
11,10,14264536.988162387,380642760.7650048,83.17056653931124,4575840.428886334,5 7 8,pass
12,10,14478808.988162393,380642760.7650048,83.17056653931124,4575840.428886334,5 7 7,pass
13,10,14764504.988162387,380642760.7650048,83.17056653931124,4575840.428886334,5 7 6,pass
14,10,15164479.388162397,380642760.7650048,83.17056653931124,4575840.428886334,5 7 5,pass
15,10,15764440.988162387,380642760.7650048,83.17056653931124,4575840.428886334,5 7 4,pass
16,10,16764376.988162387,380642760.7650048,83.17056653931124,4575840.428886334,5 7 3,pass
17,11,14058878.781378964,473482458.5125669,107.50458363948876,4725401.732480571,5 9 10,pass
18,11,14196913.981378969,473482458.5125669,107.50458363948876,4725401.732480571,5 9 9,pass
19,11,14369457.981378969,473482458.5125669,107.50458363948876,4725401.732480571,5 9 8,pass
20,11,14591300.26709326,473482458.5125669,107.50458363948876,4725401.732480571,5 9 7,pass
21,11,14887089.981378969,473482458.5125669,107.50458363948876,4725401.732480571,5 9 6,pass
22,11,15301195.581378978,473482458.5125669,107.50458363948876,4725401.732480571,5 9 5,pass
23,11,15922353.981378969,473482458.5125669,107.50458363948876,4725401.732480571,5 9 4,pass
24,11,16957617.98137897,473482458.5125669,107.50458363948876,4725401.732480571,5 9 3,pass
25,12,14184555.774595546,566322156.2601291,131.83860073966628,4874963.036074808,5 11 10,pass
26,12,14330782.97459555,566322156.2601291,131.83860073966628,4874963.036074808,5 11 9,pass
27,12,14513566.97459555,566322156.2601291,131.83860073966628,4874963.036074808,5 11 8,pass
28,12,14748574.974595556,566322156.2601291,131.83860073966628,4874963.036074808,5 11 7,pass
29,12,15061918.97459555,566322156.2601291,131.83860073966628,4874963.036074808,5 11 6,pass
30,12,15500600.57459556,566322156.2601291,131.83860073966628,4874963.036074808,5 11 5,pass
31,12,16158622.97459555,566322156.2601291,131.83860073966628,4874963.036074808,5 11 4,pass
32,12,17255326.97459555,566322156.2601291,131.83860073966628,4874963.036074808,5 11 3,pass
33,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,5 13 10,fail
34,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,5 13 9,fail
35,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,5 13 8,fail
36,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,5 13 7,fail
37,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,5 13 6,fail
38,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,5 13 5,fail
39,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,5 13 4,fail
40,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,5 13 3,fail
41,10,13964556.188162385,380642760.7650048,83.17056653931124,4575840.428886334,7 5 10,pass
42,10,14097880.988162387,380642760.7650048,83.17056653931124,4575840.428886334,7 5 9,pass
43,10,14264536.988162387,380642760.7650048,83.17056653931124,4575840.428886334,7 5 8,pass
44,10,14478808.988162393,380642760.7650048,83.17056653931124,4575840.428886334,7 5 7,pass
45,10,14764504.988162387,380642760.7650048,83.17056653931124,4575840.428886334,7 5 6,pass
46,10,15164479.388162397,380642760.7650048,83.17056653931124,4575840.428886334,7 5 5,pass
47,10,15764440.988162387,380642760.7650048,83.17056653931124,4575840.428886334,7 5 4,pass
48,10,16764376.988162387,380642760.7650048,83.17056653931124,4575840.428886334,7 5 3,pass
49,12,14184555.774595546,566322156.2601291,131.83860073966628,4874963.036074808,7 7 10,pass
