latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
34598729.97408,23473305.9,102762000000000.0,807605000.0,0,16,1024 64,pass
9274501.95392,4964316.5,6459620000000.0,50766450.0,1,6,256 16,pass
9274501.95392,4964316.5,8074520000000.0,63457950.0,2,6,256 20,pass
9274501.95392,4964316.5,9689420000000.0,76149500.0,3,6,256 24,pass
9274501.95392,4964316.5,11304300000000.0,88841000.0,4,6,256 28,pass
9274501.95392,4964316.5,12919200000000.0,101532500.0,5,6,256 32,pass
9274501.95392,4964316.5,14534100000000.0,114224000.0,6,6,256 36,pass
9274501.95392,4964316.5,16149000000000.0,126916000.0,7,6,256 40,pass
9274501.95392,4964316.5,17763900000000.0,139607000.0,8,6,256 44,pass
9274501.95392,4964316.5,19378800000000.0,152299000.0,9,6,256 48,pass
9274501.95392,4964316.5,20993700000000.0,164990000.0,10,6,256 52,pass
9274501.95392,4964316.5,22608600000000.0,177682000.0,11,6,256 56,pass
6269281.581439999,2278856.5,6459620000000.0,50766440.0,12,5,256 16,pass
6269281.581439999,2278856.5,8074520000000.0,63457940.0,13,5,256 20,pass
6269281.581439999,2278856.5,9689420000000.0,76149500.0,14,5,256 24,pass
6269281.581439999,2278856.5,11304300000000.0,88841000.0,15,5,256 28,pass
6269281.581439999,2278856.5,12919200000000.0,101532400.0,16,5,256 32,pass
6269281.581439999,2278856.5,14534100000000.0,114224000.0,17,5,256 36,pass
6269281.581439999,2278856.5,16149000000000.0,126916000.0,18,5,256 40,pass
6269281.581439999,2278856.5,17763900000000.0,139607000.0,19,5,256 44,pass
6269281.581439999,2278856.5,19378800000000.0,152299000.0,20,5,256 48,pass
6269281.581439999,2278856.5,20993700000000.0,164990000.0,21,5,256 52,pass
6269281.581439999,2278856.5,22608600000000.0,177682000.0,22,5,256 56,pass
258840.83648,872930.5,6459620000000.0,50766400.0,23,3,256 16,pass
258840.83648,872930.5,8074520000000.0,63457900.0,24,3,256 20,pass
258840.83648,872930.5,9689420000000.0,76149500.0,25,3,256 24,pass
258840.83648,872930.5,11304300000000.0,88841000.0,26,3,256 28,pass
258840.83648,872930.5,12919200000000.0,101532000.0,27,3,256 32,pass
258840.83648,872930.5,14534100000000.0,114224000.0,28,3,256 36,pass
258840.83648,872930.5,16149000000000.0,126916000.0,29,3,256 40,pass
258840.83648,872930.5,17763900000000.0,139607000.0,30,3,256 44,pass
258840.83648,872930.5,19378800000000.0,152299000.0,31,3,256 48,pass
258840.83648,872930.5,20993700000000.0,164990000.0,32,3,256 52,pass
258840.83648,872930.5,22608600000000.0,177682000.0,33,3,256 56,pass
222608.91648,799251.0,6459620000000.0,50766400.0,34,2,256 16,pass
222608.91648,799251.0,8074520000000.0,63457900.0,35,2,256 20,pass
222608.91648,799251.0,9689420000000.0,76149500.0,36,2,256 24,pass
222608.91648,799251.0,11304300000000.0,88841000.0,37,2,256 28,pass
222608.91648,799251.0,12919200000000.0,101532000.0,38,2,256 32,pass
222608.91648,799251.0,14534100000000.0,114224000.0,39,2,256 36,pass
222608.91648,799251.0,16149000000000.0,126916000.0,40,2,256 40,pass
222608.91648,799251.0,17763900000000.0,139607000.0,41,2,256 44,pass
222608.91648,799251.0,19378800000000.0,152299000.0,42,2,256 48,pass
222608.91648,799251.0,20993700000000.0,164990000.0,43,2,256 52,pass
