DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,6,10,38122376412120.0,204438577401387.6,7679280,12373272,4964316,16522595,6459620000000,454989443,pass
2,256 20,6 44,6,10,38122376412120.0,204462802529839.97,7679280,12374739,4964316,16522595,8074520000000,454989443,pass
3,256 24,6 40,6,10,38122376412120.0,204491872683982.84,7679280,12376498,4964316,16522595,9689420000000,454989443,pass
4,256 28,6 36,6,10,38122376412120.0,204527402872379.7,7679280,12378648,4964316,16522595,11304300000000,454989443,pass
5,256 32,6 32,6,10,38122376412120.0,204571815607875.72,7679280,12381336,4964316,16522595,12919200000000,454989443,pass
6,256 36,6 28,6,10,38122376412120.0,204628917696370.66,7679280,12384792,4964316,16522595,14534100000000,454989443,pass
7,256 40,6 24,6,10,38122376412120.0,204705053814363.88,7679280,12389400,4964316,16522595,16149000000000,454989443,pass
8,256 44,6 20,6,10,38122376412120.0,204811644379554.34,7679280,12395852,4964316,16522595,17763900000000,454989443,pass
9,256 48,6 16,6,10,38122376412120.0,204971530227340.16,7679280,12405528,4964316,16522595,19378800000000,454989443,pass
10,256 16,7 48,5,11,11829452937240.0,211420084600622.56,5190960,12411462,2278856,17034260,6459620000000,578486578,pass
11,256 20,7 44,5,11,11829452937240.0,211445059922988.12,5190960,12412928,2278856,17034260,8074520000000,578486578,pass
12,256 24,7 40,5,11,11829452937240.0,211475030309826.84,5190960,12414688,2278856,17034260,9689420000000,578486578,pass
13,256 28,7 36,5,11,11829452937240.0,211511660782629.7,5190960,12416838,2278856,17034260,11304300000000,578486578,pass
14,256 32,7 32,5,11,11829452937240.0,211557448873633.28,5190960,12419526,2278856,17034260,12919200000000,578486578,pass
15,256 36,7 28,5,11,11829452937240.0,211616319276352.16,5190960,12422982,2278856,17034260,14534100000000,578486578,pass
16,256 40,7 24,5,11,11829452937240.0,211694813146643.97,5190960,12427590,2278856,17034260,16149000000000,578486578,pass
17,256 44,7 20,5,11,11829452937240.0,211804704565052.5,5190960,12434041,2278856,17034260,17763900000000,578486578,pass
18,256 48,7 16,5,11,11829452937240.0,211969541692665.4,5190960,12443718,2278856,17034260,19378800000000,578486578,pass
19,256 16,8 48,3,13,187086464760.0,225500341590387.53,214320,12487842,872930,18057590,6459620000000,825480848,pass
20,256 20,8 44,3,13,187086464760.0,225526817300579.5,214320,12489308,872930,18057590,8074520000000,825480848,pass
21,256 24,8 40,3,13,187086464760.0,225558588152809.88,214320,12491068,872930,18057590,9689420000000,825480848,pass
22,256 28,8 36,3,13,187086464760.0,225597419194424.78,214320,12493218,872930,18057590,11304300000000,825480848,pass
23,256 32,8 32,3,13,187086464760.0,225645957996443.4,214320,12495906,872930,18057590,12919200000000,825480848,pass
24,256 36,8 28,3,13,187086464760.0,225708365027610.2,214320,12499362,872930,18057590,14534100000000,825480848,pass
25,256 40,8 24,3,13,187086464760.0,225791574402499.25,214320,12503970,872930,18057590,16149000000000,825480848,pass
26,256 44,8 20,3,13,187086464760.0,225908067527343.94,214320,12510421,872930,18057590,17763900000000,825480848,pass
27,256 48,8 16,3,13,187086464760.0,226082807214610.97,214320,12520098,872930,18057590,19378800000000,825480848,pass
28,256 16,9 48,3,13,187086464760.0,225500341590387.53,214320,12487842,872930,18057590,6459620000000,825480848,pass
29,256 20,9 44,3,13,187086464760.0,225526817300579.5,214320,12489308,872930,18057590,8074520000000,825480848,pass
30,256 24,9 40,3,13,187086464760.0,225558588152809.88,214320,12491068,872930,18057590,9689420000000,825480848,pass
