latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
12553133.99145204,2281447068.300693,1594.1563213178515,19574433.005709704,0,20,24 64,pass
12373272.889346078,454989443.8206509,295.81344425109233,16522595.05061252,1,10,6 48,pass
12374739.07116426,454989443.8206509,295.81344425109233,16522595.05061252,2,10,6 44,pass
12376498.489346078,454989443.8206509,295.81344425109233,16522595.05061252,3,10,6 40,pass
12378648.889346078,454989443.8206509,295.81344425109233,16522595.05061252,4,10,6 36,pass
12381336.889346078,454989443.8206509,295.81344425109233,16522595.05061252,5,10,6 32,pass
12384792.889346078,454989443.8206509,295.81344425109233,16522595.05061252,6,10,6 28,pass
12389400.889346078,454989443.8206509,295.81344425109233,16522595.05061252,7,10,6 24,pass
12395852.089346075,454989443.8206509,295.81344425109233,16522595.05061252,8,10,6 20,pass
12405528.889346078,454989443.8206509,295.81344425109233,16522595.05061252,9,10,6 16,pass
12421656.889346078,454989443.8206509,295.81344425109233,16522595.05061252,10,10,6 12,pass
12453912.889346078,454989443.8206509,295.81344425109233,16522595.05061252,11,10,6 8,pass
12411462.783241002,578486578.5719705,383.5723894344941,17034260.04597135,12,11,7 48,pass
12412928.965059184,578486578.5719705,383.5723894344941,17034260.04597135,13,11,7 44,pass
12414688.383241002,578486578.5719705,383.5723894344941,17034260.04597135,14,11,7 40,pass
12416838.783241002,578486578.5719705,383.5723894344941,17034260.04597135,15,11,7 36,pass
12419526.783241002,578486578.5719705,383.5723894344941,17034260.04597135,16,11,7 32,pass
12422982.783241002,578486578.5719705,383.5723894344941,17034260.04597135,17,11,7 28,pass
12427590.783241002,578486578.5719705,383.5723894344941,17034260.04597135,18,11,7 24,pass
12434041.983241,578486578.5719705,383.5723894344941,17034260.04597135,19,11,7 20,pass
12443718.783241002,578486578.5719705,383.5723894344941,17034260.04597135,20,11,7 16,pass
12459846.783241002,578486578.5719705,383.5723894344941,17034260.04597135,21,11,7 12,pass
12492102.783241002,578486578.5719705,383.5723894344941,17034260.04597135,22,11,7 8,pass
12487842.571030846,825480848.0746095,559.0902798012977,18057590.036689,23,13,8 48,pass
12489308.75284903,825480848.0746095,559.0902798012977,18057590.036689,24,13,8 44,pass
12491068.171030847,825480848.0746095,559.0902798012977,18057590.036689,25,13,8 40,pass
12493218.571030846,825480848.0746095,559.0902798012977,18057590.036689,26,13,8 36,pass
12495906.571030846,825480848.0746095,559.0902798012977,18057590.036689,27,13,8 32,pass
12499362.571030846,825480848.0746095,559.0902798012977,18057590.036689,28,13,8 28,pass
12503970.571030846,825480848.0746095,559.0902798012977,18057590.036689,29,13,8 24,pass
12510421.771030849,825480848.0746095,559.0902798012977,18057590.036689,30,13,8 20,pass
12520098.571030846,825480848.0746095,559.0902798012977,18057590.036689,31,13,8 16,pass
12536226.571030846,825480848.0746095,559.0902798012977,18057590.036689,32,13,8 12,pass
12568482.571030846,825480848.0746095,559.0902798012977,18057590.036689,33,13,8 8,pass
12505860.044504575,1033476022.3926214,706.9568571608054,18274281.889406245,34,14,9 48,pass
12507814.953595487,1033476022.3926214,706.9568571608054,18274281.889406245,35,14,9 44,pass
12510160.844504578,1033476022.3926214,706.9568571608054,18274281.889406245,36,14,9 40,pass
12513028.044504575,1033476022.3926214,706.9568571608054,18274281.889406245,37,14,9 36,pass
12516612.044504575,1033476022.3926214,706.9568571608054,18274281.889406245,38,14,9 32,pass
12521220.044504575,1033476022.3926214,706.9568571608054,18274281.889406245,39,14,9 28,pass
12527364.044504575,1033476022.3926214,706.9568571608054,18274281.889406245,40,14,9 24,pass
12535965.64450458,1033476022.3926214,706.9568571608054,18274281.889406245,41,14,9 20,pass
12548868.044504575,1033476022.3926214,706.9568571608054,18274281.889406245,42,14,9 16,pass
12570372.044504575,1033476022.3926214,706.9568571608054,18274281.889406245,43,14,9 12,pass
12568482.571030846,825480848.0746095,559.0902798012977,18057590.036689,44,13,9 8,pass
12518531.044504575,1241471196.7106333,854.8234345203131,18490973.74212349,45,14,10 48,pass
12521637.953595487,1241471196.7106333,854.8234345203131,18490973.74212349,46,14,10 44,pass
12525366.244504578,1241471196.7106333,854.8234345203131,18490973.74212349,47,14,10 40,pass
12529923.044504575,1241471196.7106333,854.8234345203131,18490973.74212349,48,14,10 36,pass
12535619.044504575,1241471196.7106333,854.8234345203131,18490973.74212349,49,14,10 32,pass
12542942.473076005,1241471196.7106333,854.8234345203131,18490973.74212349,50,14,10 28,pass
12552707.044504575,1241471196.7106333,854.8234345203131,18490973.74212349,51,14,10 24,pass
12566377.444504578,1241471196.7106333,854.8234345203131,18490973.74212349,52,14,10 20,pass
