latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
331142067.62304,30586489.4,102762000000000.0,807605812.5,0,16,1024 64,pass
131317521.57119998,5463169.7,6459620000000.0,50766557.14285714,1,7,256 16,pass
131317521.57119998,5463169.7,8074520000000.0,63458057.14285714,2,7,256 20,pass
131317521.57119998,5463169.7,9689420000000.0,76149557.14285715,3,7,256 24,pass
131317521.57119998,5463169.7,11304300000000.0,88841071.42857143,4,7,256 28,pass
131317521.57119998,5463169.7,12919200000000.0,101533000.0,5,7,256 32,pass
131317521.57119998,5463169.7,14534100000000.0,114224000.0,6,7,256 36,pass
131317521.57119998,5463169.7,16149000000000.0,126916000.0,7,7,256 40,pass
131317521.57119998,5463169.7,17763900000000.0,139607000.0,8,7,256 44,pass
131317521.57119998,5463169.7,19378800000000.0,152299000.0,9,7,256 48,pass
131317521.57119998,5463169.7,20993700000000.0,164990000.0,10,7,256 52,pass
131317521.57119998,5463169.7,22608600000000.0,177682000.0,11,7,256 56,pass
100597491.09696,5114754.7,6459620000000.0,50766550.0,12,6,256 16,pass
100597491.09696,5114754.7,8074520000000.0,63458050.0,13,6,256 20,pass
100597491.09696,5114754.7,9689420000000.0,76149550.0,14,6,256 24,pass
100597491.09696,5114754.7,11304300000000.0,88841083.33333333,15,6,256 28,pass
100597491.09696,5114754.7,12919200000000.0,101533000.0,16,6,256 32,pass
100597491.09696,5114754.7,14534100000000.0,114224000.0,17,6,256 36,pass
100597491.09696,5114754.7,16149000000000.0,126916000.0,18,6,256 40,pass
100597491.09696,5114754.7,17763900000000.0,139607000.0,19,6,256 44,pass
100597491.09696,5114754.7,19378800000000.0,152299000.0,20,6,256 48,pass
100597491.09696,5114754.7,20993700000000.0,164990000.0,21,6,256 52,pass
100597491.09696,5114754.7,22608600000000.0,177682000.0,22,6,256 56,pass
67206153.62495999,1012259.7,6459620000000.0,50766525.0,23,4,256 16,pass
67206153.62495999,1012259.7,8074520000000.0,63458025.0,24,4,256 20,pass
67206153.62495999,1012259.7,9689420000000.0,76149525.0,25,4,256 24,pass
67206153.62495999,1012259.7,11304300000000.0,88841050.0,26,4,256 28,pass
67206153.62495999,1012259.7,12919200000000.0,101533000.0,27,4,256 32,pass
