DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,16,712639920.0,36560799.5,102762000000000.0,807605000.0,1024 64,pass
1,11,305661360.0,17279689.5,6459620000000.0,50766472.72727273,256 16,pass
2,11,305661360.0,17279689.5,8074520000000.0,63457972.72727273,256 20,pass
3,11,305661360.0,17279689.5,9689420000000.0,76149500.0,256 24,pass
4,11,305661360.0,17279689.5,11304300000000.0,88841000.0,256 28,pass
5,11,305661360.0,17279689.5,12919200000000.0,101532727.27272728,256 32,pass
6,11,305661360.0,17279689.5,14534100000000.0,114224000.0,256 36,pass
7,11,305661360.0,17279689.5,16149000000000.0,126916000.0,256 40,pass
8,11,305661360.0,17279689.5,17763900000000.0,139607000.0,256 44,pass
9,11,305661360.0,17279689.5,19378800000000.0,152299000.0,256 48,pass
10,9,199493040.0,15418147.5,6459620000000.0,50766466.66666666,256 16,pass
11,9,199493040.0,15418147.5,8074520000000.0,63457966.66666666,256 20,pass
12,9,199493040.0,15418147.5,9689420000000.0,76149500.0,256 24,pass
13,9,199493040.0,15418147.5,11304300000000.0,88841000.0,256 28,pass
14,9,199493040.0,15418147.5,12919200000000.0,101532666.66666669,256 32,pass
15,9,199493040.0,15418147.5,14534100000000.0,114224000.0,256 36,pass
16,9,199493040.0,15418147.5,16149000000000.0,126916000.0,256 40,pass
17,9,199493040.0,15418147.5,17763900000000.0,139607000.0,256 44,pass
18,9,199493040.0,15418147.5,19378800000000.0,152299000.0,256 48,pass
19,8,146408880.0,14487376.5,6459620000000.0,50766462.5,256 16,pass
20,8,146408880.0,14487376.5,8074520000000.0,63457962.5,256 20,pass
21,8,146408880.0,14487376.5,9689420000000.0,76149500.0,256 24,pass
22,8,146408880.0,14487376.5,11304300000000.0,88841000.0,256 28,pass
23,8,146408880.0,14487376.5,12919200000000.0,101532625.0,256 32,pass
24,8,146408880.0,14487376.5,14534100000000.0,114224000.0,256 36,pass
25,8,146408880.0,14487376.5,16149000000000.0,126916000.0,256 40,pass
26,8,146408880.0,14487376.5,17763900000000.0,139607000.0,256 44,pass
27,8,146408880.0,14487376.5,19378800000000.0,152299000.0,256 48,pass
28,8,146408880.0,14487376.5,6459620000000.0,50766462.5,256 16,pass
29,8,146408880.0,14487376.5,8074520000000.0,63457962.5,256 20,pass
30,8,146408880.0,14487376.5,9689420000000.0,76149500.0,256 24,pass
31,8,146408880.0,14487376.5,11304300000000.0,88841000.0,256 28,pass
32,8,146408880.0,14487376.5,12919200000000.0,101532625.0,256 32,pass
33,8,146408880.0,14487376.5,14534100000000.0,114224000.0,256 36,pass
34,8,146408880.0,14487376.5,16149000000000.0,126916000.0,256 40,pass
35,8,146408880.0,14487376.5,17763900000000.0,139607000.0,256 44,pass
36,8,146408880.0,14487376.5,19378800000000.0,152299000.0,256 48,pass
37,8,146408880.0,14487376.5,6459620000000.0,50766462.5,256 16,pass
38,8,146408880.0,14487376.5,8074520000000.0,63457962.5,256 20,pass
39,8,146408880.0,14487376.5,9689420000000.0,76149500.0,256 24,pass
40,8,146408880.0,14487376.5,11304300000000.0,88841000.0,256 28,pass
41,8,146408880.0,14487376.5,12919200000000.0,101532625.0,256 32,pass
42,8,146408880.0,14487376.5,14534100000000.0,114224000.0,256 36,pass
43,8,146408880.0,14487376.5,16149000000000.0,126916000.0,256 40,pass
44,8,146408880.0,14487376.5,17763900000000.0,139607000.0,256 44,pass
45,8,146408880.0,14487376.5,19378800000000.0,152299000.0,256 48,pass
46,8,146408880.0,14487376.5,6459620000000.0,50766462.5,256 16,pass
47,8,146408880.0,14487376.5,8074520000000.0,63457962.5,256 20,pass
48,8,146408880.0,14487376.5,9689420000000.0,76149500.0,256 24,pass
49,8,146408880.0,14487376.5,11304300000000.0,88841000.0,256 28,pass
50,8,146408880.0,14487376.5,12919200000000.0,101532625.0,256 32,unexamined
0,16,712639920.0,36560799.5,102762000000000.0,807605000.0,1024 64,pass
1,11,305661360.0,17279689.5,6459620000000.0,50766472.72727273,256 16,unexamined
