DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,11,5,5281733392947720.0,16829826602762.146,305661360,1777843,17279689,9466428,6459620000000,389990951,pass
2,256 20,6 44,11,5,5281733392947720.0,16837096819773.29,305661360,1778611,17279689,9466428,8074520000000,389990951,pass
3,256 24,6 40,11,5,5281733392947720.0,16845821080186.662,305661360,1779532,17279689,9466428,9689420000000,389990951,pass
4,256 28,6 36,11,5,5281733392947720.0,16856484065136.336,305661360,1780659,17279689,9466428,11304300000000,389990951,pass
5,256 32,6 32,11,5,5281733392947720.0,16869812796323.432,305661360,1782067,17279689,9466428,12919200000000,389990951,pass
6,256 36,6 28,11,5,5281733392947720.0,16886949736421.123,305661360,1783877,17279689,9466428,14534100000000,389990951,pass
7,256 40,6 24,11,5,5281733392947720.0,16909798989884.717,305661360,1786291,17279689,9466428,16149000000000,389990951,pass
8,256 44,6 20,11,5,5281733392947720.0,16941787944733.746,305661360,1789670,17279689,9466428,17763900000000,389990951,pass
9,256 48,6 16,11,5,5281733392947720.0,16989771377007.29,305661360,1794739,17279689,9466428,19378800000000,389990951,pass
10,256 16,7 48,9,7,3075813115943400.0,19450352522401.355,199493040,1854223,15418147,10489758,6459620000000,636985221,pass
11,256 20,7 44,9,7,3075813115943400.0,19458408656845.367,199493040,1854991,15418147,10489758,8074520000000,636985221,pass
12,256 24,7 40,9,7,3075813115943400.0,19468076018178.188,199493040,1855912,15418147,10489758,9689420000000,636985221,pass
13,256 28,7 36,9,7,3075813115943400.0,19479891682029.406,199493040,1857039,15418147,10489758,11304300000000,636985221,pass
14,256 32,7 32,9,7,3075813115943400.0,19494661261843.434,199493040,1858447,15418147,10489758,12919200000000,636985221,pass
15,256 36,7 28,9,7,3075813115943400.0,19513650721604.324,199493040,1860257,15418147,10489758,14534100000000,636985221,pass
16,256 40,7 24,9,7,3075813115943400.0,19538970001285.508,199493040,1862671,15418147,10489758,16149000000000,636985221,pass
17,256 44,7 20,9,7,3075813115943400.0,19574416992839.17,199493040,1866050,15418147,10489758,17763900000000,636985221,pass
18,256 48,7 16,9,7,3075813115943400.0,19627587480169.664,199493040,1871119,15418147,10489758,19378800000000,636985221,pass
19,256 16,8 48,8,8,2121080567503320.0,20819236777868.46,146408880,1892413,14487376,11001423,6459620000000,760482356,pass
20,256 20,8 44,8,8,2121080567503320.0,20827685871028.91,146408880,1893181,14487376,11001423,8074520000000,760482356,pass
21,256 24,8 40,8,8,2121080567503320.0,20837824782821.45,146408880,1894102,14487376,11001423,9689420000000,760482356,pass
22,256 28,8 36,8,8,2121080567503320.0,20850216786123.445,146408880,1895229,14487376,11001423,11304300000000,760482356,pass
23,256 32,8 32,8,8,2121080567503320.0,20865706790250.934,146408880,1896637,14487376,11001423,12919200000000,760482356,pass
24,256 36,8 28,8,8,2121080567503320.0,20885622509843.42,146408880,1898447,14487376,11001423,14534100000000,760482356,pass
25,256 40,8 24,8,8,2121080567503320.0,20912176802633.406,146408880,1900861,14487376,11001423,16149000000000,760482356,pass
26,256 44,8 20,8,8,2121080567503320.0,20949352812539.387,146408880,1904240,14487376,11001423,17763900000000,760482356,pass
27,256 48,8 16,8,8,2121080567503320.0,21005116827398.35,146408880,1909309,14487376,11001423,19378800000000,760482356,pass
28,256 16,9 48,8,8,2121080567503320.0,20819236777868.46,146408880,1892413,14487376,11001423,6459620000000,760482356,pass
29,256 20,9 44,8,8,2121080567503320.0,20827685871028.91,146408880,1893181,14487376,11001423,8074520000000,760482356,pass
30,256 24,9 40,8,8,2121080567503320.0,20837824782821.45,146408880,1894102,14487376,11001423,9689420000000,760482356,pass
31,256 28,9 36,8,8,2121080567503320.0,20850216786123.445,146408880,1895229,14487376,11001423,11304300000000,760482356,pass
32,256 32,9 32,8,8,2121080567503320.0,20865706790250.934,146408880,1896637,14487376,11001423,12919200000000,760482356,pass
33,256 36,9 28,8,8,2121080567503320.0,20885622509843.42,146408880,1898447,14487376,11001423,14534100000000,760482356,pass
34,256 40,9 24,8,8,2121080567503320.0,20912176802633.406,146408880,1900861,14487376,11001423,16149000000000,760482356,pass
35,256 44,9 20,8,8,2121080567503320.0,20949352812539.387,146408880,1904240,14487376,11001423,17763900000000,760482356,pass
36,256 48,9 16,8,8,2121080567503320.0,21005116827398.35,146408880,1909309,14487376,11001423,19378800000000,760482356,pass
37,256 16,10 48,8,8,2121080567503320.0,20819236777868.46,146408880,1892413,14487376,11001423,6459620000000,760482356,pass
38,256 20,10 44,8,8,2121080567503320.0,20827685871028.91,146408880,1893181,14487376,11001423,8074520000000,760482356,pass
39,256 24,10 40,8,8,2121080567503320.0,20837824782821.45,146408880,1894102,14487376,11001423,9689420000000,760482356,pass
40,256 28,10 36,8,8,2121080567503320.0,20850216786123.445,146408880,1895229,14487376,11001423,11304300000000,760482356,pass
41,256 32,10 32,8,8,2121080567503320.0,20865706790250.934,146408880,1896637,14487376,11001423,12919200000000,760482356,pass
42,256 36,10 28,8,8,2121080567503320.0,20885622509843.42,146408880,1898447,14487376,11001423,14534100000000,760482356,pass
43,256 40,10 24,8,8,2121080567503320.0,20912176802633.406,146408880,1900861,14487376,11001423,16149000000000,760482356,pass
44,256 44,10 20,8,8,2121080567503320.0,20949352812539.387,146408880,1904240,14487376,11001423,17763900000000,760482356,pass
45,256 48,10 16,8,8,2121080567503320.0,21005116827398.35,146408880,1909309,14487376,11001423,19378800000000,760482356,pass
46,256 16,11 48,8,8,2121080567503320.0,20819236777868.46,146408880,1892413,14487376,11001423,6459620000000,760482356,pass
47,256 20,11 44,8,8,2121080567503320.0,20827685871028.91,146408880,1893181,14487376,11001423,8074520000000,760482356,pass
48,256 24,11 40,8,8,2121080567503320.0,20837824782821.45,146408880,1894102,14487376,11001423,9689420000000,760482356,pass
49,256 28,11 36,8,8,2121080567503320.0,20850216786123.445,146408880,1895229,14487376,11001423,11304300000000,760482356,pass
50,256 32,11 32,8,8,2121080567503320.0,20865706790250.934,146408880,1896637,14487376,11001423,12919200000000,760482356,pass
51,256 36,11 28,8,8,2121080567503320.0,20885622509843.42,146408880,1898447,14487376,11001423,14534100000000,760482356,pass
52,256 40,11 24,8,8,2121080567503320.0,20912176802633.406,146408880,1900861,14487376,11001423,16149000000000,760482356,pass
53,256 44,11 20,8,8,2121080567503320.0,20949352812539.387,146408880,1904240,14487376,11001423,17763900000000,760482356,pass
54,256 48,11 16,8,8,2121080567503320.0,21005116827398.35,146408880,1909309,14487376,11001423,19378800000000,760482356,pass
55,256 16,12 48,5,11,403703264258280.0,84502983524734.45,54678960,5090773,7383155,16599240,6459620000000,1631462148,pass
56,256 20,12 44,5,11,403703264258280.0,84550499606075.56,54678960,5093636,7383155,16599240,8074520000000,1631462148,pass
57,256 24,12 40,5,11,403703264258280.0,84607518903684.88,54678960,5097071,7383155,16599240,9689420000000,1631462148,pass
58,256 28,12 36,5,11,403703264258280.0,84677209156318.48,54678960,5101269,7383155,16599240,11304300000000,1631462148,pass
59,256 32,12 32,5,11,403703264258280.0,84764321972110.5,54678960,5106517,7383155,16599240,12919200000000,1631462148,pass
60,256 36,12 28,5,11,403703264258280.0,84876324163843.11,54678960,5113265,7383155,16599240,14534100000000,1631462148,pass
61,256 40,12 24,5,11,403703264258280.0,85025660419486.55,54678960,5122261,7383155,16599240,16149000000000,1631462148,pass
62,256 44,12 20,5,11,403703264258280.0,85234731177387.4,54678960,5134857,7383155,16599240,17763900000000,1631462148,pass
