latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
12553133.99145204,2281447068.300693,1594.1563213178515,19574433.005709704,0,20,24 64,pass
10598362.470795864,448489594.62321305,295.50005834374144,16339333.645996545,1,9,6 48,pass
10599828.652614046,448489594.62321305,295.50005834374144,16339333.645996545,2,9,6 44,pass
10601588.070795864,448489594.62321305,295.50005834374144,16339333.645996545,3,9,6 40,pass
10603738.470795864,448489594.62321305,295.50005834374144,16339333.645996545,4,9,6 36,pass
10606426.470795864,448489594.62321305,295.50005834374144,16339333.645996545,5,9,6 32,pass
10609882.470795864,448489594.62321305,295.50005834374144,16339333.645996545,6,9,6 28,pass
10614490.470795864,448489594.62321305,295.50005834374144,16339333.645996545,7,9,6 24,pass
10620941.670795863,448489594.62321305,295.50005834374144,16339333.645996545,8,9,6 20,pass
10630618.470795864,448489594.62321305,295.50005834374144,16339333.645996545,9,9,6 16,pass
10646746.470795864,448489594.62321305,295.50005834374144,16339333.645996545,10,9,6 12,pass
10679002.470795864,448489594.62321305,295.50005834374144,16339333.645996545,11,9,6 8,pass
8893629.049310597,688984014.9284143,468.1287887357669,16363282.798992056,12,10,7 48,pass
8895095.231128778,688984014.9284143,468.1287887357669,16363282.798992056,13,10,7 44,pass
8896854.649310596,688984014.9284143,468.1287887357669,16363282.798992056,14,10,7 40,pass
8899005.049310597,688984014.9284143,468.1287887357669,16363282.798992056,15,10,7 36,pass
8901693.049310597,688984014.9284143,468.1287887357669,16363282.798992056,16,10,7 32,pass
8905149.049310599,688984014.9284143,468.1287887357669,16363282.798992056,17,10,7 28,pass
8909757.049310597,688984014.9284143,468.1287887357669,16363282.798992056,18,10,7 24,pass
8916208.249310596,688984014.9284143,468.1287887357669,16363282.798992056,19,10,7 20,pass
8925885.049310597,688984014.9284143,468.1287887357669,16363282.798992056,20,10,7 16,pass
8942013.049310597,688984014.9284143,468.1287887357669,16363282.798992056,21,10,7 12,pass
8974269.049310597,688984014.9284143,468.1287887357669,16363282.798992056,22,10,7 8,pass
10712932.152480632,818980998.8771718,558.7768938939467,17874328.63207303,23,12,8 48,pass
10714398.334298816,818980998.8771718,558.7768938939467,17874328.63207303,24,12,8 44,pass
10716157.752480634,818980998.8771718,558.7768938939467,17874328.63207303,25,12,8 40,pass
10718308.152480632,818980998.8771718,558.7768938939467,17874328.63207303,26,12,8 36,pass
10720996.152480632,818980998.8771718,558.7768938939467,17874328.63207303,27,12,8 32,pass
10724452.152480632,818980998.8771718,558.7768938939467,17874328.63207303,28,12,8 28,pass
10729060.152480632,818980998.8771718,558.7768938939467,17874328.63207303,29,12,8 24,pass
10735511.352480631,818980998.8771718,558.7768938939467,17874328.63207303,30,12,8 20,pass
10745188.152480632,818980998.8771718,558.7768938939467,17874328.63207303,31,12,8 16,pass
10761316.152480632,818980998.8771718,558.7768938939467,17874328.63207303,32,12,8 12,pass
10793572.152480632,818980998.8771718,558.7768938939467,17874328.63207303,33,12,8 8,pass
10730949.625954363,1026976173.1951836,706.6434712534544,18091020.48479028,34,13,9 48,pass
10732904.535045274,1026976173.1951836,706.6434712534544,18091020.48479028,35,13,9 44,pass
10735250.425954364,1026976173.1951836,706.6434712534544,18091020.48479028,36,13,9 40,pass
10738117.625954363,1026976173.1951836,706.6434712534544,18091020.48479028,37,13,9 36,pass
10741701.625954363,1026976173.1951836,706.6434712534544,18091020.48479028,38,13,9 32,pass
10746309.625954363,1026976173.1951836,706.6434712534544,18091020.48479028,39,13,9 28,pass
10752453.625954363,1026976173.1951836,706.6434712534544,18091020.48479028,40,13,9 24,pass
10761055.225954363,1026976173.1951836,706.6434712534544,18091020.48479028,41,13,9 20,pass
10773957.625954363,1026976173.1951836,706.6434712534544,18091020.48479028,42,13,9 16,pass
10795461.625954363,1026976173.1951836,706.6434712534544,18091020.48479028,43,13,9 12,pass
10838469.625954363,1026976173.1951836,706.6434712534544,18091020.48479028,44,13,9 8,pass
10743620.625954363,1234971347.5131955,854.5100486129621,18307712.33750752,45,13,10 48,pass
10746727.535045274,1234971347.5131955,854.5100486129621,18307712.33750752,46,13,10 44,pass
10750455.825954365,1234971347.5131955,854.5100486129621,18307712.33750752,47,13,10 40,pass
10755012.625954363,1234971347.5131955,854.5100486129621,18307712.33750752,48,13,10 36,pass
10760708.625954363,1234971347.5131955,854.5100486129621,18307712.33750752,49,13,10 32,pass
10768032.05452579,1234971347.5131955,854.5100486129621,18307712.33750752,50,13,10 28,pass
10777796.625954363,1234971347.5131955,854.5100486129621,18307712.33750752,51,13,10 24,pass
10791467.025954364,1234971347.5131955,854.5100486129621,18307712.33750752,52,13,10 20,pass
10811972.625954363,1234971347.5131955,854.5100486129621,18307712.33750752,53,13,10 16,pass
10846148.625954363,1234971347.5131955,854.5100486129621,18307712.33750752,54,13,10 12,pass
10914500.625954363,1234971347.5131955,854.5100486129621,18307712.33750752,55,13,10 8,pass
10761638.099428097,1442966521.8312073,1002.3766259724698,18524404.19022476,56,14,11 48,pass
10765233.735791732,1442966521.8312073,1002.3766259724698,18524404.19022476,57,14,11 44,pass
10769548.499428095,1442966521.8312073,1002.3766259724698,18524404.19022476,58,14,11 40,pass
10774822.099428097,1442966521.8312073,1002.3766259724698,18524404.19022476,59,14,11 36,pass
10781414.099428097,1442966521.8312073,1002.3766259724698,18524404.19022476,60,14,11 32,pass
10789889.527999522,1442966521.8312073,1002.3766259724698,18524404.19022476,61,14,11 28,pass
10801190.099428097,1442966521.8312073,1002.3766259724698,18524404.19022476,62,14,11 24,pass
10817010.899428096,1442966521.8312073,1002.3766259724698,18524404.19022476,63,14,11 20,pass
10840742.099428097,1442966521.8312073,1002.3766259724698,18524404.19022476,64,14,11 16,pass
10880294.099428097,1442966521.8312073,1002.3766259724698,18524404.19022476,65,14,11 12,pass
10959398.099428097,1442966521.8312073,1002.3766259724698,18524404.19022476,66,14,11 8,pass
10762031.099428097,1858956870.4672308,1298.109780691485,18957787.89565925,67,14,12 48,pass
10765661.644882642,1858956870.4672308,1298.109780691485,18957787.89565925,68,14,12 44,pass
10770018.299428096,1858956870.4672308,1298.109780691485,18957787.89565925,69,14,12 40,pass
10775343.099428097,1858956870.4672308,1298.109780691485,18957787.89565925,70,14,12 36,pass
10781999.099428097,1858956870.4672308,1298.109780691485,18957787.89565925,71,14,12 32,pass
10790556.81371381,1858956870.4672308,1298.109780691485,18957787.89565925,72,14,12 28,pass
10801967.099428097,1858956870.4672308,1298.109780691485,18957787.89565925,73,14,12 24,pass
10817941.499428095,1858956870.4672308,1298.109780691485,18957787.89565925,74,14,12 20,pass
10841903.099428097,1858956870.4672308,1298.109780691485,18957787.89565925,75,14,12 16,pass
10881839.099428097,1858956870.4672308,1298.109780691485,18957787.89565925,76,14,12 12,pass
10961711.099428097,1858956870.4672308,1298.109780691485,18957787.89565925,77,14,12 8,pass
10774702.099428097,2066952044.785243,1445.976358050993,19174479.74837649,78,14,13 48,pass
10779484.644882642,2066952044.785243,1445.976358050993,19174479.74837649,79,14,13 44,pass
10785223.699428096,2066952044.785243,1445.976358050993,19174479.74837649,80,14,13 40,pass
10792238.099428097,2066952044.785243,1445.976358050993,19174479.74837649,81,14,13 36,pass
10801006.099428097,2066952044.785243,1445.976358050993,19174479.74837649,82,14,13 32,pass
10812279.242285237,2066952044.785243,1445.976358050993,19174479.74837649,83,14,13 28,pass
10827310.099428097,2066952044.785243,1445.976358050993,19174479.74837649,84,14,13 24,pass
