DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,16,50407020.0,34506965.5,102762000000000.0,807605000.0,1024 64,pass
1,7,14015610.0,5847627.7,6459620000000.0,50766457.14285714,256 16,pass
2,7,14015610.0,5847627.7,8074520000000.0,63457957.14285714,256 20,pass
3,7,14015610.0,5847627.7,9689420000000.0,76149500.0,256 24,pass
4,7,14015610.0,5847627.7,11304300000000.0,88841000.0,256 28,pass
5,7,14015610.0,5847627.7,12919200000000.0,101532571.42857143,256 32,pass
6,7,14015610.0,5847627.7,14534100000000.0,114224000.0,256 36,pass
7,7,14015610.0,5847627.7,16149000000000.0,126916000.0,256 40,pass
8,7,14015610.0,5847627.7,17763900000000.0,139607000.0,256 44,pass
9,7,14015610.0,5847627.7,19378800000000.0,152299000.0,256 48,pass
10,6,10697850.0,2912807.7,6459620000000.0,50766450.0,256 16,pass
11,6,10697850.0,2912807.7,8074520000000.0,63457950.0,256 20,pass
12,6,10697850.0,2912807.7,9689420000000.0,76149500.0,256 24,pass
13,6,10697850.0,2912807.7,11304300000000.0,88841000.0,256 28,pass
14,6,10697850.0,2912807.7,12919200000000.0,101532500.0,256 32,pass
15,6,10697850.0,2912807.7,14534100000000.0,114224000.0,256 36,pass
16,6,10697850.0,2912807.7,16149000000000.0,126916000.0,256 40,pass
17,6,10697850.0,2912807.7,17763900000000.0,139607000.0,256 44,pass
18,6,10697850.0,2912807.7,19378800000000.0,152299000.0,256 48,pass
19,4,4062330.0,1056479.7,6459620000000.0,50766425.0,256 16,pass
20,4,4062330.0,1056479.7,8074520000000.0,63457925.0,256 20,pass
21,4,4062330.0,1056479.7,9689420000000.0,76149500.0,256 24,pass
22,4,4062330.0,1056479.7,11304300000000.0,88841000.0,256 28,pass
23,4,4062330.0,1056479.7,12919200000000.0,101532250.0,256 32,pass
24,4,4062330.0,1056479.7,14534100000000.0,114224000.0,256 36,pass
25,4,4062330.0,1056479.7,16149000000000.0,126916000.0,256 40,pass
26,4,4062330.0,1056479.7,17763900000000.0,139607000.0,256 44,pass
27,4,4062330.0,1056479.7,19378800000000.0,152299000.0,256 48,pass
28,4,4062330.0,1056479.7,6459620000000.0,50766425.0,256 16,pass
29,4,4062330.0,1056479.7,8074520000000.0,63457925.0,256 20,pass
30,4,4062330.0,1056479.7,9689420000000.0,76149500.0,256 24,pass
31,4,4062330.0,1056479.7,11304300000000.0,88841000.0,256 28,pass
32,4,4062330.0,1056479.7,12919200000000.0,101532250.0,256 32,pass
33,4,4062330.0,1056479.7,14534100000000.0,114224000.0,256 36,pass
34,4,4062330.0,1056479.7,16149000000000.0,126916000.0,256 40,pass
35,4,4062330.0,1056479.7,17763900000000.0,139607000.0,256 44,pass
36,4,4062330.0,1056479.7,19378800000000.0,152299000.0,256 48,pass
37,4,4062330.0,1056479.7,6459620000000.0,50766425.0,256 16,pass
38,4,4062330.0,1056479.7,8074520000000.0,63457925.0,256 20,pass
39,4,4062330.0,1056479.7,9689420000000.0,76149500.0,256 24,pass
40,4,4062330.0,1056479.7,11304300000000.0,88841000.0,256 28,pass
41,4,4062330.0,1056479.7,12919200000000.0,101532250.0,256 32,pass
42,4,4062330.0,1056479.7,14534100000000.0,114224000.0,256 36,pass
43,4,4062330.0,1056479.7,16149000000000.0,126916000.0,256 40,pass
44,4,4062330.0,1056479.7,17763900000000.0,139607000.0,256 44,pass
45,4,4062330.0,1056479.7,19378800000000.0,152299000.0,256 48,pass
46,4,4062330.0,1056479.7,6459620000000.0,50766425.0,256 16,pass
47,4,4062330.0,1056479.7,8074520000000.0,63457925.0,256 20,pass
48,4,4062330.0,1056479.7,9689420000000.0,76149500.0,256 24,pass
49,4,4062330.0,1056479.7,11304300000000.0,88841000.0,256 28,pass
50,4,4062330.0,1056479.7,12919200000000.0,101532250.0,256 32,pass
51,4,4062330.0,1056479.7,14534100000000.0,114224000.0,256 36,pass
52,4,4062330.0,1056479.7,16149000000000.0,126916000.0,256 40,pass
53,4,4062330.0,1056479.7,17763900000000.0,139607000.0,256 44,pass
54,4,4062330.0,1056479.7,19378800000000.0,152299000.0,256 48,pass
55,3,2096250.0,820131.7,6459620000000.0,50766433.333333336,256 16,pass
56,3,2096250.0,820131.7,8074520000000.0,63457933.333333336,256 20,pass
57,3,2096250.0,820131.7,9689420000000.0,76149500.0,256 24,pass
58,3,2096250.0,820131.7,11304300000000.0,88841000.0,256 28,pass
59,3,2096250.0,820131.7,12919200000000.0,101532333.33333331,256 32,pass
60,3,2096250.0,820131.7,14534100000000.0,114224000.0,256 36,pass
61,3,2096250.0,820131.7,16149000000000.0,126916000.0,256 40,pass
62,3,2096250.0,820131.7,17763900000000.0,139607000.0,256 44,pass
63,3,2096250.0,820131.7,19378800000000.0,152299000.0,256 48,pass
64,1,483840.0,86677.0,6459620000000.0,50766400.0,256 16,pass
65,1,483840.0,86677.0,8074520000000.0,63457900.0,256 20,pass
66,1,483840.0,86677.0,9689420000000.0,76149500.0,256 24,pass
67,1,483840.0,86677.0,11304300000000.0,88841000.0,256 28,pass
68,1,483840.0,86677.0,12919200000000.0,101532000.0,256 32,pass
69,1,483840.0,86677.0,14534100000000.0,114224000.0,256 36,pass
70,1,483840.0,86677.0,16149000000000.0,126916000.0,256 40,pass
71,1,483840.0,86677.0,17763900000000.0,139607000.0,256 44,pass
72,1,483840.0,86677.0,19378800000000.0,152299000.0,256 48,pass
73,0,0.0,0.0,6459620000000.0,,256 16,fail
74,0,0.0,0.0,8074520000000.0,,256 20,fail
75,0,0.0,0.0,9689420000000.0,,256 24,fail
76,0,0.0,0.0,11304300000000.0,,256 28,fail
77,0,0.0,0.0,12919200000000.0,,256 32,fail
78,0,0.0,0.0,14534100000000.0,,256 36,fail
79,0,0.0,0.0,16149000000000.0,,256 40,fail
80,0,0.0,0.0,17763900000000.0,,256 44,fail
81,0,0.0,0.0,19378800000000.0,,256 48,fail
82,0,0.0,0.0,6459620000000.0,,256 16,fail
83,0,0.0,0.0,8074520000000.0,,256 20,fail
84,0,0.0,0.0,9689420000000.0,,256 24,fail
85,0,0.0,0.0,11304300000000.0,,256 28,fail
86,0,0.0,0.0,12919200000000.0,,256 32,fail
87,0,0.0,0.0,14534100000000.0,,256 36,fail
88,0,0.0,0.0,16149000000000.0,,256 40,fail
89,0,0.0,0.0,17763900000000.0,,256 44,fail
90,0,0.0,0.0,19378800000000.0,,256 48,fail
91,0,0.0,0.0,6459620000000.0,,256 16,fail
92,0,0.0,0.0,8074520000000.0,,256 20,fail
93,0,0.0,0.0,9689420000000.0,,256 24,fail
94,0,0.0,0.0,11304300000000.0,,256 28,fail
