DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,7,9,81958069268397.0,173170180511541.94,14015610,10598362,5847627,16339333,6459620000000,448489594,pass
2,256 20,6 44,7,9,81958069268397.0,173194136945454.9,14015610,10599828,5847627,16339333,8074520000000,448489594,pass
3,256 24,6 40,7,9,81958069268397.0,173222884666150.47,14015610,10601588,5847627,16339333,9689420000000,448489594,pass
4,256 28,6 36,7,9,81958069268397.0,173258020769222.8,14015610,10603738,5847627,16339333,11304300000000,448489594,pass
5,256 32,6 32,7,9,81958069268397.0,173301940898063.25,14015610,10606426,5847627,16339333,12919200000000,448489594,pass
6,256 36,6 28,7,9,81958069268397.0,173358409635143.78,14015610,10609882,5847627,16339333,14534100000000,448489594,pass
7,256 40,6 24,7,9,81958069268397.0,173433701284584.56,14015610,10614490,5847627,16339333,16149000000000,448489594,pass
8,256 44,6 20,7,9,81958069268397.0,173539109593801.6,14015610,10620941,5847627,16339333,17763900000000,448489594,pass
9,256 48,6 16,7,9,81958069268397.0,173697222057627.2,14015610,10630618,5847627,16339333,19378800000000,448489594,pass
10,256 16,7 48,6,10,31160779853445.004,179236529446109.75,10697850,10636552,2912807,16850998,6459620000000,571986729,pass
11,256 20,7 44,6,10,31160779853445.004,179261236073935.9,10697850,10638018,2912807,16850998,8074520000000,571986729,pass
12,256 24,7 40,6,10,31160779853445.004,179290884027327.3,10697850,10639777,2912807,16850998,9689420000000,571986729,pass
13,256 28,7 36,6,10,31160779853445.004,179327120414805.7,10697850,10641928,2912807,16850998,11304300000000,571986729,pass
14,256 32,7 32,6,10,31160779853445.004,179372415899153.62,10697850,10644616,2912807,16850998,12919200000000,571986729,pass
15,256 36,7 28,6,10,31160779853445.004,179430652950458.12,10697850,10648072,2912807,16850998,14534100000000,571986729,pass
16,256 40,7 24,6,10,31160779853445.004,179508302352197.53,10697850,10652680,2912807,16850998,16149000000000,571986729,pass
17,256 44,7 20,6,10,31160779853445.004,179617011514632.62,10697850,10659131,2912807,16850998,17763900000000,571986729,pass
18,256 48,7 16,6,10,31160779853445.004,179780075258285.3,10697850,10668808,2912807,16850998,19378800000000,571986729,pass
19,256 16,8 48,4,12,4291769179701.0,191486469906540.38,4062330,10712932,1056479,17874328,6459620000000,818980998,pass
20,256 20,8 44,4,12,4291769179701.0,191512676922192.9,4062330,10714398,1056479,17874328,8074520000000,818980998,pass
21,256 24,8 40,4,12,4291769179701.0,191544125340976.0,4062330,10716157,1056479,17874328,9689420000000,818980998,pass
22,256 28,8 36,4,12,4291769179701.0,191582562297266.4,4062330,10718308,1056479,17874328,11304300000000,818980998,pass
23,256 32,8 32,4,12,4291769179701.0,191630608492629.4,4062330,10720996,1056479,17874328,12919200000000,818980998,pass
24,256 36,8 28,4,12,4291769179701.0,191692382172381.84,4062330,10724452,1056479,17874328,14534100000000,818980998,pass
25,256 40,8 24,4,12,4291769179701.0,191774747078718.47,4062330,10729060,1056479,17874328,16149000000000,818980998,pass
26,256 44,8 20,4,12,4291769179701.0,191890057947589.72,4062330,10735511,1056479,17874328,17763900000000,818980998,pass
27,256 48,8 16,4,12,4291769179701.0,192063024250896.53,4062330,10745188,1056479,17874328,19378800000000,818980998,pass
28,256 16,9 48,4,12,4291769179701.0,191486469906540.38,4062330,10712932,1056479,17874328,6459620000000,818980998,pass
29,256 20,9 44,4,12,4291769179701.0,191512676922192.9,4062330,10714398,1056479,17874328,8074520000000,818980998,pass
30,256 24,9 40,4,12,4291769179701.0,191544125340976.0,4062330,10716157,1056479,17874328,9689420000000,818980998,pass
31,256 28,9 36,4,12,4291769179701.0,191582562297266.4,4062330,10718308,1056479,17874328,11304300000000,818980998,pass
32,256 32,9 32,4,12,4291769179701.0,191630608492629.4,4062330,10720996,1056479,17874328,12919200000000,818980998,pass
33,256 36,9 28,4,12,4291769179701.0,191692382172381.84,4062330,10724452,1056479,17874328,14534100000000,818980998,pass
34,256 40,9 24,4,12,4291769179701.0,191774747078718.47,4062330,10729060,1056479,17874328,16149000000000,818980998,pass
35,256 44,9 20,4,12,4291769179701.0,191890057947589.72,4062330,10735511,1056479,17874328,17763900000000,818980998,pass
36,256 48,9 16,4,12,4291769179701.0,192063024250896.53,4062330,10745188,1056479,17874328,19378800000000,818980998,pass
37,256 16,10 48,4,12,4291769179701.0,191486469906540.38,4062330,10712932,1056479,17874328,6459620000000,818980998,pass
38,256 20,10 44,4,12,4291769179701.0,191512676922192.9,4062330,10714398,1056479,17874328,8074520000000,818980998,pass
39,256 24,10 40,4,12,4291769179701.0,191544125340976.0,4062330,10716157,1056479,17874328,9689420000000,818980998,pass
40,256 28,10 36,4,12,4291769179701.0,191582562297266.4,4062330,10718308,1056479,17874328,11304300000000,818980998,pass
41,256 32,10 32,4,12,4291769179701.0,191630608492629.4,4062330,10720996,1056479,17874328,12919200000000,818980998,pass
42,256 36,10 28,4,12,4291769179701.0,191692382172381.84,4062330,10724452,1056479,17874328,14534100000000,818980998,pass
43,256 40,10 24,4,12,4291769179701.0,191774747078718.47,4062330,10729060,1056479,17874328,16149000000000,818980998,pass
44,256 44,10 20,4,12,4291769179701.0,191890057947589.72,4062330,10735511,1056479,17874328,17763900000000,818980998,pass
45,256 48,10 16,4,12,4291769179701.0,192063024250896.53,4062330,10745188,1056479,17874328,19378800000000,818980998,pass
46,256 16,11 48,4,12,4291769179701.0,191486469906540.38,4062330,10712932,1056479,17874328,6459620000000,818980998,pass
47,256 20,11 44,4,12,4291769179701.0,191512676922192.9,4062330,10714398,1056479,17874328,8074520000000,818980998,pass
48,256 24,11 40,4,12,4291769179701.0,191544125340976.0,4062330,10716157,1056479,17874328,9689420000000,818980998,pass
49,256 28,11 36,4,12,4291769179701.0,191582562297266.4,4062330,10718308,1056479,17874328,11304300000000,818980998,pass
50,256 32,11 32,4,12,4291769179701.0,191630608492629.4,4062330,10720996,1056479,17874328,12919200000000,818980998,pass
51,256 36,11 28,4,12,4291769179701.0,191692382172381.84,4062330,10724452,1056479,17874328,14534100000000,818980998,pass
52,256 40,11 24,4,12,4291769179701.0,191774747078718.47,4062330,10729060,1056479,17874328,16149000000000,818980998,pass
53,256 44,11 20,4,12,4291769179701.0,191890057947589.72,4062330,10735511,1056479,17874328,17763900000000,818980998,pass
54,256 48,11 16,4,12,4291769179701.0,192063024250896.53,4062330,10745188,1056479,17874328,19378800000000,818980998,pass
55,256 16,12 48,3,13,1719201076125.0,201354591250688.3,2096250,10744013,820131,18741096,6459620000000,1650961696,pass
56,256 20,12 44,3,13,1719201076125.0,201413472366983.22,2096250,10747155,820131,18741096,8074520000000,1650961696,pass
57,256 24,12 40,3,13,1719201076125.0,201484129706537.12,2096250,10750925,820131,18741096,9689420000000,1650961696,pass
58,256 28,12 36,3,13,1719201076125.0,201570488677103.0,2096250,10755533,820131,18741096,11304300000000,1650961696,pass
59,256 32,12 32,3,13,1719201076125.0,201678437390310.34,2096250,10761293,820131,18741096,12919200000000,1650961696,pass
60,256 36,12 28,3,13,1719201076125.0,201817228593005.47,2096250,10768699,820131,18741096,14534100000000,1650961696,pass
61,256 40,12 24,3,13,1719201076125.0,202002283529932.38,2096250,10778573,820131,18741096,16149000000000,1650961696,pass
62,256 44,12 20,3,13,1719201076125.0,202261360441629.94,2096250,10792397,820131,18741096,17763900000000,1650961696,pass
63,256 48,12 16,3,13,1719201076125.0,202649975809176.47,2096250,10813133,820131,18741096,19378800000000,1650961696,pass
64,256 16,13 48,1,15,41937799680.0,242932150693378.16,483840,12549612,86677,19357741,6459620000000,2073451893,pass
65,256 20,13 44,1,15,41937799680.0,243024729970339.62,483840,12554395,86677,19357741,8074520000000,2073451893,pass
66,256 24,13 40,1,15,41937799680.0,243135825102693.47,483840,12560134,86677,19357741,9689420000000,2073451893,pass
67,256 28,13 36,1,15,41937799680.0,243271608042237.03,483840,12567148,86677,19357741,11304300000000,2073451893,pass
68,256 32,13 32,1,15,41937799680.0,243441336716666.47,483840,12575916,86677,19357741,12919200000000,2073451893,pass
69,256 36,13 28,1,15,41937799680.0,243659559298075.75,483840,12587189,86677,19357741,14534100000000,2073451893,pass
70,256 40,13 24,1,15,41937799680.0,243950522739954.78,483840,12602220,86677,19357741,16149000000000,2073451893,pass
71,256 44,13 20,1,15,41937799680.0,244357871558585.4,483840,12623263,86677,19357741,17763900000000,2073451893,pass
72,256 48,13 16,1,15,41937799680.0,244968894786531.4,483840,12654828,86677,19357741,19378800000000,2073451893,pass
73,256 16,14 48,0,16,0.0,246004231308226.1,0,12567629,0,19574433,6459620000000,2281447068,fail
74,256 20,14 44,0,16,0.0,246107413483080.9,0,12572901,0,19574433,8074520000000,2281447068,fail
75,256 24,14 40,0,16,0.0,246231232092906.72,0,12579226,0,19574433,9689420000000,2281447068,fail
76,256 28,14 36,0,16,0.0,246382565949360.47,0,12586957,0,19574433,11304300000000,2281447068,fail
77,256 32,14 32,0,16,0.0,246571733269927.62,0,12596621,0,19574433,12919200000000,2281447068,fail
78,256 36,14 28,0,16,0.0,246814948396371.12,0,12609047,0,19574433,14534100000000,2281447068,fail
79,256 40,14 24,0,16,0.0,247139235231629.16,0,12625613,0,19574433,16149000000000,2281447068,fail
80,256 44,14 20,0,16,0.0,247593236800990.34,0,12648807,0,19574433,17763900000000,2281447068,fail
81,256 48,14 16,0,16,0.0,248274239155032.25,0,12683597,0,19574433,19378800000000,2281447068,fail
82,256 16,15 48,0,16,0.0,246004231308226.1,0,12567629,0,19574433,6459620000000,2281447068,fail
83,256 20,15 44,0,16,0.0,246107413483080.9,0,12572901,0,19574433,8074520000000,2281447068,fail
84,256 24,15 40,0,16,0.0,246231232092906.72,0,12579226,0,19574433,9689420000000,2281447068,fail
85,256 28,15 36,0,16,0.0,246382565949360.47,0,12586957,0,19574433,11304300000000,2281447068,fail
86,256 32,15 32,0,16,0.0,246571733269927.62,0,12596621,0,19574433,12919200000000,2281447068,fail
