DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,16,12553133.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,24 64,pass
1,9,10598362.470795864,448489594.62321305,295.50005834374144,16339333.645996545,6 48,pass
2,9,10599828.652614046,448489594.62321305,295.50005834374144,16339333.645996545,6 44,pass
3,9,10601588.070795864,448489594.62321305,295.50005834374144,16339333.645996545,6 40,pass
4,9,10603738.470795864,448489594.62321305,295.50005834374144,16339333.645996545,6 36,pass
5,9,10606426.470795864,448489594.62321305,295.50005834374144,16339333.645996545,6 32,pass
6,9,10609882.470795862,448489594.62321305,295.50005834374144,16339333.645996545,6 28,pass
7,9,10614490.470795864,448489594.62321305,295.50005834374144,16339333.645996545,6 24,pass
8,9,10620941.670795863,448489594.62321305,295.50005834374144,16339333.645996545,6 20,pass
9,9,10630618.470795864,448489594.62321305,295.50005834374144,16339333.645996545,6 16,pass
10,10,10636552.364690788,571986729.3745326,383.2590035271433,16850998.641355373,7 48,pass
11,10,10638018.54650897,571986729.3745326,383.2590035271433,16850998.641355373,7 44,pass
12,10,10639777.964690788,571986729.3745326,383.2590035271433,16850998.641355373,7 40,pass
13,10,10641928.364690788,571986729.3745326,383.2590035271433,16850998.641355373,7 36,pass
14,10,10644616.364690788,571986729.3745326,383.2590035271433,16850998.641355373,7 32,pass
15,10,10648072.364690786,571986729.3745326,383.2590035271433,16850998.641355373,7 28,pass
16,10,10652680.364690788,571986729.3745326,383.2590035271433,16850998.641355373,7 24,pass
17,10,10659131.564690787,571986729.3745326,383.2590035271433,16850998.641355373,7 20,pass
18,10,10668808.364690788,571986729.3745326,383.2590035271433,16850998.641355373,7 16,pass
19,12,10712932.152480636,818980998.8771716,558.7768938939469,17874328.63207303,8 48,pass
20,12,10714398.334298816,818980998.8771716,558.7768938939469,17874328.63207303,8 44,pass
21,12,10716157.752480635,818980998.8771716,558.7768938939469,17874328.63207303,8 40,pass
22,12,10718308.152480636,818980998.8771716,558.7768938939469,17874328.63207303,8 36,pass
23,12,10720996.152480636,818980998.8771716,558.7768938939469,17874328.63207303,8 32,pass
24,12,10724452.152480634,818980998.8771716,558.7768938939469,17874328.63207303,8 28,pass
25,12,10729060.152480636,818980998.8771716,558.7768938939469,17874328.63207303,8 24,pass
26,12,10735511.352480637,818980998.8771716,558.7768938939469,17874328.63207303,8 20,pass
27,12,10745188.152480636,818980998.8771716,558.7768938939469,17874328.63207303,8 16,pass
28,12,10712932.152480636,818980998.8771716,558.7768938939469,17874328.63207303,9 48,pass
29,12,10714398.334298816,818980998.8771716,558.7768938939469,17874328.63207303,9 44,pass
30,12,10716157.752480635,818980998.8771716,558.7768938939469,17874328.63207303,9 40,pass
31,12,10718308.152480636,818980998.8771716,558.7768938939469,17874328.63207303,9 36,pass
32,12,10720996.152480636,818980998.8771716,558.7768938939469,17874328.63207303,9 32,pass
33,12,10724452.152480634,818980998.8771716,558.7768938939469,17874328.63207303,9 28,pass
34,12,10729060.152480636,818980998.8771716,558.7768938939469,17874328.63207303,9 24,pass
35,12,10735511.352480637,818980998.8771716,558.7768938939469,17874328.63207303,9 20,pass
36,12,10745188.152480636,818980998.8771716,558.7768938939469,17874328.63207303,9 16,pass
37,12,10712932.152480636,818980998.8771716,558.7768938939469,17874328.63207303,10 48,pass
38,12,10714398.334298816,818980998.8771716,558.7768938939469,17874328.63207303,10 44,pass
39,12,10716157.752480635,818980998.8771716,558.7768938939469,17874328.63207303,10 40,pass
40,12,10718308.152480636,818980998.8771716,558.7768938939469,17874328.63207303,10 36,pass
