latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
187025113.06496,43528624.0,102762000000000.0,807605000.0,0,16,1024 64,pass
99085895.39455998,6040547.0,6459620000000.0,50766457.14285714,1,7,256 16,pass
99085895.39455998,6040547.0,8074520000000.0,63457957.14285714,2,7,256 20,pass
99085895.39455998,6040547.0,9689420000000.0,76149500.0,3,7,256 24,pass
99085895.39455998,6040547.0,11304300000000.0,88841000.0,4,7,256 28,pass
99085895.39455998,6040547.0,12919200000000.0,101532571.42857143,5,7,256 32,pass
99085895.39455998,6040547.0,14534100000000.0,114224000.0,6,7,256 36,pass
99085895.39455998,6040547.0,16149000000000.0,126916000.0,7,7,256 40,pass
99085895.39455998,6040547.0,17763900000000.0,139607000.0,8,7,256 44,pass
99085895.39455998,6040547.0,19378800000000.0,152299000.0,9,7,256 48,pass
99085895.39455998,6040547.0,20993700000000.0,164990000.0,10,7,256 52,pass
99085895.39455998,6040547.0,22608600000000.0,177682000.0,11,7,256 56,pass
87065013.90463999,6125677.0,6459620000000.0,50766450.0,12,6,256 16,pass
87065013.90463999,6125677.0,8074520000000.0,63457950.0,13,6,256 20,pass
87065013.90463999,6125677.0,9689420000000.0,76149500.0,14,6,256 24,pass
87065013.90463999,6125677.0,11304300000000.0,88841000.0,15,6,256 28,pass
87065013.90463999,6125677.0,12919200000000.0,101532500.0,16,6,256 32,pass
87065013.90463999,6125677.0,14534100000000.0,114224000.0,17,6,256 36,pass
87065013.90463999,6125677.0,16149000000000.0,126916000.0,18,6,256 40,pass
87065013.90463999,6125677.0,17763900000000.0,139607000.0,19,6,256 44,pass
87065013.90463999,6125677.0,19378800000000.0,152299000.0,20,6,256 48,pass
87065013.90463999,6125677.0,20993700000000.0,164990000.0,21,6,256 52,pass
87065013.90463999,6125677.0,22608600000000.0,177682000.0,22,6,256 56,pass
80089934.5216,5418752.0,6459620000000.0,50766466.66666666,23,6,256 16,pass
80089934.5216,5418752.0,8074520000000.0,63457966.66666666,24,6,256 20,pass
80089934.5216,5418752.0,9689420000000.0,76149500.0,25,6,256 24,pass
80089934.5216,5418752.0,11304300000000.0,88841000.0,26,6,256 28,pass
80089934.5216,5418752.0,12919200000000.0,101532666.66666669,27,6,256 32,pass
80089934.5216,5418752.0,14534100000000.0,114224000.0,28,6,256 36,pass
80089934.5216,5418752.0,16149000000000.0,126916000.0,29,6,256 40,pass
80089934.5216,5418752.0,17763900000000.0,139607000.0,30,6,256 44,pass
80089934.5216,5418752.0,19378800000000.0,152299000.0,31,6,256 48,pass
80089934.5216,5418752.0,20993700000000.0,164990000.0,32,6,256 52,pass
80089934.5216,5418752.0,22608600000000.0,177682000.0,33,6,256 56,pass
102499232.11392,18410434.0,6459620000000.0,50766477.777777776,34,9,256 16,pass
102499232.11392,18410434.0,8074520000000.0,63457977.777777776,35,9,256 20,pass
102499232.11392,18410434.0,9689420000000.0,76149500.0,36,9,256 24,pass
102499232.11392,18410434.0,11304300000000.0,88841000.0,37,9,256 28,pass
102499232.11392,18410434.0,12919200000000.0,101532777.77777778,38,9,256 32,pass
102499232.11392,18410434.0,14534100000000.0,114224000.0,39,9,256 36,pass
102499232.11392,18410434.0,16149000000000.0,126916000.0,40,9,256 40,pass
102499232.11392,18410434.0,17763900000000.0,139607000.0,41,9,256 44,pass
102499232.11392,18410434.0,19378800000000.0,152299000.0,42,9,256 48,pass
102499232.11392,18410434.0,20993700000000.0,164990000.0,43,9,256 52,pass
102499232.11392,18410434.0,22608600000000.0,177682000.0,44,9,256 56,pass
61093973.648639984,5733854.0,6459620000000.0,50766466.66666666,45,6,256 16,pass
61093973.648639984,5733854.0,8074520000000.0,63457966.66666666,46,6,256 20,pass
61093973.648639984,5733854.0,9689420000000.0,76149500.0,47,6,256 24,pass
61093973.648639984,5733854.0,11304300000000.0,88841000.0,48,6,256 28,pass
61093973.648639984,5733854.0,12919200000000.0,101532666.66666669,49,6,256 32,pass
61093973.648639984,5733854.0,14534100000000.0,114224000.0,50,6,256 36,pass
61093973.648639984,5733854.0,16149000000000.0,126916000.0,51,6,256 40,pass
61093973.648639984,5733854.0,17763900000000.0,139607000.0,52,6,256 44,pass
61093973.648639984,5733854.0,19378800000000.0,152299000.0,53,6,256 48,pass
61093973.648639984,5733854.0,20993700000000.0,164990000.0,54,6,256 52,pass
61093973.648639984,5733854.0,22608600000000.0,177682000.0,55,6,256 56,pass
80831964.24319999,18067349.0,6459620000000.0,50766487.5,56,8,256 16,pass
80831964.24319999,18067349.0,8074520000000.0,63457987.5,57,8,256 20,pass
80831964.24319999,18067349.0,9689420000000.0,76149500.0,58,8,256 24,pass
80831964.24319999,18067349.0,11304300000000.0,88841000.0,59,8,256 28,pass
80831964.24319999,18067349.0,12919200000000.0,101532875.0,60,8,256 32,pass
80831964.24319999,18067349.0,14534100000000.0,114224000.0,61,8,256 36,pass
80831964.24319999,18067349.0,16149000000000.0,126916000.0,62,8,256 40,pass
80831964.24319999,18067349.0,17763900000000.0,139607000.0,63,8,256 44,pass
80831964.24319999,18067349.0,19378800000000.0,152299000.0,64,8,256 48,pass
80831964.24319999,18067349.0,20993700000000.0,164990000.0,65,8,256 52,pass
80831964.24319999,18067349.0,22608600000000.0,177682000.0,66,8,256 56,pass
31412784.78464,2408609.0,6459620000000.0,50766475.0,67,4,256 16,pass
31412784.78464,2408609.0,8074520000000.0,63457975.0,68,4,256 20,pass
31412784.78464,2408609.0,9689420000000.0,76149500.0,69,4,256 24,pass
31412784.78464,2408609.0,11304300000000.0,88841000.0,70,4,256 28,pass
31412784.78464,2408609.0,12919200000000.0,101532750.0,71,4,256 32,pass
31412784.78464,2408609.0,14534100000000.0,114224000.0,72,4,256 36,pass
31412784.78464,2408609.0,16149000000000.0,126916000.0,73,4,256 40,pass
31412784.78464,2408609.0,17763900000000.0,139607000.0,74,4,256 44,pass
31412784.78464,2408609.0,19378800000000.0,152299000.0,75,4,256 48,pass
31412784.78464,2408609.0,20993700000000.0,164990000.0,76,4,256 52,pass
31412784.78464,2408609.0,22608600000000.0,177682000.0,77,4,256 56,pass
10042328.80256,262469.0,6459620000000.0,50766450.0,78,2,256 16,pass
10042328.80256,262469.0,8074520000000.0,63457950.0,79,2,256 20,pass
10042328.80256,262469.0,9689420000000.0,76149500.0,80,2,256 24,pass
10042328.80256,262469.0,11304300000000.0,88841000.0,81,2,256 28,pass
10042328.80256,262469.0,12919200000000.0,101532500.0,82,2,256 32,pass
10042328.80256,262469.0,14534100000000.0,114224000.0,83,2,256 36,pass
10042328.80256,262469.0,16149000000000.0,126916000.0,84,2,256 40,pass
10042328.80256,262469.0,17763900000000.0,139607000.0,85,2,256 44,pass
10042328.80256,262469.0,19378800000000.0,152299000.0,86,2,256 48,pass
10042328.80256,262469.0,20993700000000.0,164990000.0,87,2,256 52,pass
10042328.80256,262469.0,22608600000000.0,177682000.0,88,2,256 56,pass
766957.2825599998,153433.0,6459620000000.0,50766500.0,89,1,256 16,pass
766957.2825599998,153433.0,8074520000000.0,63458000.0,90,1,256 20,pass
766957.2825599998,153433.0,9689420000000.0,76149500.0,91,1,256 24,pass
