DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,7,9,598533008167923.1,173170180511541.94,99085895,10598362,6040547,16339333,6459620000000,448489594,pass
2,256 20,6 44,7,9,598533008167923.1,173194136945454.9,99085895,10599828,6040547,16339333,8074520000000,448489594,pass
3,256 24,6 40,7,9,598533008167923.1,173222884666150.47,99085895,10601588,6040547,16339333,9689420000000,448489594,pass
4,256 28,6 36,7,9,598533008167923.1,173258020769222.8,99085895,10603738,6040547,16339333,11304300000000,448489594,pass
5,256 32,6 32,7,9,598533008167923.1,173301940898063.25,99085895,10606426,6040547,16339333,12919200000000,448489594,pass
6,256 36,6 28,7,9,598533008167923.1,173358409635143.8,99085895,10609882,6040547,16339333,14534100000000,448489594,pass
7,256 40,6 24,7,9,598533008167923.1,173433701284584.56,99085895,10614490,6040547,16339333,16149000000000,448489594,pass
8,256 44,6 20,7,9,598533008167923.1,173539109593801.6,99085895,10620941,6040547,16339333,17763900000000,448489594,pass
9,256 48,6 16,7,9,598533008167923.1,173697222057627.2,99085895,10630618,6040547,16339333,19378800000000,448489594,pass
10,256 52,6 12,7,9,598533008167923.1,173960742830669.84,99085895,10646746,6040547,16339333,20993700000000,448489594,pass
11,256 56,6 8,7,9,598533008167923.1,174487784376755.1,99085895,10679002,6040547,16339333,22608600000000,448489594,pass
12,256 16,7 48,6,10,533332153180333.4,161807913305056.75,87065013,10067543,6125677,16072233,6459620000000,675984316,pass
13,256 20,7 44,6,10,533332153180333.4,161831478121019.44,87065013,10069010,6125677,16072233,8074520000000,675984316,pass
14,256 24,7 40,6,10,533332153180333.4,161859755900174.7,87065013,10070769,6125677,16072233,9689420000000,675984316,pass
15,256 28,7 36,6,10,533332153180333.4,161894317630253.34,87065013,10072919,6125677,16072233,11304300000000,675984316,pass
16,256 32,7 32,6,10,533332153180333.4,161937519792851.62,87065013,10075607,6125677,16072233,12919200000000,675984316,pass
17,256 36,7 28,6,10,533332153180333.4,161993065430478.0,87065013,10079063,6125677,16072233,14534100000000,675984316,pass
18,256 40,7 24,6,10,533332153180333.4,162067126280646.47,87065013,10083671,6125677,16072233,16149000000000,675984316,pass
19,256 44,7 20,6,10,533332153180333.4,162170811470882.28,87065013,10090123,6125677,16072233,17763900000000,675984316,pass
20,256 48,7 16,6,10,533332153180333.4,162326339256236.16,87065013,10099799,6125677,16072233,19378800000000,675984316,pass
21,256 52,7 12,6,10,533332153180333.4,162585552231825.84,87065013,10115927,6125677,16072233,20993700000000,675984316,pass
22,256 56,7 8,6,10,533332153180333.4,163103978183005.22,87065013,10148183,6125677,16072233,22608600000000,675984316,pass
23,256 16,8 48,6,10,433987492868789.0,178278067202195.03,80089934,10629050,5418752,16772717,6459620000000,864479943,pass
24,256 20,8 44,6,10,433987492868789.0,178330178510213.44,80089934,10632157,5418752,16772717,8074520000000,864479943,pass
25,256 24,8 40,6,10,433987492868789.0,178392712079835.56,80089934,10635886,5418752,16772717,9689420000000,864479943,pass
26,256 28,8 36,6,10,433987492868789.0,178469141998262.53,80089934,10640442,5418752,16772717,11304300000000,864479943,pass
27,256 32,8 32,6,10,433987492868789.0,178564679396296.28,80089934,10646138,5418752,16772717,12919200000000,864479943,pass
28,256 36,8 28,6,10,433987492868789.0,178687513193768.25,80089934,10653462,5418752,16772717,14534100000000,864479943,pass
29,256 40,8 24,6,10,433987492868789.0,178851291590397.53,80089934,10663226,5418752,16772717,16149000000000,864479943,pass
30,256 44,8 20,6,10,433987492868789.0,179080581345678.5,80089934,10676897,5418752,16772717,17763900000000,864479943,pass
31,256 48,8 16,6,10,433987492868789.0,179424515978600.03,80089934,10697402,5418752,16772717,19378800000000,864479943,pass
32,256 52,8 12,6,10,433987492868789.0,179997740366802.56,80089934,10731578,5418752,16772717,20993700000000,864479943,pass
33,256 56,8 8,6,10,433987492868789.0,181144189143207.56,80089934,10799930,5418752,16772717,22608600000000,864479943,pass
34,256 16,9 48,9,7,1887055347884004.8,123861539907932.58,102499232,9680278,18410434,12795245,6459620000000,1065975268,pass
35,256 20,9 44,9,7,1887055347884004.8,123896380198255.81,102499232,9683001,18410434,12795245,8074520000000,1065975268,pass
36,256 24,9 40,9,7,1887055347884004.8,123938188546643.77,102499232,9686268,18410434,12795245,9689420000000,1065975268,pass
37,256 28,9 36,9,7,1887055347884004.8,123989287639117.92,102499232,9690262,18410434,12795245,11304300000000,1065975268,pass
38,256 32,9 32,9,7,1887055347884004.8,124053161504710.58,102499232,9695254,18410434,12795245,12919200000000,1065975268,pass
39,256 36,9 28,9,7,1887055347884004.8,124135285046186.86,102499232,9701672,18410434,12795245,14534100000000,1065975268,pass
40,256 40,9 24,9,7,1887055347884004.8,124244783101488.58,102499232,9710230,18410434,12795245,16149000000000,1065975268,pass
41,256 44,9 20,9,7,1887055347884004.8,124398080378910.95,102499232,9722211,18410434,12795245,17763900000000,1065975268,pass
42,256 48,9 16,9,7,1887055347884004.8,124628026295044.6,102499232,9740182,18410434,12795245,19378800000000,1065975268,pass
43,256 52,9 12,9,7,1887055347884004.8,125011269488600.6,102499232,9770134,18410434,12795245,20993700000000,1065975268,pass
44,256 56,9 8,9,7,1887055347884004.8,125777755875712.6,102499232,9830038,18410434,12795245,22608600000000,1065975268,pass
45,256 16,10 48,6,10,350303925181149.0,182891286683389.88,61093973,10629443,5733854,17206101,6459620000000,1280470291,pass
46,256 20,10 44,6,10,350303925181149.0,182945345124528.53,61093973,10632585,5733854,17206101,8074520000000,1280470291,pass
47,256 24,10 40,6,10,350303925181149.0,183010215253894.9,61093973,10636355,5733854,17206101,9689420000000,1280470291,pass
48,256 28,10 36,6,10,350303925181149.0,183089500967564.94,61093973,10640963,5733854,17206101,11304300000000,1280470291,pass
49,256 32,10 32,6,10,350303925181149.0,183188608109652.5,61093973,10646723,5733854,17206101,12919200000000,1280470291,pass
50,256 36,10 28,6,10,350303925181149.0,183316031578050.78,61093973,10654129,5733854,17206101,14534100000000,1280470291,pass
