latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
12553133.99145204,2281447068.300693,1594.1563213178515,19574433.005709704,0,20,24 64,pass
10598362.470795864,448489594.62321305,295.50005834374144,16339333.645996545,1,9,6 48,pass
10599828.652614046,448489594.62321305,295.50005834374144,16339333.645996545,2,9,6 44,pass
10601588.070795864,448489594.62321305,295.50005834374144,16339333.645996545,3,9,6 40,pass
10603738.470795864,448489594.62321305,295.50005834374144,16339333.645996545,4,9,6 36,pass
10606426.470795864,448489594.62321305,295.50005834374144,16339333.645996545,5,9,6 32,pass
10609882.470795864,448489594.62321305,295.50005834374144,16339333.645996545,6,9,6 28,pass
10614490.470795864,448489594.62321305,295.50005834374144,16339333.645996545,7,9,6 24,pass
10620941.670795863,448489594.62321305,295.50005834374144,16339333.645996545,8,9,6 20,pass
10630618.470795864,448489594.62321305,295.50005834374144,16339333.645996545,9,9,6 16,pass
10646746.470795864,448489594.62321305,295.50005834374144,16339333.645996545,10,9,6 12,pass
10679002.470795864,448489594.62321305,295.50005834374144,16339333.645996545,11,9,6 8,pass
10067543.956266934,675984316.5335386,457.16127315527103,16072233.10947981,12,10,7 48,pass
10069010.138085114,675984316.5335386,457.16127315527103,16072233.10947981,13,10,7 44,pass
10070769.556266934,675984316.5335386,457.16127315527103,16072233.10947981,14,10,7 40,pass
10072919.956266934,675984316.5335386,457.16127315527103,16072233.10947981,15,10,7 36,pass
10075607.956266934,675984316.5335386,457.16127315527103,16072233.10947981,16,10,7 32,pass
10079063.956266936,675984316.5335386,457.16127315527103,16072233.10947981,17,10,7 28,pass
10083671.956266934,675984316.5335386,457.16127315527103,16072233.10947981,18,10,7 24,pass
10090123.156266931,675984316.5335386,457.16127315527103,16072233.10947981,19,10,7 20,pass
10099799.956266934,675984316.5335386,457.16127315527103,16072233.10947981,20,10,7 16,pass
10115927.956266934,675984316.5335386,457.16127315527103,16072233.10947981,21,10,7 12,pass
10148183.956266934,675984316.5335386,457.16127315527103,16072233.10947981,22,10,7 8,pass
10629050.944269596,864479943.2592368,591.2332130627568,16772717.35143103,23,10,8 48,pass
10632157.853360504,864479943.2592368,591.2332130627568,16772717.35143103,24,10,8 44,pass
10635886.144269597,864479943.2592368,591.2332130627568,16772717.35143103,25,10,8 40,pass
10640442.944269596,864479943.2592368,591.2332130627568,16772717.35143103,26,10,8 36,pass
10646138.944269596,864479943.2592368,591.2332130627568,16772717.35143103,27,10,8 32,pass
10653462.372841025,864479943.2592368,591.2332130627568,16772717.35143103,28,10,8 28,pass
10663226.944269596,864479943.2592368,591.2332130627568,16772717.35143103,29,10,8 24,pass
10676897.344269594,864479943.2592368,591.2332130627568,16772717.35143103,30,10,8 20,pass
10697402.944269596,864479943.2592368,591.2332130627568,16772717.35143103,31,10,8 16,pass
10731578.944269596,864479943.2592368,591.2332130627568,16772717.35143103,32,10,8 12,pass
10799930.944269596,864479943.2592368,591.2332130627568,16772717.35143103,33,10,8 8,pass
9680278.490791429,1065975268.3798108,739.1530655804189,12795245.511351611,34,7,9 48,pass
9683001.399882335,1065975268.3798108,739.1530655804189,12795245.511351611,35,7,9 44,pass
9686268.890791427,1065975268.3798108,739.1530655804189,12795245.511351611,36,7,9 40,pass
9690262.490791429,1065975268.3798108,739.1530655804189,12795245.511351611,37,7,9 36,pass
9695254.490791429,1065975268.3798108,739.1530655804189,12795245.511351611,38,7,9 32,pass
9701672.776505714,1065975268.3798108,739.1530655804189,12795245.511351611,39,7,9 28,pass
9710230.490791429,1065975268.3798108,739.1530655804189,12795245.511351611,40,7,9 24,pass
9722211.290791426,1065975268.3798108,739.1530655804189,12795245.511351611,41,7,9 20,pass
9740182.490791429,1065975268.3798108,739.1530655804189,12795245.511351611,42,7,9 16,pass
9770134.490791429,1065975268.3798108,739.1530655804189,12795245.511351611,43,7,9 12,pass
9830038.490791429,1065975268.3798108,739.1530655804189,12795245.511351611,44,7,9 8,pass
10629443.944269596,1280470291.8952603,886.9663677817722,17206101.056865517,45,10,10 48,pass
10632585.762451414,1280470291.8952603,886.9663677817722,17206101.056865517,46,10,10 44,pass
10636355.944269596,1280470291.8952603,886.9663677817722,17206101.056865517,47,10,10 40,pass
10640963.944269596,1280470291.8952603,886.9663677817722,17206101.056865517,48,10,10 36,pass
10646723.944269596,1280470291.8952603,886.9663677817722,17206101.056865517,49,10,10 32,pass
10654129.65855531,1280470291.8952603,886.9663677817722,17206101.056865517,50,10,10 28,pass
10664003.944269596,1280470291.8952603,886.9663677817722,17206101.056865517,51,10,10 24,pass
10677827.944269594,1280470291.8952603,886.9663677817722,17206101.056865517,52,10,10 20,pass
10698563.944269596,1280470291.8952603,886.9663677817722,17206101.056865517,53,10,10 16,pass
10733123.944269596,1280470291.8952603,886.9663677817722,17206101.056865517,54,10,10 12,pass
10802243.944269596,1280470291.8952603,886.9663677817722,17206101.056865517,55,10,10 8,pass
9224256.237526074,1572963505.7799644,1099.5507062240465,13122140.50160137,56,8,11 48,pass
9228689.692071527,1572963505.7799644,1099.5507062240465,13122140.50160137,57,8,11 44,pass
9234009.837526074,1572963505.7799644,1099.5507062240465,13122140.50160137,58,8,11 40,pass
9240512.237526074,1572963505.7799644,1099.5507062240465,13122140.50160137,59,8,11 36,pass
9248640.237526074,1572963505.7799644,1099.5507062240465,13122140.50160137,60,8,11 32,pass
9259090.52324036,1572963505.7799644,1099.5507062240465,13122140.50160137,61,8,11 28,pass
9273024.237526074,1572963505.7799644,1099.5507062240465,13122140.50160137,62,8,11 24,pass
9292531.437526071,1572963505.7799644,1099.5507062240465,13122140.50160137,63,8,11 20,pass
9321792.237526074,1572963505.7799644,1099.5507062240465,13122140.50160137,64,8,11 16,pass
9370560.237526074,1572963505.7799644,1099.5507062240465,13122140.50160137,65,8,11 12,pass
9468096.237526074,1572963505.7799644,1099.5507062240465,13122140.50160137,66,8,11 8,pass
10698322.311638247,1819957775.282604,1270.4584676841891,18151149.75765883,67,12,12 48,pass
10703104.857092794,1819957775.282604,1270.4584676841891,18151149.75765883,68,12,12 44,pass
10708843.911638249,1819957775.282604,1270.4584676841891,18151149.75765883,69,12,12 40,pass
10715858.311638247,1819957775.282604,1270.4584676841891,18151149.75765883,70,12,12 36,pass
10724626.311638247,1819957775.282604,1270.4584676841891,18151149.75765883,71,12,12 32,pass
10735899.45449539,1819957775.282604,1270.4584676841891,18151149.75765883,72,12,12 28,pass
10750930.311638247,1819957775.282604,1270.4584676841891,18151149.75765883,73,12,12 24,pass
10771973.511638246,1819957775.282604,1270.4584676841891,18151149.75765883,74,12,12 20,pass
10803538.311638247,1819957775.282604,1270.4584676841891,18151149.75765883,75,12,12 16,pass
10856146.311638247,1819957775.282604,1270.4584676841891,18151149.75765883,76,12,12 12,pass
10961362.311638247,1819957775.282604,1270.4584676841891,18151149.75765883,77,12,12 8,pass
10774702.099428097,2066952044.785243,1445.976358050993,19174479.74837649,78,14,13 48,pass
10779484.644882642,2066952044.785243,1445.976358050993,19174479.74837649,79,14,13 44,pass
10785223.699428096,2066952044.785243,1445.976358050993,19174479.74837649,80,14,13 40,pass
10792238.099428097,2066952044.785243,1445.976358050993,19174479.74837649,81,14,13 36,pass
10801006.099428097,2066952044.785243,1445.976358050993,19174479.74837649,82,14,13 32,pass
10812279.242285237,2066952044.785243,1445.976358050993,19174479.74837649,83,14,13 28,pass
10827310.099428097,2066952044.785243,1445.976358050993,19174479.74837649,84,14,13 24,pass
