Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,L0,1024,96768,151970,666,4.38244e+06,7.70715e+13,6.05704e+08,342,291.824,342,1,342,7698,54,1,1,150528,1728,4.2408e+11,64447488,1251.64,190.771,26.5581,6.05703e+08,64447488, 28189696, 28189696, 150528, 2.28621, 64447488, 1728, 1728, 1728, 37296, 64447488, 64447488, 3154176, 7160832, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 666, 2.25
vgg16,L1,1024,2064384,3.35805e+06,666,198329,7.70715e+13,6.05704e+08,342,291.979,342,1,342,7698,54,1,1,3211264,36864,4.09427e+11,1374879744,1251.64,190.771,26.5581,6.05703e+08,1374879744, 602671104, 602671104, 3211264, 2.28131, 1374879744, 36864, 36864, 36864, 37296, 1374879744, 1374879744, 3154176, 152764416, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 666, 2.25
vgg16,L2,1024,1032192,3.92003e+06,660,168366,7.70715e+13,6.05704e+08,294,279.473,294,1,294,6618,54,1,1,802816,73728,1.73786e+11,681246720,1251.64,190.771,22.8321,6.05703e+08,681246720, 288312912, 288312912, 802816, 2.36287, 681246720, 73728, 73728, 73728, 9240, 681246720, 681246720, 1548800, 75694080, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 660, 2.25
vgg16,L3,1024,2064384,4.2891e+06,660,153879,7.70715e+13,6.05704e+08,294,279.486,294,1,294,6618,54,1,1,1605632,147456,3.17664e+11,1362493440,1251.64,190.771,22.8321,6.05703e+08,1362493440, 576736848, 576736848, 1605632, 2.36242, 1362493440, 147456, 147456, 147456, 9240, 1362493440, 1362493440, 1548800, 151388160, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 660, 2.25
vgg16,L4,1024,2064384,3.803e+06,324,85196,7.70715e+13,6.05704e+08,145,130.541,145,1,145,3258,54,1,1,401408,294912,1.75877e+11,668860416,1251.64,190.771,11.2401,6.05703e+08,668860416, 269110544, 269110544, 401408, 2.48545, 668860416, 294912, 294912, 294912, 2268, 668860416, 668860416, 746496, 74317824, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
vgg16,L5,1024,4128768,4.0868e+06,324,79279.6,7.70715e+13,6.05704e+08,145,130.548,145,1,145,3258,54,1,1,802816,589824,3.27327e+11,1337720832,1251.64,190.771,11.2401,6.05703e+08,1337720832, 538332432, 538332432, 802816, 2.48493, 1337720832, 589824, 589824, 589824, 2268, 1337720832, 1337720832, 746496, 148635648, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
vgg16,L6,1024,4128768,5.22474e+06,324,62012.7,7.70715e+13,6.05704e+08,145,130.548,145,1,145,3258,54,1,1,802816,589824,2.56036e+11,1337720832,1251.64,190.771,11.2401,6.05703e+08,1337720832, 538332432, 538332432, 802816, 2.48493, 1337720832, 589824, 589824, 589824, 2268, 1337720832, 1337720832, 746496, 148635648, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 324, 2.25
vgg16,L7,1024,4718592,3.74947e+06,130,34671.6,7.70715e+13,6.05704e+08,70,58.2426,70,1,70,1578,54,1,1,200704,1179648,1.63601e+11,613416960,1251.64,190.771,5.4441,6.05703e+08,613416960, 273568368, 273568368, 200704, 2.24228, 613416960, 1179648, 1179648, 1179648, 520, 613416960, 613416960, 346112, 68157440, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
vgg16,L8,1024,9437184,4.00202e+06,130,32483.6,7.70715e+13,6.05704e+08,70,58.2463,70,1,70,1578,54,1,1,401408,2359296,3.06553e+11,1226833920,1251.64,190.771,5.4441,6.05703e+08,1226833920, 547246704, 547246704, 401408, 2.24183, 1226833920, 2359296, 2359296, 2359296, 520, 1226833920, 1226833920, 346112, 136314880, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
vgg16,L9,1024,9437184,5.05633e+06,130,25710.4,7.70715e+13,6.05704e+08,70,58.2463,70,1,70,1578,54,1,1,401408,2359296,2.42633e+11,1226833920,1251.64,190.771,5.4441,6.05703e+08,1226833920, 547246704, 547246704, 401408, 2.24183, 1226833920, 2359296, 2359296, 2359296, 520, 1226833920, 1226833920, 346112, 136314880, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 156, 0.75
