DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,16,28647720.0,23473305.9,25690900000000.0,201903000.0,1024 16,pass
1,6,10258680.0,5148940.0,1214280000000.0,9543155.0,192 4,pass
2,6,10258680.0,5148940.0,2428530000000.0,19086050.0,192 8,pass
3,5,6934440.0,2397520.0,1214280000000.0,9543150.0,192 4,pass
4,5,6934440.0,2397520.0,2428530000000.0,19086040.0,192 8,pass
5,3,285960.0,888260.0,1214280000000.0,9543130.0,192 4,pass
6,3,285960.0,888260.0,2428530000000.0,19086000.0,192 8,pass
7,3,285960.0,888260.0,1214280000000.0,9543130.0,192 4,pass
8,3,285960.0,888260.0,2428530000000.0,19086000.0,192 8,pass
9,3,285960.0,888260.0,1214280000000.0,9543130.0,192 4,pass
10,3,285960.0,888260.0,2428530000000.0,19086000.0,192 8,pass
11,3,285960.0,888260.0,1214280000000.0,9543130.0,192 4,pass
12,3,285960.0,888260.0,2428530000000.0,19086000.0,192 8,pass
13,2,122040.0,702668.0,1214280000000.0,9543130.0,192 4,pass
14,2,122040.0,702668.0,2428530000000.0,19086000.0,192 8,pass
15,1,40080.0,75662.0,1214280000000.0,9543130.0,192 4,pass
16,1,40080.0,75662.0,2428530000000.0,19086000.0,192 8,pass
17,0,0.0,0.0,1214280000000.0,,192 4,fail
18,0,0.0,0.0,2428530000000.0,,192 8,fail
19,0,0.0,0.0,1214280000000.0,,192 4,fail
20,0,0.0,0.0,2428530000000.0,,192 8,fail
21,0,0.0,0.0,1214280000000.0,,192 4,fail
22,0,0.0,0.0,2428530000000.0,,192 8,fail
23,0,0.0,0.0,1214280000000.0,,192 4,fail
24,0,0.0,0.0,2428530000000.0,,192 8,fail
25,0,0.0,0.0,1214280000000.0,,192 4,fail
26,0,0.0,0.0,2428530000000.0,,192 8,fail
27,0,0.0,0.0,1214280000000.0,,192 4,fail
28,0,0.0,0.0,2428530000000.0,,192 8,fail
29,0,0.0,0.0,1214280000000.0,,192 4,fail
30,0,0.0,0.0,2428530000000.0,,192 8,fail
31,0,0.0,0.0,1214280000000.0,,192 4,fail
32,0,0.0,0.0,2428530000000.0,,192 8,fail
33,0,0.0,0.0,1214280000000.0,,192 4,fail
34,0,0.0,0.0,2428530000000.0,,192 8,fail
35,0,0.0,0.0,1214280000000.0,,192 4,fail
36,0,0.0,0.0,2428530000000.0,,192 8,fail
37,0,0.0,0.0,1214280000000.0,,192 4,fail
38,0,0.0,0.0,2428530000000.0,,192 8,fail
39,0,0.0,0.0,1214280000000.0,,192 4,fail
40,0,0.0,0.0,2428530000000.0,,192 8,fail
41,6,2819100.0,4616337.2,4419630000000.0,34733200.0,704 4,pass
42,6,2819100.0,4616337.2,8839010000000.0,69465200.0,704 8,pass
43,5,1905420.0,2055127.2,4419630000000.0,34733180.0,704 4,pass
44,5,1905420.0,2055127.2,8839010000000.0,69465180.0,704 8,pass
45,3,78060.0,843851.2,4419630000000.0,34733100.0,704 4,pass
46,3,78060.0,843851.2,8839010000000.0,69465100.0,704 8,pass
47,3,78060.0,843851.2,4419630000000.0,34733100.0,704 4,pass
48,3,78060.0,843851.2,8839010000000.0,69465100.0,704 8,pass
49,3,78060.0,843851.2,4419630000000.0,34733100.0,704 4,pass
50,3,78060.0,843851.2,8839010000000.0,69465100.0,704 8,pass
51,3,78060.0,843851.2,4419630000000.0,34733100.0,704 4,pass
52,3,78060.0,843851.2,8839010000000.0,69465100.0,704 8,pass
53,2,33300.0,676158.2,4419630000000.0,34733100.0,704 4,pass
54,2,33300.0,676158.2,8839010000000.0,69465100.0,704 8,pass
55,1,10920.0,69921.2,4419630000000.0,34733100.0,704 4,pass
56,1,10920.0,69921.2,8839010000000.0,69465100.0,704 8,pass
57,0,0.0,0.0,4419630000000.0,,704 4,fail
58,0,0.0,0.0,8839010000000.0,,704 8,fail
59,0,0.0,0.0,4419630000000.0,,704 4,fail
60,0,0.0,0.0,8839010000000.0,,704 8,fail
61,0,0.0,0.0,4419630000000.0,,704 4,fail
62,0,0.0,0.0,8839010000000.0,,704 8,fail
63,0,0.0,0.0,4419630000000.0,,704 4,fail
64,0,0.0,0.0,8839010000000.0,,704 8,fail
65,0,0.0,0.0,4419630000000.0,,704 4,fail
66,0,0.0,0.0,8839010000000.0,,704 8,fail
67,0,0.0,0.0,4419630000000.0,,704 4,fail
68,0,0.0,0.0,8839010000000.0,,704 8,fail
69,0,0.0,0.0,4419630000000.0,,704 4,fail
70,0,0.0,0.0,8839010000000.0,,704 8,fail
71,0,0.0,0.0,4419630000000.0,,704 4,fail
72,0,0.0,0.0,8839010000000.0,,704 8,fail
73,0,0.0,0.0,4419630000000.0,,704 4,fail
74,0,0.0,0.0,8839010000000.0,,704 8,fail
75,0,0.0,0.0,4419630000000.0,,704 4,fail
76,0,0.0,0.0,8839010000000.0,,704 8,fail
77,0,0.0,0.0,4419630000000.0,,704 4,fail
78,0,0.0,0.0,8839010000000.0,,704 8,fail
79,0,0.0,0.0,4419630000000.0,,704 4,fail
80,0,0.0,0.0,8839010000000.0,,704 8,fail
