Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,L0,704,2661336,25653.3,32,1.2474e+06,8.83901e+12,6.94652e+07,36,1.19395,36,1,36,670,54,1,1,150528,1728,3.31976e+12,85162752,860.499,131.155,2.3115,6.94642e+07,85162752, 2685177, 2685177, 150528, 31.7159, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 32, 33
vgg16,L1,704,2661336,405419,682.667,1.68385e+06,8.83901e+12,6.94653e+07,768,21.5383,768,1,768,13846,54,1,1,3211264,36864,4.4813e+12,1816805376,860.499,131.155,47.7687,6.94642e+07,1816805376, 57283776, 57283776, 3211264, 31.7159, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
vgg16,L2,704,1306800,2.96237e+06,682.667,230446,8.83901e+12,6.94653e+07,768,21.7728,768,1,768,13846,54,1,1,802816,73728,3.01147e+11,892108800,860.499,131.155,47.7687,6.94642e+07,892108800, 28378944, 28378944, 802816, 31.4356, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 1548800, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
vgg16,L3,704,2613600,1.6542e+06,682.667,412687,8.83901e+12,6.94653e+07,768,21.7752,768,1,768,13846,54,1,1,1605632,147456,1.0786e+12,1784217600,860.499,131.155,47.7687,6.94642e+07,1784217600, 56764224, 56764224, 1605632, 31.4321, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 3097600, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
vgg16,L4,704,1259712,2.90954e+06,682.667,234630,8.83901e+12,6.94653e+07,768,22.347,768,1,768,13846,54,1,1,401408,294912,2.95567e+11,859963392,860.499,131.155,47.7687,6.94642e+07,859963392, 27855936, 27855936, 401408, 30.8718, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 1492992, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
vgg16,L5,704,2519424,1.59982e+06,682.667,426714,8.83901e+12,6.94653e+07,768,22.3523,768,1,768,13846,54,1,1,802816,589824,1.07507e+12,1719926784,860.499,131.155,47.7687,6.94642e+07,1719926784, 55725120, 55725120, 802816, 30.8645, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
vgg16,L6,704,2519424,2.93987e+06,682.667,232210,8.83901e+12,6.94653e+07,768,22.3523,768,1,768,13846,54,1,1,802816,589824,5.85036e+11,1719926784,860.499,131.155,47.7687,6.94642e+07,1719926784, 55725120, 55725120, 802816, 30.8645, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 682.667, 33
vgg16,L7,704,1143792,2.80933e+06,697.191,248170,8.83901e+12,6.94653e+07,768,23.9825,768,1,768,13846,54,1,1,200704,1179648,2.83855e+11,797442048,860.499,131.155,47.7687,6.94642e+07,797442048, 26251392, 26251392, 200704, 30.3771, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 1384448, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 697.191, 33
vgg16,L8,704,2287584,1.50173e+06,697.191,464258,8.83901e+12,6.94653e+07,768,23.9941,768,1,768,13846,54,1,1,401408,2359296,1.06203e+12,1594884096,860.499,131.155,47.7687,6.94642e+07,1594884096, 52529280, 52529280, 401408, 30.3618, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 697.191, 33
vgg16,L9,704,2287584,2.74487e+06,697.191,253998,8.83901e+12,6.94653e+07,768,23.9941,768,1,768,13846,54,1,1,401408,2359296,5.81042e+11,1594884096,860.499,131.155,47.7687,6.94642e+07,1594884096, 52529280, 52529280, 401408, 30.3618, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 697.191, 33
