DSE index,layers,latency,energy,area,power,restraint
0,14,61000800,27416358.7,6459620000000.0,50766492.85714286,pass
1,8,80681792,24104340.0,976291000000.0,7672806.25,pass
2,8,80681792,24104340.0,1139010000000.0,8951577.5,pass
3,8,80681792,24104340.0,1301720000000.0,10230387.5,pass
4,8,80681792,24104340.0,1464430000000.0,11509100.0,pass
5,8,80681792,24104340.0,1627150000000.0,12787900.0,pass
6,8,80681792,24104340.0,1789860000000.0,14066700.0,pass
7,8,80681792,24104340.0,1952580000000.0,15345487.5,pass
8,8,80681792,24104340.0,2115290000000.0,16624200.0,pass
9,8,80681792,24104340.0,2278010000000.0,17903000.0,pass
10,8,80681792,24104340.0,2440720000000.0,19181800.0,pass
11,8,80681792,24104340.0,2603430000000.0,20460587.5,pass
12,8,80681792,24104340.0,2766150000000.0,21739300.0,pass
13,8,80681792,24104340.0,2928860000000.0,23018100.0,pass
14,8,80681792,24104340.0,3091580000000.0,24296900.0,pass
15,8,80681792,24104340.0,3254290000000.0,25575687.5,pass
16,8,80681792,24104340.0,3417000000000.0,26854400.0,pass
17,8,80681792,24104340.0,3579720000000.0,28133200.0,pass
18,8,80681792,24104340.0,3742430000000.0,29412000.0,pass
19,8,80681792,24104340.0,3905150000000.0,30690787.5,pass
20,8,80681792,24104340.0,4067860000000.0,31969500.0,pass
21,8,80681792,24104340.0,4230580000000.0,33248300.0,pass
22,8,80681792,24104340.0,4393290000000.0,34527100.0,pass
23,6,41822528,14583670.0,976291000000.0,7672805.0,pass
24,6,41822528,14583670.0,1139010000000.0,8951576.666666666,pass
25,6,41822528,14583670.0,1301720000000.0,10230383.333333334,pass
26,6,41822528,14583670.0,1464430000000.0,11509100.0,pass
27,6,41822528,14583670.0,1627150000000.0,12787900.0,pass
28,6,41822528,14583670.0,1789860000000.0,14066700.0,pass
29,6,41822528,14583670.0,1952580000000.0,15345483.333333334,pass
30,6,41822528,14583670.0,2115290000000.0,16624200.0,pass
31,6,41822528,14583670.0,2278010000000.0,17903000.0,pass
32,6,41822528,14583670.0,2440720000000.0,19181800.0,pass
33,6,41822528,14583670.0,2603430000000.0,20460583.33333333,pass
34,6,41822528,14583670.0,2766150000000.0,21739300.0,unexamined
