Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,L0,1536,1330668,19906.7,64,3.215e+06,8.66505e+13,6.80982e+08,75,2.37444,75,1,75,1398,54,1,1,150528,1728,4.2781e+12,85162752,1877.45,286.157,4.8231,6.8098e+08,85162752, 1342602, 1342602, 150528, 63.4311, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 72
vgg16,L1,1536,1330668,282306,1365.33,4.83637e+06,8.66505e+13,6.80982e+08,1600,21.5523,1600,1,1600,28848,54,1,1,3211264,36864,6.4356e+12,1816805376,1877.45,286.157,99.5256,6.8098e+08,1816805376, 28642176, 28642176, 3211264, 63.4311, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1365.33, 72
vgg16,L2,1536,653400,2.89057e+06,1365.33,472341,8.66505e+13,6.80982e+08,1600,21.8296,1600,1,1600,28848,54,1,1,802816,73728,3.08627e+11,892108800,1877.45,286.157,99.5256,6.8098e+08,892108800, 14189760, 14189760, 802816, 62.8699, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 1548800, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1365.33, 72
vgg16,L3,1536,1306800,1.52723e+06,1365.33,893991,8.66505e+13,6.80982e+08,1600,21.8318,1600,1,1600,28848,54,1,1,1605632,147456,1.16827e+12,1784217600,1877.45,286.157,99.5256,6.8098e+08,1784217600, 28382400, 28382400, 1605632, 62.8635, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 3097600, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1365.33, 72
vgg16,L4,1536,577368,2.83399e+06,1489.45,525567,8.66505e+13,6.80982e+08,1600,22.6242,1600,1,1600,28848,54,1,1,401408,294912,3.03446e+11,859963392,1877.45,286.157,99.5256,6.8098e+08,859963392, 12767616, 12767616, 401408, 67.355, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 1492992, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1489.45, 72
vgg16,L5,1536,1154736,1.4648e+06,1489.45,1.01683e+06,8.66505e+13,6.80982e+08,1600,22.6292,1600,1,1600,28848,54,1,1,802816,589824,1.17417e+12,1719926784,1877.45,286.157,99.5256,6.8098e+08,1719926784, 25540992, 25540992, 802816, 67.3399, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1489.45, 72
vgg16,L6,1536,1154736,2.79901e+06,1489.45,532137,8.66505e+13,6.80982e+08,1600,22.6292,1600,1,1600,28848,54,1,1,802816,589824,6.14478e+11,1719926784,1877.45,286.157,99.5256,6.8098e+08,1719926784, 25540992, 25540992, 802816, 67.3399, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1489.45, 72
vgg16,L7,1536,535392,2.7379e+06,1489.45,544014,8.66505e+13,6.80982e+08,1600,25.1551,1600,1,1600,28848,54,1,1,200704,1179648,2.91261e+11,797442048,1877.45,286.157,99.5256,6.8098e+08,797442048, 12288192, 12288192, 200704, 64.895, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 1384448, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1489.45, 72
vgg16,L8,1536,1070784,1.37674e+06,1489.45,1.08187e+06,8.66505e+13,6.80982e+08,1600,25.1664,1600,1,1600,28848,54,1,1,401408,2359296,1.15845e+12,1594884096,1877.45,286.157,99.5256,6.8098e+08,1594884096, 24588480, 24588480, 401408, 64.8631, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1489.45, 72
vgg16,L9,1536,1070784,2.61448e+06,1489.45,569695,8.66505e+13,6.80982e+08,1600,25.1664,1600,1,1600,28848,54,1,1,401408,2359296,6.1002e+11,1594884096,1877.45,286.157,99.5256,6.8098e+08,1594884096, 24588480, 24588480, 401408, 64.8631, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1489.45, 72
