DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
1,1024 16,6 48,14,2,4890136021891056.0,1398234303161.2603,25690900000000.0,pass
2,1024 20,6 44,14,2,4890136021891056.0,1399947137446.1594,32113400000000.0,pass
3,1024 24,6 40,14,2,4890136021891056.0,1402002538588.0388,38536000000000.0,pass
4,1024 28,6 36,14,2,4890136021891056.0,1404514695539.2249,44958600000000.0,pass
5,1024 32,6 32,14,2,4890136021891056.0,1407654891728.207,51381200000000.0,pass
6,1024 36,6 28,14,2,4890136021891056.0,1411692286828.3274,57803700000000.0,pass
7,1024 40,6 24,14,2,4890136021891056.0,1417075480295.154,64226300000000.0,pass
8,1024 44,6 20,14,2,4890136021891056.0,1424611951148.7117,70648900000000.0,pass
9,1024 48,6 16,14,2,4890136021891056.0,1435916657429.0479,77071500000000.0,pass
10,1024 16,7 48,14,2,4890136021891056.0,1398234303161.2603,25690900000000.0,pass
11,1024 20,7 44,14,2,4890136021891056.0,1399947137446.1594,32113400000000.0,pass
12,1024 24,7 40,14,2,4890136021891056.0,1402002538588.0388,38536000000000.0,pass
13,1024 28,7 36,14,2,4890136021891056.0,1404514695539.2249,44958600000000.0,pass
14,1024 32,7 32,14,2,4890136021891056.0,1407654891728.207,51381200000000.0,pass
15,1024 36,7 28,14,2,4890136021891056.0,1411692286828.3274,57803700000000.0,pass
16,1024 40,7 24,14,2,4890136021891056.0,1417075480295.154,64226300000000.0,pass
17,1024 44,7 20,14,2,4890136021891056.0,1424611951148.7117,70648900000000.0,pass
18,1024 48,7 16,14,2,4890136021891056.0,1435916657429.0479,77071500000000.0,pass
19,1024 16,8 48,14,2,4890136021891056.0,1398234303161.2603,25690900000000.0,pass
20,1024 20,8 44,14,2,4890136021891056.0,1399947137446.1594,32113400000000.0,pass
21,1024 24,8 40,14,2,4890136021891056.0,1402002538588.0388,38536000000000.0,pass
22,1024 28,8 36,14,2,4890136021891056.0,1404514695539.2249,44958600000000.0,pass
23,1024 32,8 32,14,2,4890136021891056.0,1407654891728.207,51381200000000.0,pass
24,1024 36,8 28,14,2,4890136021891056.0,1411692286828.3274,57803700000000.0,pass
25,1024 40,8 24,14,2,4890136021891056.0,1417075480295.154,64226300000000.0,pass
26,1024 44,8 20,14,2,4890136021891056.0,1424611951148.7117,70648900000000.0,pass
27,1024 48,8 16,14,2,4890136021891056.0,1435916657429.0479,77071500000000.0,pass
28,1024 16,9 48,14,2,4890136021891056.0,1398234303161.2603,25690900000000.0,pass
29,1024 20,9 44,14,2,4890136021891056.0,1399947137446.1594,32113400000000.0,pass
30,1024 24,9 40,14,2,4890136021891056.0,1402002538588.0388,38536000000000.0,pass
31,1024 28,9 36,14,2,4890136021891056.0,1404514695539.2249,44958600000000.0,pass
32,1024 32,9 32,14,2,4890136021891056.0,1407654891728.207,51381200000000.0,pass
33,1024 36,9 28,14,2,4890136021891056.0,1411692286828.3274,57803700000000.0,pass
34,1024 40,9 24,14,2,4890136021891056.0,1417075480295.154,64226300000000.0,pass
35,1024 44,9 20,14,2,4890136021891056.0,1424611951148.7117,70648900000000.0,pass
36,1024 48,9 16,14,2,4890136021891056.0,1435916657429.0479,77071500000000.0,pass
37,1024 16,10 48,10,6,1642790647040544.0,18691974215522.227,25690900000000.0,pass
38,1024 20,10 44,10,6,1642790647040544.0,18717224788558.06,32113400000000.0,pass
39,1024 24,10 40,10,6,1642790647040544.0,18747525476201.055,38536000000000.0,pass
40,1024 28,10 36,10,6,1642790647040544.0,18784559649986.945,44958600000000.0,pass
41,1024 32,10 32,10,6,1642790647040544.0,18830852367219.305,51381200000000.0,pass
42,1024 36,10 28,10,6,1642790647040544.0,18890371575089.48,57803700000000.0,pass
43,1024 40,10 24,10,6,1642790647040544.0,18969730518916.383,64226300000000.0,pass
44,1024 44,10 20,10,6,1642790647040544.0,19080833040274.047,70648900000000.0,pass
45,1024 48,10 16,10,6,1642790647040544.0,19247486822310.54,77071500000000.0,pass
46,1024 16,11 48,8,8,840427460557488.0,21410510250028.125,25690900000000.0,pass
47,1024 20,11 44,8,8,840427460557488.0,21438261469441.277,32113400000000.0,pass
48,1024 24,11 40,8,8,840427460557488.0,21471562932737.055,38536000000000.0,pass
49,1024 28,11 36,8,8,840427460557488.0,21512264721209.676,44958600000000.0,pass
50,1024 32,11 32,8,8,840427460557488.0,21563141956800.45,51381200000000.0,pass
51,1024 36,11 28,8,8,840427460557488.0,21628555545417.16,57803700000000.0,pass
52,1024 40,11 24,8,8,840427460557488.0,21715773663572.773,64226300000000.0,pass
53,1024 44,11 20,8,8,840427460557488.0,21837879028990.633,70648900000000.0,pass
54,1024 48,11 16,8,8,840427460557488.0,22021037077117.42,77071500000000.0,pass
55,1024 16,12 48,7,9,588021967498560.0,22828399562928.57,25690900000000.0,pass
56,1024 20,12 44,7,9,588021967498560.0,22857401105530.383,32113400000000.0,pass
57,1024 24,12 40,7,9,588021967498560.0,22892202956652.55,38536000000000.0,pass
58,1024 28,12 36,7,9,588021967498560.0,22934738552468.535,44958600000000.0,pass
59,1024 32,12 32,7,9,588021967498560.0,22987908047238.52,51381200000000.0,pass
60,1024 36,12 28,7,9,588021967498560.0,23056268826228.496,57803700000000.0,pass
61,1024 40,12 24,7,9,588021967498560.0,23147416531548.465,64226300000000.0,pass
62,1024 44,12 20,7,9,588021967498560.0,23275023318996.42,70648900000000.0,pass
63,1024 48,12 16,7,9,588021967498560.0,23466433500168.36,77071500000000.0,pass
64,1024 16,13 48,4,12,83828240063711.98,87231947269326.67,25690900000000.0,pass
65,1024 20,13 44,4,12,83828240063711.98,87308649822799.05,32113400000000.0,pass
66,1024 24,13 40,4,12,83828240063711.98,87400692886965.9,38536000000000.0,pass
