DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,16,12553133.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,48 64,pass
1,2,341967.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 48,pass
2,2,342386.0602502981,253494118.70007697,175.5266533119012,4088797.121070704,6 44,pass
3,2,342888.75115938904,253494118.70007697,175.5266533119012,4088797.121070704,6 40,pass
4,2,343503.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 36,pass
5,2,344271.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 32,pass
6,2,345258.57973081764,253494118.70007697,175.5266533119012,4088797.121070704,6 28,pass
7,2,346575.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 24,pass
8,2,348418.3511593891,253494118.70007697,175.5266533119012,4088797.121070704,6 20,pass
9,2,351183.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 16,pass
10,2,341967.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 48,pass
11,2,342386.0602502981,253494118.70007697,175.5266533119012,4088797.121070704,7 44,pass
12,2,342888.75115938904,253494118.70007697,175.5266533119012,4088797.121070704,7 40,pass
13,2,343503.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 36,pass
14,2,344271.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 32,pass
15,2,345258.57973081764,253494118.70007697,175.5266533119012,4088797.121070704,7 28,pass
16,2,346575.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 24,pass
17,2,348418.3511593891,253494118.70007697,175.5266533119012,4088797.121070704,7 20,pass
18,2,351183.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 16,pass
19,2,341967.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 48,pass
20,2,342386.0602502981,253494118.70007697,175.5266533119012,4088797.121070704,8 44,pass
21,2,342888.75115938904,253494118.70007697,175.5266533119012,4088797.121070704,8 40,pass
22,2,343503.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 36,pass
23,2,344271.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 32,pass
24,2,345258.57973081764,253494118.70007697,175.5266533119012,4088797.121070704,8 28,pass
25,2,346575.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 24,pass
26,2,348418.3511593891,253494118.70007697,175.5266533119012,4088797.121070704,8 20,pass
27,2,351183.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 16,pass
28,2,341967.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 48,pass
29,2,342386.0602502981,253494118.70007697,175.5266533119012,4088797.121070704,9 44,pass
30,2,342888.75115938904,253494118.70007697,175.5266533119012,4088797.121070704,9 40,pass
31,2,343503.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 36,pass
32,2,344271.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 32,pass
33,2,345258.57973081764,253494118.70007697,175.5266533119012,4088797.121070704,9 28,pass
34,2,346575.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 24,pass
35,2,348418.3511593891,253494118.70007697,175.5266533119012,4088797.121070704,9 20,pass
36,2,351183.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 16,pass
37,6,1808924.8048503704,1221971649.1183195,859.3795627301893,10333195.810794566,10 48,pass
38,6,1811368.4412140069,1221971649.1183195,859.3795627301893,10333195.810794566,10 44,pass
39,6,1814300.8048503704,1221971649.1183195,859.3795627301893,10333195.810794566,10 40,pass
40,6,1817884.8048503704,1221971649.1183195,859.3795627301893,10333195.810794566,10 36,pass
41,6,1822364.8048503704,1221971649.1183195,859.3795627301893,10333195.810794566,10 32,pass
42,6,1828124.8048503704,1221971649.1183195,859.3795627301893,10333195.810794566,10 28,pass
43,6,1835804.8048503704,1221971649.1183195,859.3795627301893,10333195.810794566,10 24,pass
44,6,1846556.8048503704,1221971649.1183195,859.3795627301893,10333195.810794566,10 20,pass
45,6,1862684.8048503704,1221971649.1183195,859.3795627301893,10333195.810794566,10 16,pass
46,8,1885304.5926402176,1468965918.6209588,1034.8974530969929,11356525.801512225,11 48,pass
47,8,1887748.229003854,1468965918.6209588,1034.8974530969929,11356525.801512225,11 44,pass
48,8,1890680.5926402176,1468965918.6209588,1034.8974530969929,11356525.801512225,11 40,pass
49,8,1894264.5926402176,1468965918.6209588,1034.8974530969929,11356525.801512225,11 36,pass
50,8,1898744.5926402176,1468965918.6209588,1034.8974530969929,11356525.801512225,11 32,pass
51,8,1904504.5926402176,1468965918.6209588,1034.8974530969929,11356525.801512225,11 28,pass
52,8,1912184.5926402176,1468965918.6209588,1034.8974530969929,11356525.801512225,11 24,pass
53,8,1922936.5926402176,1468965918.6209588,1034.8974530969929,11356525.801512225,11 20,pass
54,8,1939064.5926402176,1468965918.6209588,1034.8974530969929,11356525.801512225,11 16,pass
55,9,1923494.4865351408,1592463053.3722782,1122.6563982803946,11868190.796871051,12 48,pass
56,9,1925938.1228987777,1592463053.3722782,1122.6563982803946,11868190.796871051,12 44,pass
57,9,1928870.4865351408,1592463053.3722782,1122.6563982803946,11868190.796871051,12 40,pass
58,9,1932454.4865351408,1592463053.3722782,1122.6563982803946,11868190.796871051,12 36,pass
59,9,1936934.4865351408,1592463053.3722782,1122.6563982803946,11868190.796871051,12 32,pass
60,9,1942694.4865351408,1592463053.3722782,1122.6563982803946,11868190.796871051,12 28,pass
61,9,1950374.4865351408,1592463053.3722782,1122.6563982803946,11868190.796871051,12 24,pass
62,9,1961126.4865351408,1592463053.3722782,1122.6563982803946,11868190.796871051,12 20,pass
63,9,1977254.4865351408,1592463053.3722782,1122.6563982803946,11868190.796871051,12 16,pass
64,12,5121462.471602764,2047452497.1929293,1441.4927752032977,17032624.51946219,13 48,pass
65,12,5125965.744330037,2047452497.1929293,1441.4927752032977,17032624.51946219,13 44,pass
66,12,5131369.671602765,2047452497.1929293,1441.4927752032977,17032624.51946219,13 40,pass
67,12,5137974.471602764,2047452497.1929293,1441.4927752032977,17032624.51946219,13 36,pass
68,12,5146230.471602764,2047452497.1929293,1441.4927752032977,17032624.51946219,13 32,pass
69,12,5156845.328745622,2047452497.1929293,1441.4927752032977,17032624.51946219,13 28,pass
70,12,5170998.471602764,2047452497.1929293,1441.4927752032977,17032624.51946219,13 24,pass
71,12,5190812.871602765,2047452497.1929293,1441.4927752032977,17032624.51946219,13 20,pass
72,12,5220534.471602764,2047452497.1929293,1441.4927752032977,17032624.51946219,13 16,pass
73,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 48,fail
74,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,14 44,fail
75,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,14 40,fail
76,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 36,fail
77,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 32,fail
78,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,14 28,fail
79,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 24,fail
80,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,14 20,fail
81,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 16,fail
82,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 48,fail
83,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,15 44,fail
84,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,15 40,fail
85,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 36,fail
86,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 32,fail
87,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,15 28,fail
88,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 24,fail
89,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,15 20,fail
90,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 16,fail
91,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 48,fail
92,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,16 44,fail
93,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,16 40,fail
94,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 36,fail
95,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 32,fail
96,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,16 28,fail
97,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 24,fail
98,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,16 20,fail
99,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 16,fail
100,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 48,fail
101,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,17 44,fail
102,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,17 40,fail
103,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 36,fail
104,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 32,fail
105,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,17 28,fail
106,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 24,fail
107,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,17 20,fail
108,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 16,fail
109,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,18 48,fail
110,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,18 44,fail
111,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,18 40,fail
112,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,18 36,fail
113,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,18 32,fail
114,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,18 28,fail
115,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,18 24,fail
116,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,18 20,fail
117,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,18 16,fail
118,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,19 48,fail
119,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,19 44,fail
120,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,19 40,fail
121,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,19 36,fail
122,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,19 32,fail
123,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,19 28,fail
124,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,19 24,fail
125,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,19 20,fail
126,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,19 16,fail
127,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,20 48,fail
128,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,20 44,fail
129,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,20 40,fail
130,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,20 36,fail
131,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,20 32,fail
132,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,20 28,fail
