DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,16,44543835.0,34278163.3,410461000000000.0,3225770000.0,4096 64,pass
1,9,17333100.0,12935275.5,25690900000000.0,201903000.0,1024 16,pass
2,9,17333100.0,12935275.5,32113400000000.0,252378000.0,1024 20,pass
3,9,17333100.0,12935275.5,38536000000000.0,302853000.0,1024 24,pass
4,9,17333100.0,12935275.5,44958600000000.0,353328000.0,1024 28,pass
5,9,17333100.0,12935275.5,51381200000000.0,403803666.6666667,1024 32,pass
6,9,17333100.0,12935275.5,57803700000000.0,454279000.0,1024 36,pass
7,9,17333100.0,12935275.5,64226300000000.0,504754000.0,1024 40,pass
8,9,17333100.0,12935275.5,70648900000000.0,555229000.0,1024 44,pass
9,9,17333100.0,12935275.5,77071500000000.0,605704000.0,1024 48,pass
10,7,10697580.0,9095941.5,25690900000000.0,201903000.0,1024 16,pass
11,7,10697580.0,9095941.5,32113400000000.0,252378000.0,1024 20,pass
12,7,10697580.0,9095941.5,38536000000000.0,302853000.0,1024 24,pass
13,7,10697580.0,9095941.5,44958600000000.0,353328000.0,1024 28,pass
14,7,10697580.0,9095941.5,51381200000000.0,403803571.4285714,1024 32,pass
15,7,10697580.0,9095941.5,57803700000000.0,454279000.0,1024 36,pass
16,7,10697580.0,9095941.5,64226300000000.0,504754000.0,1024 40,pass
17,7,10697580.0,9095941.5,70648900000000.0,555229000.0,1024 44,pass
18,7,10697580.0,9095941.5,77071500000000.0,605704000.0,1024 48,pass
19,6,7379820.0,8167777.5,25690900000000.0,201903000.0,1024 16,pass
20,6,7379820.0,8167777.5,32113400000000.0,252378000.0,1024 20,pass
21,6,7379820.0,8167777.5,38536000000000.0,302853000.0,1024 24,pass
22,6,7379820.0,8167777.5,44958600000000.0,353328000.0,1024 28,pass
23,6,7379820.0,8167777.5,51381200000000.0,403803500.0,1024 32,pass
24,6,7379820.0,8167777.5,57803700000000.0,454279000.0,1024 36,pass
25,6,7379820.0,8167777.5,64226300000000.0,504754000.0,1024 40,pass
26,6,7379820.0,8167777.5,70648900000000.0,555229000.0,1024 44,pass
27,6,7379820.0,8167777.5,77071500000000.0,605704000.0,1024 48,pass
28,6,7379820.0,8167777.5,25690900000000.0,201903000.0,1024 16,pass
29,6,7379820.0,8167777.5,32113400000000.0,252378000.0,1024 20,pass
30,6,7379820.0,8167777.5,38536000000000.0,302853000.0,1024 24,pass
31,6,7379820.0,8167777.5,44958600000000.0,353328000.0,1024 28,pass
32,6,7379820.0,8167777.5,51381200000000.0,403803500.0,1024 32,pass
33,6,7379820.0,8167777.5,57803700000000.0,454279000.0,1024 36,pass
34,6,7379820.0,8167777.5,64226300000000.0,504754000.0,1024 40,pass
