DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,16,152830560.0,43497947.0,410461000000000.0,3225770000.0,4096 64,pass
1,16,154856640.0,43528624.0,25690900000000.0,201903000.0,1024 16,fail
2,16,154856640.0,43528624.0,32113400000000.0,252378000.0,1024 20,fail
3,16,154856640.0,43528624.0,38536000000000.0,302853000.0,1024 24,fail
4,16,154856640.0,43528624.0,44958600000000.0,353328000.0,1024 28,fail
5,16,154856640.0,43528624.0,51381200000000.0,403803812.5,1024 32,fail
6,16,154856640.0,43528624.0,57803700000000.0,454279000.0,1024 36,fail
7,16,154856640.0,43528624.0,64226300000000.0,504754000.0,1024 40,fail
8,16,154856640.0,43528624.0,70648900000000.0,555229000.0,1024 44,fail
9,16,154856640.0,43528624.0,77071500000000.0,605704000.0,1024 48,fail
10,16,154856640.0,43528624.0,25690900000000.0,201903000.0,1024 16,fail
11,16,154856640.0,43528624.0,32113400000000.0,252378000.0,1024 20,fail
12,16,154856640.0,43528624.0,38536000000000.0,302853000.0,1024 24,fail
13,16,154856640.0,43528624.0,44958600000000.0,353328000.0,1024 28,fail
14,16,154856640.0,43528624.0,51381200000000.0,403803812.5,1024 32,fail
15,16,154856640.0,43528624.0,57803700000000.0,454279000.0,1024 36,fail
16,16,154856640.0,43528624.0,64226300000000.0,504754000.0,1024 40,fail
17,16,154856640.0,43528624.0,70648900000000.0,555229000.0,1024 44,fail
18,16,154856640.0,43528624.0,77071500000000.0,605704000.0,1024 48,fail
19,16,154856640.0,43528624.0,25690900000000.0,201903000.0,1024 16,fail
20,16,154856640.0,43528624.0,32113400000000.0,252378000.0,1024 20,fail
21,16,154856640.0,43528624.0,38536000000000.0,302853000.0,1024 24,fail
22,16,154856640.0,43528624.0,44958600000000.0,353328000.0,1024 28,fail
23,16,154856640.0,43528624.0,51381200000000.0,403803812.5,1024 32,fail
24,16,154856640.0,43528624.0,57803700000000.0,454279000.0,1024 36,fail
25,16,154856640.0,43528624.0,64226300000000.0,504754000.0,1024 40,fail
26,16,154856640.0,43528624.0,70648900000000.0,555229000.0,1024 44,fail
27,16,154856640.0,43528624.0,77071500000000.0,605704000.0,1024 48,fail
28,14,105704640.0,39219911.0,25690900000000.0,201903000.0,1024 16,pass
29,14,105704640.0,39219911.0,32113400000000.0,252378000.0,1024 20,pass
30,14,105704640.0,39219911.0,38536000000000.0,302853000.0,1024 24,pass
31,14,105704640.0,39219911.0,44958600000000.0,353328000.0,1024 28,pass
32,14,105704640.0,39219911.0,51381200000000.0,403803857.14285713,1024 32,pass
33,14,105704640.0,39219911.0,57803700000000.0,454279000.0,1024 36,pass
34,14,105704640.0,39219911.0,64226300000000.0,504754000.0,1024 40,pass
35,14,105704640.0,39219911.0,70648900000000.0,555229000.0,1024 44,pass
36,14,105704640.0,39219911.0,77071500000000.0,605704000.0,1024 48,pass
37,13,88009920.0,34163581.0,25690900000000.0,201903000.0,1024 16,pass
38,13,88009920.0,34163581.0,32113400000000.0,252378000.0,1024 20,pass
39,13,88009920.0,34163581.0,38536000000000.0,302853000.0,1024 24,pass
40,13,88009920.0,34163581.0,44958600000000.0,353328000.0,1024 28,pass
41,13,88009920.0,34163581.0,51381200000000.0,403803846.1538461,1024 32,pass
42,13,88009920.0,34163581.0,57803700000000.0,454279000.0,1024 36,pass
43,13,88009920.0,34163581.0,64226300000000.0,504754000.0,1024 40,pass
44,13,88009920.0,34163581.0,70648900000000.0,555229000.0,1024 44,pass
45,13,88009920.0,34163581.0,77071500000000.0,605704000.0,1024 48,pass
46,12,72281280.0,33541786.0,25690900000000.0,201903000.0,1024 16,pass
47,12,72281280.0,33541786.0,32113400000000.0,252378000.0,1024 20,pass
48,12,72281280.0,33541786.0,38536000000000.0,302853000.0,1024 24,pass
49,12,72281280.0,33541786.0,44958600000000.0,353328000.0,1024 28,pass
50,12,72281280.0,33541786.0,51381200000000.0,403803916.6666667,1024 32,pass
51,12,72281280.0,33541786.0,57803700000000.0,454279000.0,1024 36,pass
52,12,72281280.0,33541786.0,64226300000000.0,504754000.0,1024 40,pass
53,12,72281280.0,33541786.0,70648900000000.0,555229000.0,1024 44,pass
54,12,72281280.0,33541786.0,77071500000000.0,605704000.0,1024 48,pass
55,9,45739200.0,26015796.0,25690900000000.0,201903000.0,1024 16,pass
56,9,45739200.0,26015796.0,32113400000000.0,252378000.0,1024 20,pass
57,9,45739200.0,26015796.0,38536000000000.0,302853000.0,1024 24,pass
58,9,45739200.0,26015796.0,44958600000000.0,353328000.0,1024 28,pass
59,9,45739200.0,26015796.0,51381200000000.0,403803888.8888889,1024 32,pass
60,9,45739200.0,26015796.0,57803700000000.0,454279000.0,1024 36,pass
61,9,45739200.0,26015796.0,64226300000000.0,504754000.0,1024 40,pass
62,9,45739200.0,26015796.0,70648900000000.0,555229000.0,1024 44,pass
63,9,45739200.0,26015796.0,77071500000000.0,605704000.0,1024 48,pass
64,6,21408960.0,15631186.0,25690900000000.0,201903000.0,1024 16,pass
65,6,21408960.0,15631186.0,32113400000000.0,252378000.0,1024 20,pass
66,6,21408960.0,15631186.0,38536000000000.0,302853000.0,1024 24,pass
67,6,21408960.0,15631186.0,44958600000000.0,353328000.0,1024 28,pass
68,6,21408960.0,15631186.0,51381200000000.0,403803833.3333333,1024 32,pass
69,6,21408960.0,15631186.0,57803700000000.0,454279000.0,1024 36,pass
70,6,21408960.0,15631186.0,64226300000000.0,504754000.0,1024 40,pass
71,6,21408960.0,15631186.0,70648900000000.0,555229000.0,1024 44,pass
72,6,21408960.0,15631186.0,77071500000000.0,605704000.0,1024 48,pass
73,0,0.0,0.0,25690900000000.0,,1024 16,fail
74,0,0.0,0.0,32113400000000.0,,1024 20,fail
75,0,0.0,0.0,38536000000000.0,,1024 24,fail
76,0,0.0,0.0,44958600000000.0,,1024 28,fail
77,0,0.0,0.0,51381200000000.0,,1024 32,fail
78,0,0.0,0.0,57803700000000.0,,1024 36,fail
79,0,0.0,0.0,64226300000000.0,,1024 40,fail
80,0,0.0,0.0,70648900000000.0,,1024 44,fail
81,0,0.0,0.0,77071500000000.0,,1024 48,fail
82,0,0.0,0.0,25690900000000.0,,1024 16,fail
83,0,0.0,0.0,32113400000000.0,,1024 20,fail
84,0,0.0,0.0,38536000000000.0,,1024 24,fail
85,0,0.0,0.0,44958600000000.0,,1024 28,fail
86,0,0.0,0.0,51381200000000.0,,1024 32,fail
87,0,0.0,0.0,57803700000000.0,,1024 36,fail
88,0,0.0,0.0,64226300000000.0,,1024 40,fail
89,0,0.0,0.0,70648900000000.0,,1024 44,fail
90,0,0.0,0.0,77071500000000.0,,1024 48,fail
91,0,0.0,0.0,25690900000000.0,,1024 16,fail
92,0,0.0,0.0,32113400000000.0,,1024 20,fail
93,0,0.0,0.0,38536000000000.0,,1024 24,fail
