DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
1,1024 16,6 48,16,0,6740696456463360.0,0.0,25690900000000.0,fail
2,1024 20,6 44,16,0,6740696456463360.0,0.0,32113400000000.0,fail
3,1024 24,6 40,16,0,6740696456463360.0,0.0,38536000000000.0,fail
4,1024 28,6 36,16,0,6740696456463360.0,0.0,44958600000000.0,fail
5,1024 32,6 32,16,0,6740696456463360.0,0.0,51381200000000.0,fail
6,1024 36,6 28,16,0,6740696456463360.0,0.0,57803700000000.0,fail
7,1024 40,6 24,16,0,6740696456463360.0,0.0,64226300000000.0,fail
8,1024 44,6 20,16,0,6740696456463360.0,0.0,70648900000000.0,fail
9,1024 48,6 16,16,0,6740696456463360.0,0.0,77071500000000.0,fail
10,1024 16,7 48,16,0,6740696456463360.0,0.0,25690900000000.0,fail
11,1024 20,7 44,16,0,6740696456463360.0,0.0,32113400000000.0,fail
12,1024 24,7 40,16,0,6740696456463360.0,0.0,38536000000000.0,fail
13,1024 28,7 36,16,0,6740696456463360.0,0.0,44958600000000.0,fail
14,1024 32,7 32,16,0,6740696456463360.0,0.0,51381200000000.0,fail
15,1024 36,7 28,16,0,6740696456463360.0,0.0,57803700000000.0,fail
16,1024 40,7 24,16,0,6740696456463360.0,0.0,64226300000000.0,fail
17,1024 44,7 20,16,0,6740696456463360.0,0.0,70648900000000.0,fail
18,1024 48,7 16,16,0,6740696456463360.0,0.0,77071500000000.0,fail
19,1024 16,8 48,16,0,6740696456463360.0,0.0,25690900000000.0,fail
20,1024 20,8 44,16,0,6740696456463360.0,0.0,32113400000000.0,fail
21,1024 24,8 40,16,0,6740696456463360.0,0.0,38536000000000.0,fail
22,1024 28,8 36,16,0,6740696456463360.0,0.0,44958600000000.0,fail
23,1024 32,8 32,16,0,6740696456463360.0,0.0,51381200000000.0,fail
24,1024 36,8 28,16,0,6740696456463360.0,0.0,57803700000000.0,fail
25,1024 40,8 24,16,0,6740696456463360.0,0.0,64226300000000.0,fail
26,1024 44,8 20,16,0,6740696456463360.0,0.0,70648900000000.0,fail
27,1024 48,8 16,16,0,6740696456463360.0,0.0,77071500000000.0,fail
28,1024 16,9 48,14,2,4145726573087040.0,533318134179.06604,25690900000000.0,pass
29,1024 20,9 44,14,2,4145726573087040.0,538196093468.2431,32113400000000.0,pass
30,1024 24,9 40,14,2,4145726573087040.0,544049644615.2556,38536000000000.0,pass
31,1024 28,9 36,14,2,4145726573087040.0,551203984906.0487,44958600000000.0,pass
32,1024 32,9 32,14,2,4145726573087040.0,560146910269.5399,51381200000000.0,pass
33,1024 36,9 28,14,2,4145726573087040.0,571644957165.4572,57803700000000.0,pass
34,1024 40,9 24,14,2,4145726573087040.0,586975686360.0138,64226300000000.0,pass
35,1024 44,9 20,14,2,4145726573087040.0,608438707232.393,70648900000000.0,pass
36,1024 48,9 16,14,2,4145726573087040.0,640633238540.9615,77071500000000.0,pass
37,1024 16,10 48,13,3,3006734030723520.0,1848666532920.7676,25690900000000.0,pass
38,1024 20,10 44,13,3,3006734030723520.0,1859046188085.8481,32113400000000.0,pass
39,1024 24,10 40,13,3,3006734030723520.0,1871501774283.9458,38536000000000.0,pass
40,1024 28,10 36,13,3,3006734030723520.0,1886725268526.0645,44958600000000.0,pass
41,1024 32,10 32,13,3,3006734030723520.0,1905754636328.7126,51381200000000.0,pass
42,1024 36,10 28,13,3,3006734030723520.0,1930220966360.6892,57803700000000.0,pass
43,1024 40,10 24,13,3,3006734030723520.0,1962842739736.6577,64226300000000.0,pass
44,1024 44,10 20,13,3,3006734030723520.0,2008513222463.014,70648900000000.0,pass
45,1024 48,10 16,13,3,3006734030723520.0,2077018946552.548,77071500000000.0,pass
46,1024 16,11 48,12,4,2424443225566080.0,2175718323205.4739,25690900000000.0,pass
47,1024 20,11 44,12,4,2424443225566080.0,2195847514585.222,32113400000000.0,pass
48,1024 24,11 40,12,4,2424443225566080.0,2220002544240.92,38536000000000.0,pass
49,1024 28,11 36,12,4,2424443225566080.0,2249525358264.551,44958600000000.0,pass
50,1024 32,11 32,12,4,2424443225566080.0,2286428875794.089,51381200000000.0,pass
51,1024 36,11 28,12,4,2424443225566080.0,2333876255474.9243,57803700000000.0,pass
52,1024 40,11 24,12,4,2424443225566080.0,2397139428382.7036,64226300000000.0,pass
53,1024 44,11 20,12,4,2424443225566080.0,2485707870453.5957,70648900000000.0,pass
