Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,L0,3584,887112,17991.1,96,5.33597e+06,2.69385e+14,2.11706e+09,171,3.61749,171,1,171,3190,54,1,1,150528,1728,4.7336e+12,85162752,4380.72,667.699,11.0055,2.11706e+09,85162752, 895077, 895077, 150528, 95.1457, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 96, 168
vgg16,L1,3584,887112,241268,2048,8.48849e+06,2.69385e+14,2.11706e+09,3648,21.5664,3648,1,3648,65776,54,1,1,3211264,36864,7.53024e+12,1816805376,4380.72,667.699,226.927,2.11706e+09,1816805376, 19094976, 19094976, 3211264, 95.1457, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 2048, 168
vgg16,L2,3584,326700,2.85651e+06,2730.67,955944,2.69385e+14,2.11706e+09,3648,21.9433,3648,1,3648,65776,54,1,1,802816,73728,3.12307e+11,892108800,4380.72,667.699,226.927,2.11706e+09,892108800, 7095168, 7095168, 802816, 125.735, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 1548800, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 2730.67, 168
vgg16,L3,3584,653400,1.46375e+06,2730.67,1.86553e+06,2.69385e+14,2.11706e+09,3648,21.9451,3648,1,3648,65776,54,1,1,1605632,147456,1.21894e+12,1784217600,4380.72,667.699,226.927,2.11706e+09,1784217600, 14191488, 14191488, 1605632, 125.724, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 3097600, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 2730.67, 168
vgg16,L4,3584,262440,2.7987e+06,3276.8,1.17083e+06,2.69385e+14,2.11706e+09,3648,23.2383,3648,1,3648,65776,54,1,1,401408,294912,3.07272e+11,859963392,4380.72,667.699,226.927,2.11706e+09,859963392, 5803776, 5803776, 401408, 148.173, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 1492992, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
vgg16,L5,3584,524880,1.40248e+06,3276.8,2.33644e+06,2.69385e+14,2.11706e+09,3648,23.2428,3648,1,3648,65776,54,1,1,802816,589824,1.22635e+12,1719926784,4380.72,667.699,226.927,2.11706e+09,1719926784, 11609856, 11609856, 802816, 148.144, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
vgg16,L6,3584,524880,2.73399e+06,3276.8,1.19854e+06,2.69385e+14,2.11706e+09,3648,23.2428,3648,1,3648,65776,54,1,1,802816,589824,6.2909e+11,1719926784,4380.72,667.699,226.927,2.11706e+09,1719926784, 11609856, 11609856, 802816, 148.144, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
vgg16,L7,3584,243360,2.70383e+06,3276.8,1.21191e+06,2.69385e+14,2.11706e+09,3648,27.8003,3648,1,3648,65776,54,1,1,200704,1179648,2.94931e+11,797442048,4380.72,667.699,226.927,2.11706e+09,797442048, 5585856, 5585856, 200704, 142.761, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 1384448, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
vgg16,L8,3584,486720,1.31675e+06,3276.8,2.48856e+06,2.69385e+14,2.11706e+09,3648,27.8109,3648,1,3648,65776,54,1,1,401408,2359296,1.21123e+12,1594884096,4380.72,667.699,226.927,2.11706e+09,1594884096, 11176896, 11176896, 401408, 142.695, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
vgg16,L9,3584,486720,2.55189e+06,3276.8,1.28407e+06,2.69385e+14,2.11706e+09,3648,27.8109,3648,1,3648,65776,54,1,1,401408,2359296,6.24981e+11,1594884096,4380.72,667.699,226.927,2.11706e+09,1594884096, 11176896, 11176896, 401408, 142.695, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
vgg16,L10,3584,103680,2.50446e+06,3276.8,1.30839e+06,2.69385e+14,2.11706e+09,3648,47.5939,3648,1,3648,65776,54,1,1,100352,2359296,1.35654e+11,339738624,4380.72,667.699,226.927,2.11706e+09,339738624, 2575296, 2575296, 100352, 131.922, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 589824, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
vgg16,L11,3584,103680,561181,3276.8,5.83911e+06,2.69385e+14,2.11706e+09,3648,47.5939,3648,1,3648,65776,54,1,1,100352,2359296,6.05399e+11,339738624,4380.72,667.699,226.927,2.11706e+09,339738624, 2575296, 2575296, 100352, 131.922, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 589824, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3276.8, 168
