Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,L0,3584,23976,65008.3,3552,5.46392e+07,2.69385e+14,2.11706e+09,394,394.666,394,1,394,11388,54,1,1,150528,1728,1.31003e+12,85162752,4380.72,667.699,39.2886,2.11706e+09,85162752, 5316678, 5316678, 150528, 16.018, 85162752, 256320, 256320, 1728, 332.252, 85162752, 85162752, 3154176, 9462528, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3552, 14.9244
vgg16,L1,3584,511488,1.53222e+06,3552,2.3182e+06,2.69385e+14,2.11706e+09,394,394.667,394,1,394,11388,54,1,1,3211264,36864,1.18573e+12,1816805376,4380.72,667.699,39.2886,2.11706e+09,1816805376, 113544342, 113544342, 3211264, 16.0008, 1816805376, 8056512, 8056512, 36864, 225.508, 1816805376, 1816805376, 3154176, 201867264, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3552, 14.9244
vgg16,L2,3584,506880,3.55587e+06,1760,494956,2.69385e+14,2.11706e+09,195,195.556,195,1,195,5788,54,1,1,802816,73728,2.50883e+11,892108800,4380.72,667.699,19.9686,2.11706e+09,892108800, 55749870, 55749870, 802816, 16.002, 892108800, 7984512, 7984512, 73728, 111.73, 892108800, 892108800, 1548800, 99123200, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1760, 13.9683
vgg16,L3,3584,1013760,2.8057e+06,1760,627294,2.69385e+14,2.11706e+09,195,195.556,195,1,195,5788,54,1,1,1605632,147456,6.35926e+11,1784217600,4380.72,667.699,19.9686,2.11706e+09,1784217600, 111506670, 111506670, 1605632, 16.001, 1784217600, 16094592, 16094592, 147456, 110.858, 1784217600, 1784217600, 1548800, 198246400, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1760, 13.9683
vgg16,L4,3584,995328,3.51663e+06,864,245690,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,401408,294912,2.44542e+11,859963392,4380.72,667.699,10.3086,2.11706e+09,859963392, 53740422, 53740422, 401408, 16.0022, 859963392, 15803136, 15803136, 294912, 54.4173, 859963392, 859963392, 746496, 95551488, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
vgg16,L5,3584,1990656,2.77586e+06,864,311255,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,802816,589824,6.19602e+11,1719926784,4380.72,667.699,10.3086,2.11706e+09,1719926784, 107488134, 107488134, 802816, 16.0011, 1719926784, 31728384, 31728384, 589824, 54.2078, 1719926784, 1719926784, 746496, 191102976, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
vgg16,L6,3584,1990656,4.13194e+06,864,209103,2.69385e+14,2.11706e+09,96,96,96,1,96,2988,54,1,1,802816,589824,4.16252e+11,1719926784,4380.72,667.699,10.3086,2.11706e+09,1719926784, 107488134, 107488134, 802816, 16.0011, 1719926784, 31728384, 31728384, 589824, 54.2078, 1719926784, 1719926784, 746496, 191102976, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
vgg16,L7,3584,1916928,3.44136e+06,416,120882,2.69385e+14,2.11706e+09,46,46.2222,46,1,46,1588,54,1,1,200704,1179648,2.31723e+11,797442048,4380.72,667.699,5.4786,2.11706e+09,797442048, 49832874, 49832874, 200704, 16.0023, 797442048, 30555648, 30555648, 1179648, 26.098, 797442048, 797442048, 346112, 88604672, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 416, 9.90476
vgg16,L8,3584,3833856,2.72261e+06,416,152794,2.69385e+14,2.11706e+09,46,46.2222,46,1,46,1588,54,1,1,401408,2359296,5.85792e+11,1594884096,4380.72,667.699,5.4786,2.11706e+09,1594884096, 99673002, 99673002, 401408, 16.0012, 1594884096, 61226496, 61226496, 2359296, 26.0489, 1594884096, 1594884096, 346112, 177209344, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 416, 9.90476
vgg16,L9,3584,3833856,3.98625e+06,416,104359,2.69385e+14,2.11706e+09,46,46.2222,46,1,46,1588,54,1,1,401408,2359296,4.00097e+11,1594884096,4380.72,667.699,5.4786,2.11706e+09,1594884096, 99673002, 99673002, 401408, 16.0012, 1594884096, 61226496, 61226496, 2359296, 26.0489, 1594884096, 1594884096, 346112, 177209344, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 416, 9.90476
