DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,19,350125200.0,38617274.4,102762000000000.0,807605842.1052631,1024 64,pass
1,16,261025200.0,29446544.700000003,6459620000000.0,50766581.25,256 16,pass
2,16,261025200.0,29446544.700000003,8074520000000.0,63458081.25,256 20,pass
3,16,261025200.0,29446544.700000003,9689420000000.0,76149581.25,256 24,pass
4,16,261025200.0,29446544.700000003,11304300000000.0,88841131.25,256 28,pass
5,16,261025200.0,29446544.700000003,12919200000000.0,101533000.0,256 32,pass
6,16,261025200.0,29446544.700000003,14534100000000.0,114224000.0,256 36,pass
7,16,261025200.0,29446544.700000003,16149000000000.0,126916000.0,256 40,pass
8,16,261025200.0,29446544.700000003,17763900000000.0,139607000.0,256 44,pass
9,16,261025200.0,29446544.700000003,19378800000000.0,152299000.0,256 48,pass
10,16,261025200.0,29446544.700000003,6459620000000.0,50766581.25,256 16,pass
11,16,261025200.0,29446544.700000003,8074520000000.0,63458081.25,256 20,pass
12,16,261025200.0,29446544.700000003,9689420000000.0,76149581.25,256 24,pass
13,16,261025200.0,29446544.700000003,11304300000000.0,88841131.25,256 28,pass
14,16,261025200.0,29446544.700000003,12919200000000.0,101533000.0,256 32,pass
15,16,261025200.0,29446544.700000003,14534100000000.0,114224000.0,256 36,pass
16,16,261025200.0,29446544.700000003,16149000000000.0,126916000.0,256 40,pass
17,16,261025200.0,29446544.700000003,17763900000000.0,139607000.0,256 44,pass
18,16,261025200.0,29446544.700000003,19378800000000.0,152299000.0,256 48,pass
19,16,261025200.0,29446544.700000003,6459620000000.0,50766581.25,256 16,pass
20,16,261025200.0,29446544.700000003,8074520000000.0,63458081.25,256 20,pass
21,16,261025200.0,29446544.700000003,9689420000000.0,76149581.25,256 24,pass
22,16,261025200.0,29446544.700000003,11304300000000.0,88841131.25,256 28,pass
23,16,261025200.0,29446544.700000003,12919200000000.0,101533000.0,256 32,pass
24,16,261025200.0,29446544.700000003,14534100000000.0,114224000.0,256 36,pass
25,16,261025200.0,29446544.700000003,16149000000000.0,126916000.0,256 40,pass
26,16,261025200.0,29446544.700000003,17763900000000.0,139607000.0,256 44,pass
27,16,261025200.0,29446544.700000003,19378800000000.0,152299000.0,256 48,pass
28,16,261025200.0,29446544.700000003,6459620000000.0,50766581.25,256 16,pass
29,16,261025200.0,29446544.700000003,8074520000000.0,63458081.25,256 20,pass
30,16,261025200.0,29446544.700000003,9689420000000.0,76149581.25,256 24,pass
31,16,261025200.0,29446544.700000003,11304300000000.0,88841131.25,256 28,pass
32,16,261025200.0,29446544.700000003,12919200000000.0,101533000.0,256 32,pass
33,16,261025200.0,29446544.700000003,14534100000000.0,114224000.0,256 36,pass
34,16,261025200.0,29446544.700000003,16149000000000.0,126916000.0,256 40,pass
35,16,261025200.0,29446544.700000003,17763900000000.0,139607000.0,256 44,pass
