latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
1135821706.4441595,46089410.5,102762000000000.0,807605000.0,0,19,1024 64,pass
465991476.75584,15731110.5,6459620000000.0,50766475.0,1,12,256 16,pass
465991476.75584,15731110.5,8074520000000.0,63457975.0,2,12,256 20,pass
465991476.75584,15731110.5,9689420000000.0,76149500.0,3,12,256 24,pass
465991476.75584,15731110.5,11304300000000.0,88841000.0,4,12,256 28,pass
465991476.75584,15731110.5,12919200000000.0,101532750.0,5,12,256 32,pass
465991476.75584,15731110.5,14534100000000.0,114224000.0,6,12,256 36,pass
465991476.75584,15731110.5,16149000000000.0,126916000.0,7,12,256 40,pass
465991476.75584,15731110.5,17763900000000.0,139607000.0,8,12,256 44,pass
465991476.75584,15731110.5,19378800000000.0,152299000.0,9,12,256 48,pass
465991476.75584,15731110.5,20993700000000.0,164990000.0,10,12,256 52,pass
465991476.75584,15731110.5,22608600000000.0,177682000.0,11,12,256 56,pass
323577422.43775994,4509280.5,6459620000000.0,50766462.5,12,8,256 16,pass
323577422.43775994,4509280.5,8074520000000.0,63457962.5,13,8,256 20,pass
323577422.43775994,4509280.5,9689420000000.0,76149500.0,14,8,256 24,pass
323577422.43775994,4509280.5,11304300000000.0,88841000.0,15,8,256 28,pass
323577422.43775994,4509280.5,12919200000000.0,101532625.0,16,8,256 32,pass
323577422.43775994,4509280.5,14534100000000.0,114224000.0,17,8,256 36,pass
323577422.43775994,4509280.5,16149000000000.0,126916000.0,18,8,256 40,pass
323577422.43775994,4509280.5,17763900000000.0,139607000.0,19,8,256 44,pass
323577422.43775994,4509280.5,19378800000000.0,152299000.0,20,8,256 48,pass
323577422.43775994,4509280.5,20993700000000.0,164990000.0,21,8,256 52,pass
323577422.43775994,4509280.5,22608600000000.0,177682000.0,22,8,256 56,pass
195354686.54528,2647738.5,6459620000000.0,50766450.0,23,6,256 16,pass
195354686.54528,2647738.5,8074520000000.0,63457950.0,24,6,256 20,pass
195354686.54528,2647738.5,9689420000000.0,76149500.0,25,6,256 24,pass
195354686.54528,2647738.5,11304300000000.0,88841000.0,26,6,256 28,pass
195354686.54528,2647738.5,12919200000000.0,101532500.0,27,6,256 32,pass
195354686.54528,2647738.5,14534100000000.0,114224000.0,28,6,256 36,pass
195354686.54528,2647738.5,16149000000000.0,126916000.0,29,6,256 40,pass
195354686.54528,2647738.5,17763900000000.0,139607000.0,30,6,256 44,pass
195354686.54528,2647738.5,19378800000000.0,152299000.0,31,6,256 48,pass
195354686.54528,2647738.5,20993700000000.0,164990000.0,32,6,256 52,pass
195354686.54528,2647738.5,22608600000000.0,177682000.0,33,6,256 56,pass
67131950.6528,786196.5,6459620000000.0,50766425.0,34,4,256 16,pass
67131950.6528,786196.5,8074520000000.0,63457925.0,35,4,256 20,pass
67131950.6528,786196.5,9689420000000.0,76149500.0,36,4,256 24,pass
67131950.6528,786196.5,11304300000000.0,88841000.0,37,4,256 28,pass
67131950.6528,786196.5,12919200000000.0,101532250.0,38,4,256 32,pass
67131950.6528,786196.5,14534100000000.0,114224000.0,39,4,256 36,pass
67131950.6528,786196.5,16149000000000.0,126916000.0,40,4,256 40,pass
67131950.6528,786196.5,17763900000000.0,139607000.0,41,4,256 44,pass
67131950.6528,786196.5,19378800000000.0,152299000.0,42,4,256 48,pass
67131950.6528,786196.5,20993700000000.0,164990000.0,43,4,256 52,pass
67131950.6528,786196.5,22608600000000.0,177682000.0,44,4,256 56,pass
57856579.1328,706559.0,6459620000000.0,50766433.333333336,45,3,256 16,pass
57856579.1328,706559.0,8074520000000.0,63457933.333333336,46,3,256 20,pass
57856579.1328,706559.0,9689420000000.0,76149500.0,47,3,256 24,pass
57856579.1328,706559.0,11304300000000.0,88841000.0,48,3,256 28,pass
57856579.1328,706559.0,12919200000000.0,101532333.33333331,49,3,256 32,pass
57856579.1328,706559.0,14534100000000.0,114224000.0,50,3,256 36,pass
57856579.1328,706559.0,16149000000000.0,126916000.0,51,3,256 40,pass
57856579.1328,706559.0,17763900000000.0,139607000.0,52,3,256 44,pass
57856579.1328,706559.0,19378800000000.0,152299000.0,53,3,256 48,pass
57856579.1328,706559.0,20993700000000.0,164990000.0,54,3,256 52,pass
57856579.1328,706559.0,22608600000000.0,177682000.0,55,3,256 56,pass
48135989.77983999,623135.5,6459620000000.0,50766433.333333336,56,3,256 16,pass
48135989.77983999,623135.5,8074520000000.0,63457933.333333336,57,3,256 20,pass
48135989.77983999,623135.5,9689420000000.0,76149500.0,58,3,256 24,pass
48135989.77983999,623135.5,11304300000000.0,88841000.0,59,3,256 28,pass
48135989.77983999,623135.5,12919200000000.0,101532333.33333331,60,3,256 32,pass
48135989.77983999,623135.5,14534100000000.0,114224000.0,61,3,256 36,pass
48135989.77983999,623135.5,16149000000000.0,126916000.0,62,3,256 40,pass
48135989.77983999,623135.5,17763900000000.0,139607000.0,63,3,256 44,pass
48135989.77983999,623135.5,19378800000000.0,152299000.0,64,3,256 48,pass
48135989.77983999,623135.5,20993700000000.0,164990000.0,65,3,256 52,pass
48135989.77983999,623135.5,22608600000000.0,177682000.0,66,3,256 56,pass
65202673.37663999,2673355.5,6459620000000.0,50766450.0,67,4,256 16,pass
65202673.37663999,2673355.5,8074520000000.0,63457950.0,68,4,256 20,pass
