DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,19,13355539.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,24 64,pass
1,6,2386961.633695418,480988840.6104024,332.57773921677045,12585518.048107434,6 48,pass
2,6,2387904.1791499634,480988840.6104024,332.57773921677045,12585518.048107434,6 44,pass
3,6,2389035.233695418,480988840.6104024,332.57773921677045,12585518.048107434,6 40,pass
4,6,2390417.633695418,480988840.6104024,332.57773921677045,12585518.048107434,6 36,pass
5,6,2392145.633695418,480988840.6104024,332.57773921677045,12585518.048107434,6 32,pass
6,6,2394367.347981132,480988840.6104024,332.57773921677045,12585518.048107434,6 28,pass
7,6,2397329.633695418,480988840.6104024,332.57773921677045,12585518.048107434,6 24,pass
8,6,2401476.833695418,480988840.6104024,332.57773921677045,12585518.048107434,6 20,pass
9,6,2407697.633695418,480988840.6104024,332.57773921677045,12585518.048107434,6 16,pass
10,7,2539081.2092751125,545987332.5847812,378.7666577343503,13661487.05120876,7 48,pass
11,7,2540023.754729658,545987332.5847812,378.7666577343503,13661487.05120876,7 44,pass
12,7,2541154.8092751126,545987332.5847812,378.7666577343503,13661487.05120876,7 40,pass
13,7,2542537.2092751125,545987332.5847812,378.7666577343503,13661487.05120876,7 36,pass
14,7,2544265.2092751125,545987332.5847812,378.7666577343503,13661487.05120876,7 32,pass
15,7,2546486.9235608266,545987332.5847812,378.7666577343503,13661487.05120876,7 28,pass
16,7,2549449.2092751125,545987332.5847812,378.7666577343503,13661487.05120876,7 24,pass
17,7,2553596.4092751127,545987332.5847812,378.7666577343503,13661487.05120876,7 20,pass
18,7,2559817.2092751125,545987332.5847812,378.7666577343503,13661487.05120876,7 16,pass
19,9,2615460.99706496,792981602.0874202,554.2845481011539,14684817.041926416,8 48,pass
20,9,2616403.5425195056,792981602.0874202,554.2845481011539,14684817.041926416,8 44,pass
21,9,2617534.5970649603,792981602.0874202,554.2845481011539,14684817.041926416,8 40,pass
22,9,2618916.99706496,792981602.0874202,554.2845481011539,14684817.041926416,8 36,pass
23,9,2620644.99706496,792981602.0874202,554.2845481011539,14684817.041926416,8 32,pass
24,9,2622866.7113506743,792981602.0874202,554.2845481011539,14684817.041926416,8 28,pass
25,9,2625828.99706496,792981602.0874202,554.2845481011539,14684817.041926416,8 24,pass
26,9,2629976.1970649604,792981602.0874202,554.2845481011539,14684817.041926416,8 20,pass
27,9,2636196.99706496,792981602.0874202,554.2845481011539,14684817.041926416,8 16,pass
28,11,2691840.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,9 48,pass
29,11,2692783.3303093533,1039975871.5900592,729.8024384679575,15708147.032644074,9 44,pass
30,11,2693914.384854808,1039975871.5900592,729.8024384679575,15708147.032644074,9 40,pass
31,11,2695296.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,9 36,pass
32,11,2697024.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,9 32,pass
33,11,2699246.499140522,1039975871.5900592,729.8024384679575,15708147.032644074,9 28,pass
34,11,2702208.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,9 24,pass
35,11,2706355.984854808,1039975871.5900592,729.8024384679575,15708147.032644074,9 20,pass
36,11,2712576.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,9 16,pass
37,11,2691840.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,10 48,pass
38,11,2692783.3303093533,1039975871.5900592,729.8024384679575,15708147.032644074,10 44,pass
39,11,2693914.384854808,1039975871.5900592,729.8024384679575,15708147.032644074,10 40,pass
40,11,2695296.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,10 36,pass
41,11,2697024.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,10 32,pass
42,11,2699246.499140522,1039975871.5900592,729.8024384679575,15708147.032644074,10 28,pass
43,11,2702208.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,10 24,pass
44,11,2706355.984854808,1039975871.5900592,729.8024384679575,15708147.032644074,10 20,pass
45,11,2712576.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,10 16,pass
46,11,2691840.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,11 48,pass
47,11,2692783.3303093533,1039975871.5900592,729.8024384679575,15708147.032644074,11 44,pass
48,11,2693914.384854808,1039975871.5900592,729.8024384679575,15708147.032644074,11 40,pass
49,11,2695296.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,11 36,pass
50,11,2697024.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,11 32,pass
51,11,2699246.499140522,1039975871.5900592,729.8024384679575,15708147.032644074,11 28,pass
52,11,2702208.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,11 24,pass
53,11,2706355.984854808,1039975871.5900592,729.8024384679575,15708147.032644074,11 20,pass
54,11,2712576.784854808,1039975871.5900592,729.8024384679575,15708147.032644074,11 16,pass
55,13,5284537.467603652,1891456116.45442,1330.515294554602,20015533.93343531,12 48,pass
56,13,5287714.194876379,1891456116.45442,1330.515294554602,20015533.93343531,12 44,pass
57,13,5291526.267603653,1891456116.45442,1330.515294554602,20015533.93343531,12 40,pass
58,13,5296185.467603652,1891456116.45442,1330.515294554602,20015533.93343531,12 36,pass
59,13,5302009.467603652,1891456116.45442,1330.515294554602,20015533.93343531,12 32,pass
60,13,5309497.467603653,1891456116.45442,1330.515294554602,20015533.93343531,12 28,pass
61,13,5319481.467603652,1891456116.45442,1330.515294554602,20015533.93343531,12 24,pass
62,13,5333459.067603652,1891456116.45442,1330.515294554602,20015533.93343531,12 20,pass
63,13,5354425.467603652,1891456116.45442,1330.515294554602,20015533.93343531,12 16,pass
64,14,5891735.76992243,1910955664.0467336,1344.3719701098755,21305964.4606697,13 48,pass
65,14,5894912.497195157,1910955664.0467336,1344.3719701098755,21305964.4606697,13 44,pass
66,14,5898724.56992243,1910955664.0467336,1344.3719701098755,21305964.4606697,13 40,pass
67,14,5903383.76992243,1910955664.0467336,1344.3719701098755,21305964.4606697,13 36,pass
68,14,5909207.76992243,1910955664.0467336,1344.3719701098755,21305964.4606697,13 32,pass
69,14,5916695.769922431,1910955664.0467336,1344.3719701098755,21305964.4606697,13 28,pass
70,14,5926679.76992243,1910955664.0467336,1344.3719701098755,21305964.4606697,13 24,pass
71,14,5940657.36992243,1910955664.0467336,1344.3719701098755,21305964.4606697,13 20,pass
72,14,5961623.76992243,1910955664.0467336,1344.3719701098755,21305964.4606697,13 16,pass
73,19,13371667.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 48,fail
74,19,13377532.490518166,2560940583.790521,1792.7686709434452,24281156.652351703,14 44,fail
75,19,13384570.16324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 40,fail
76,19,13393171.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 36,fail
77,19,13403923.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 32,fail
78,19,13417747.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 28,fail
79,19,13436179.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 24,fail
80,19,13461984.563245438,2560940583.790521,1792.7686709434452,24281156.652351703,14 20,fail
81,19,13500691.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 16,fail
82,19,13371667.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 48,fail
83,19,13377532.490518166,2560940583.790521,1792.7686709434452,24281156.652351703,15 44,fail
84,19,13384570.16324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 40,fail
85,19,13393171.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 36,fail
86,19,13403923.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 32,fail
87,19,13417747.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 28,fail
88,19,13436179.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 24,fail
89,19,13461984.563245438,2560940583.790521,1792.7686709434452,24281156.652351703,15 20,fail
90,19,13500691.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 16,fail
91,19,13371667.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,16 48,fail
92,19,13377532.490518166,2560940583.790521,1792.7686709434452,24281156.652351703,16 44,fail
93,19,13384570.16324544,2560940583.790521,1792.7686709434452,24281156.652351703,16 40,fail
