latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
78074642.66736,43553319.5,102762000000000.0,807605000.0,0,19,1024 64,pass
54701032.52424,17379111.7,6459620000000.0,50766472.72727273,1,11,256 16,pass
54701032.52424,17379111.7,8074520000000.0,63457972.72727273,2,11,256 20,pass
54701032.52424,17379111.7,9689420000000.0,76149500.0,3,11,256 24,pass
54701032.52424,17379111.7,11304300000000.0,88841000.0,4,11,256 28,pass
54701032.52424,17379111.7,12919200000000.0,101532727.27272728,5,11,256 32,pass
54701032.52424,17379111.7,14534100000000.0,114224000.0,6,11,256 36,pass
54701032.52424,17379111.7,16149000000000.0,126916000.0,7,11,256 40,pass
54701032.52424,17379111.7,17763900000000.0,139607000.0,8,11,256 44,pass
54701032.52424,17379111.7,19378800000000.0,152299000.0,9,11,256 48,pass
54701032.52424,17379111.7,20993700000000.0,164990000.0,10,11,256 52,pass
54701032.52424,17379111.7,22608600000000.0,177682000.0,11,11,256 56,pass
20934042.50568,6775791.7,6459620000000.0,50766462.5,12,8,256 16,pass
20934042.50568,6775791.7,8074520000000.0,63457962.5,13,8,256 20,pass
20934042.50568,6775791.7,9689420000000.0,76149500.0,14,8,256 24,pass
20934042.50568,6775791.7,11304300000000.0,88841000.0,15,8,256 28,pass
20934042.50568,6775791.7,12919200000000.0,101532625.0,16,8,256 32,pass
20934042.50568,6775791.7,14534100000000.0,114224000.0,17,8,256 36,pass
20934042.50568,6775791.7,16149000000000.0,126916000.0,18,8,256 40,pass
20934042.50568,6775791.7,17763900000000.0,139607000.0,19,8,256 44,pass
20934042.50568,6775791.7,19378800000000.0,152299000.0,20,8,256 48,pass
20934042.50568,6775791.7,20993700000000.0,164990000.0,21,8,256 52,pass
20934042.50568,6775791.7,22608600000000.0,177682000.0,22,8,256 56,pass
12920121.512399998,2912807.7,6459620000000.0,50766450.0,23,6,256 16,pass
12920121.512399998,2912807.7,8074520000000.0,63457950.0,24,6,256 20,pass
12920121.512399998,2912807.7,9689420000000.0,76149500.0,25,6,256 24,pass
12920121.512399998,2912807.7,11304300000000.0,88841000.0,26,6,256 28,pass
12920121.512399998,2912807.7,12919200000000.0,101532500.0,27,6,256 32,pass
12920121.512399998,2912807.7,14534100000000.0,114224000.0,28,6,256 36,pass
12920121.512399998,2912807.7,16149000000000.0,126916000.0,29,6,256 40,pass
12920121.512399998,2912807.7,17763900000000.0,139607000.0,30,6,256 44,pass
12920121.512399998,2912807.7,19378800000000.0,152299000.0,31,6,256 48,pass
12920121.512399998,2912807.7,20993700000000.0,164990000.0,32,6,256 52,pass
12920121.512399998,2912807.7,22608600000000.0,177682000.0,33,6,256 56,pass
4906200.519119999,1056479.7,6459620000000.0,50766425.0,34,4,256 16,pass
4906200.519119999,1056479.7,8074520000000.0,63457925.0,35,4,256 20,pass
4906200.519119999,1056479.7,9689420000000.0,76149500.0,36,4,256 24,pass
4906200.519119999,1056479.7,11304300000000.0,88841000.0,37,4,256 28,pass
4906200.519119999,1056479.7,12919200000000.0,101532250.0,38,4,256 32,pass
4906200.519119999,1056479.7,14534100000000.0,114224000.0,39,4,256 36,pass
4906200.519119999,1056479.7,16149000000000.0,126916000.0,40,4,256 40,pass
4906200.519119999,1056479.7,17763900000000.0,139607000.0,41,4,256 44,pass
4906200.519119999,1056479.7,19378800000000.0,152299000.0,42,4,256 48,pass
4906200.519119999,1056479.7,20993700000000.0,164990000.0,43,4,256 52,pass
4906200.519119999,1056479.7,22608600000000.0,177682000.0,44,4,256 56,pass
4321852.113359999,969802.7,6459620000000.0,50766433.333333336,45,3,256 16,pass
4321852.113359999,969802.7,8074520000000.0,63457933.333333336,46,3,256 20,pass
4321852.113359999,969802.7,9689420000000.0,76149500.0,47,3,256 24,pass
4321852.113359999,969802.7,11304300000000.0,88841000.0,48,3,256 28,pass
4321852.113359999,969802.7,12919200000000.0,101532333.33333331,49,3,256 32,pass
4321852.113359999,969802.7,14534100000000.0,114224000.0,50,3,256 36,pass
4321852.113359999,969802.7,16149000000000.0,126916000.0,51,3,256 40,pass
4321852.113359999,969802.7,17763900000000.0,139607000.0,52,3,256 44,pass
4321852.113359999,969802.7,19378800000000.0,152299000.0,53,3,256 48,pass
4321852.113359999,969802.7,20993700000000.0,164990000.0,54,3,256 52,pass
4321852.113359999,969802.7,22608600000000.0,177682000.0,55,3,256 56,pass
3718952.9645599993,402287.7,6459620000000.0,50766433.333333336,56,3,256 16,pass
3718952.9645599993,402287.7,8074520000000.0,63457933.333333336,57,3,256 20,pass
3718952.9645599993,402287.7,9689420000000.0,76149500.0,58,3,256 24,pass
3718952.9645599993,402287.7,11304300000000.0,88841000.0,59,3,256 28,pass
3718952.9645599993,402287.7,12919200000000.0,101532333.33333331,60,3,256 32,pass
3718952.9645599993,402287.7,14534100000000.0,114224000.0,61,3,256 36,pass
3718952.9645599993,402287.7,16149000000000.0,126916000.0,62,3,256 40,pass
3718952.9645599993,402287.7,17763900000000.0,139607000.0,63,3,256 44,pass
3718952.9645599993,402287.7,19378800000000.0,152299000.0,64,3,256 48,pass
3718952.9645599993,402287.7,20993700000000.0,164990000.0,65,3,256 52,pass
3718952.9645599993,402287.7,22608600000000.0,177682000.0,66,3,256 56,pass
3134604.5588,315610.7,6459620000000.0,50766450.0,67,2,256 16,pass
3134604.5588,315610.7,8074520000000.0,63457950.0,68,2,256 20,pass
3134604.5588,315610.7,9689420000000.0,76149500.0,69,2,256 24,pass
3134604.5588,315610.7,11304300000000.0,88841000.0,70,2,256 28,pass
3134604.5588,315610.7,12919200000000.0,101532500.0,71,2,256 32,pass
3134604.5588,315610.7,14534100000000.0,114224000.0,72,2,256 36,pass
3134604.5588,315610.7,16149000000000.0,126916000.0,73,2,256 40,pass
3134604.5588,315610.7,17763900000000.0,139607000.0,74,2,256 44,pass
3134604.5588,315610.7,19378800000000.0,152299000.0,75,2,256 48,pass
3134604.5588,315610.7,20993700000000.0,164990000.0,76,2,256 52,pass
3134604.5588,315610.7,22608600000000.0,177682000.0,77,2,256 56,pass
1947357.00424,733454.7,6459620000000.0,50766450.0,78,2,256 16,pass
1947357.00424,733454.7,8074520000000.0,63457950.0,79,2,256 20,pass
1947357.00424,733454.7,9689420000000.0,76149500.0,80,2,256 24,pass
1947357.00424,733454.7,11304300000000.0,88841000.0,81,2,256 28,pass
1947357.00424,733454.7,12919200000000.0,101532500.0,82,2,256 32,pass
1947357.00424,733454.7,14534100000000.0,114224000.0,83,2,256 36,pass
1947357.00424,733454.7,16149000000000.0,126916000.0,84,2,256 40,pass
1947357.00424,733454.7,17763900000000.0,139607000.0,85,2,256 44,pass
1947357.00424,733454.7,19378800000000.0,152299000.0,86,2,256 48,pass
1947357.00424,733454.7,20993700000000.0,164990000.0,87,2,256 52,pass
1947357.00424,733454.7,22608600000000.0,177682000.0,88,2,256 56,pass
760109.4496799998,79262.7,6459620000000.0,50766500.0,89,1,256 16,pass
760109.4496799998,79262.7,8074520000000.0,63458000.0,90,1,256 20,pass
760109.4496799998,79262.7,9689420000000.0,76149500.0,91,1,256 24,pass
760109.4496799998,79262.7,11304300000000.0,88841000.0,92,1,256 28,pass
760109.4496799998,79262.7,12919200000000.0,101533000.0,93,1,256 32,pass
760109.4496799998,79262.7,14534100000000.0,114224000.0,94,1,256 36,pass
760109.4496799998,79262.7,16149000000000.0,126916000.0,95,1,256 40,pass
760109.4496799998,79262.7,17763900000000.0,139607000.0,96,1,256 44,pass
760109.4496799998,79262.7,19378800000000.0,152299000.0,97,1,256 48,pass
760109.4496799998,79262.7,20993700000000.0,164990000.0,98,1,256 52,pass
760109.4496799998,79262.7,22608600000000.0,177682000.0,99,1,256 56,pass
760109.4496799998,79262.7,6459620000000.0,50766500.0,100,1,256 16,pass
760109.4496799998,79262.7,8074520000000.0,63458000.0,101,1,256 20,pass
760109.4496799998,79262.7,9689420000000.0,76149500.0,102,1,256 24,pass
760109.4496799998,79262.7,11304300000000.0,88841000.0,103,1,256 28,pass
760109.4496799998,79262.7,12919200000000.0,101533000.0,104,1,256 32,pass
760109.4496799998,79262.7,14534100000000.0,114224000.0,105,1,256 36,pass
760109.4496799998,79262.7,16149000000000.0,126916000.0,106,1,256 40,pass
760109.4496799998,79262.7,17763900000000.0,139607000.0,107,1,256 44,pass
760109.4496799998,79262.7,19378800000000.0,152299000.0,108,1,256 48,pass
760109.4496799998,79262.7,20993700000000.0,164990000.0,109,1,256 52,pass
760109.4496799998,79262.7,22608600000000.0,177682000.0,110,1,256 56,pass
760109.4496799998,79262.7,6459620000000.0,50766500.0,111,1,256 16,pass
760109.4496799998,79262.7,8074520000000.0,63458000.0,112,1,256 20,pass
760109.4496799998,79262.7,9689420000000.0,76149500.0,113,1,256 24,pass
760109.4496799998,79262.7,11304300000000.0,88841000.0,114,1,256 28,pass
760109.4496799998,79262.7,12919200000000.0,101533000.0,115,1,256 32,pass
760109.4496799998,79262.7,14534100000000.0,114224000.0,116,1,256 36,pass
760109.4496799998,79262.7,16149000000000.0,126916000.0,117,1,256 40,pass
760109.4496799998,79262.7,17763900000000.0,139607000.0,118,1,256 44,pass
760109.4496799998,79262.7,19378800000000.0,152299000.0,119,1,256 48,pass
760109.4496799998,79262.7,20993700000000.0,164990000.0,120,1,256 52,pass
760109.4496799998,79262.7,22608600000000.0,177682000.0,121,1,256 56,pass
760109.4496799998,79262.7,6459620000000.0,50766500.0,122,1,256 16,pass
760109.4496799998,79262.7,8074520000000.0,63458000.0,123,1,256 20,pass
760109.4496799998,79262.7,9689420000000.0,76149500.0,124,1,256 24,pass
760109.4496799998,79262.7,11304300000000.0,88841000.0,125,1,256 28,pass
760109.4496799998,79262.7,12919200000000.0,101533000.0,126,1,256 32,pass
760109.4496799998,79262.7,14534100000000.0,114224000.0,127,1,256 36,pass
760109.4496799998,79262.7,16149000000000.0,126916000.0,128,1,256 40,pass
760109.4496799998,79262.7,17763900000000.0,139607000.0,129,1,256 44,pass
760109.4496799998,79262.7,19378800000000.0,152299000.0,130,1,256 48,pass
760109.4496799998,79262.7,20993700000000.0,164990000.0,131,1,256 52,pass
760109.4496799998,79262.7,22608600000000.0,177682000.0,132,1,256 56,pass
760109.4496799998,79262.7,6459620000000.0,50766500.0,133,1,256 16,pass
760109.4496799998,79262.7,8074520000000.0,63458000.0,134,1,256 20,pass
760109.4496799998,79262.7,9689420000000.0,76149500.0,135,1,256 24,pass
760109.4496799998,79262.7,11304300000000.0,88841000.0,136,1,256 28,pass
760109.4496799998,79262.7,12919200000000.0,101533000.0,137,1,256 32,pass
760109.4496799998,79262.7,14534100000000.0,114224000.0,138,1,256 36,pass
760109.4496799998,79262.7,16149000000000.0,126916000.0,139,1,256 40,pass
760109.4496799998,79262.7,17763900000000.0,139607000.0,140,1,256 44,pass
760109.4496799998,79262.7,19378800000000.0,152299000.0,141,1,256 48,pass
760109.4496799998,79262.7,20993700000000.0,164990000.0,142,1,256 52,pass
760109.4496799998,79262.7,22608600000000.0,177682000.0,143,1,256 56,pass
760109.4496799998,79262.7,6459620000000.0,50766500.0,144,1,256 16,pass
760109.4496799998,79262.7,8074520000000.0,63458000.0,145,1,256 20,pass
760109.4496799998,79262.7,9689420000000.0,76149500.0,146,1,256 24,pass
760109.4496799998,79262.7,11304300000000.0,88841000.0,147,1,256 28,pass
760109.4496799998,79262.7,12919200000000.0,101533000.0,148,1,256 32,pass
