latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
13355539.763245435,2560940583.7905207,1792.7686709434452,24281156.6523517,0,23,24 64,pass
8040201.261520747,500488388.20271605,337.06132206446574,14727373.277021736,1,8,6 48,pass
8041423.079702565,500488388.20271605,337.06132206446574,14727373.277021736,2,8,6 44,pass
8042889.261520747,500488388.20271605,337.06132206446574,14727373.277021736,3,8,6 40,pass
8044681.261520747,500488388.20271605,337.06132206446574,14727373.277021736,4,8,6 36,pass
8046921.261520747,500488388.20271605,337.06132206446574,14727373.277021736,5,8,6 32,pass
8049801.261520746,500488388.20271605,337.06132206446574,14727373.277021736,6,8,6 28,pass
8053641.261520747,500488388.20271605,337.06132206446574,14727373.277021736,7,8,6 24,pass
8059017.261520748,500488388.20271605,337.06132206446574,14727373.277021736,8,8,6 20,pass
8067081.261520747,500488388.20271605,337.06132206446574,14727373.277021736,9,8,6 16,pass
8080521.261520747,500488388.20271605,337.06132206446574,14727373.277021736,10,8,6 12,pass
8107401.261520747,500488388.20271605,337.06132206446574,14727373.277021736,11,8,6 8,pass
11359600.348694338,604485975.361722,406.3534627859331,20534392.29727971,12,11,7 48,pass
11361241.075967064,604485975.361722,406.3534627859331,20534392.29727971,13,11,7 44,pass
11363209.948694335,604485975.361722,406.3534627859331,20534392.29727971,14,11,7 40,pass
11365616.348694338,604485975.361722,406.3534627859331,20534392.29727971,15,11,7 36,pass
11368624.348694338,604485975.361722,406.3534627859331,20534392.29727971,16,11,7 32,pass
11372491.777265768,604485975.361722,406.3534627859331,20534392.29727971,17,11,7 28,pass
11377648.348694338,604485975.361722,406.3534627859331,20534392.29727971,18,11,7 24,pass
11384867.548694337,604485975.361722,406.3534627859331,20534392.29727971,19,11,7 20,pass
11395696.348694338,604485975.361722,406.3534627859331,20534392.29727971,20,11,7 16,pass
11413744.348694338,604485975.361722,406.3534627859331,20534392.29727971,21,11,7 12,pass
11449840.348694338,604485975.361722,406.3534627859331,20534392.29727971,22,11,7 8,pass
11435980.136484182,851480244.864361,581.8713531527367,21557722.287997365,23,13,8 48,pass
11437620.863756908,851480244.864361,581.8713531527367,21557722.287997365,24,13,8 44,pass
11439589.736484185,851480244.864361,581.8713531527367,21557722.287997365,25,13,8 40,pass
11441996.136484182,851480244.864361,581.8713531527367,21557722.287997365,26,13,8 36,pass
11445004.136484182,851480244.864361,581.8713531527367,21557722.287997365,27,13,8 32,pass
11448871.56505561,851480244.864361,581.8713531527367,21557722.287997365,28,13,8 28,pass
11454028.136484182,851480244.864361,581.8713531527367,21557722.287997365,29,13,8 24,pass
11461247.336484184,851480244.864361,581.8713531527367,21557722.287997365,30,13,8 20,pass
11472076.136484182,851480244.864361,581.8713531527367,21557722.287997365,31,13,8 16,pass
11490124.136484182,851480244.864361,581.8713531527367,21557722.287997365,32,13,8 12,pass
11526220.136484182,851480244.864361,581.8713531527367,21557722.287997365,33,13,8 8,pass
11512359.92427403,1098474514.367,757.3892435195403,22581052.278715026,34,15,9 48,pass
11514000.651546756,1098474514.367,757.3892435195403,22581052.278715026,35,15,9 44,pass
11515969.52427403,1098474514.367,757.3892435195403,22581052.278715026,36,15,9 40,pass
11518375.92427403,1098474514.367,757.3892435195403,22581052.278715026,37,15,9 36,pass
11521383.92427403,1098474514.367,757.3892435195403,22581052.278715026,38,15,9 32,pass
11525251.352845458,1098474514.367,757.3892435195403,22581052.278715026,39,15,9 28,pass
11530407.92427403,1098474514.367,757.3892435195403,22581052.278715026,40,15,9 24,pass
11537627.12427403,1098474514.367,757.3892435195403,22581052.278715026,41,15,9 20,pass
11548455.92427403,1098474514.367,757.3892435195403,22581052.278715026,42,15,9 16,pass
11566503.92427403,1098474514.367,757.3892435195403,22581052.278715026,43,15,9 12,pass
11602599.92427403,1098474514.367,757.3892435195403,22581052.278715026,44,15,9 8,pass
11531147.39774776,1306469688.685012,905.255820879048,22797744.131432265,45,16,10 48,pass
11533346.670475032,1306469688.685012,905.255820879048,22797744.131432265,46,16,10 44,pass
11535985.79774776,1306469688.685012,905.255820879048,22797744.131432265,47,16,10 40,pass
11539211.39774776,1306469688.685012,905.255820879048,22797744.131432265,48,16,10 36,pass
11543243.39774776,1306469688.685012,905.255820879048,22797744.131432265,49,16,10 32,pass
11548427.39774776,1306469688.685012,905.255820879048,22797744.131432265,50,16,10 28,pass
11555339.39774776,1306469688.685012,905.255820879048,22797744.131432265,51,16,10 24,pass
11565016.19774776,1306469688.685012,905.255820879048,22797744.131432265,52,16,10 20,pass
11579531.39774776,1306469688.685012,905.255820879048,22797744.131432265,53,16,10 16,pass
11603723.39774776,1306469688.685012,905.255820879048,22797744.131432265,54,16,10 12,pass
11652107.39774776,1306469688.685012,905.255820879048,22797744.131432265,55,16,10 8,pass
11545354.39774776,1514464863.003024,1053.1223982385557,23014435.98414951,56,16,11 48,pass
11548845.306838669,1514464863.003024,1053.1223982385557,23014435.98414951,57,16,11 44,pass
11553034.397747764,1514464863.003024,1053.1223982385557,23014435.98414951,58,16,11 40,pass
11558154.39774776,1514464863.003024,1053.1223982385557,23014435.98414951,59,16,11 36,pass
11564554.39774776,1514464863.003024,1053.1223982385557,23014435.98414951,60,16,11 32,pass
11572782.969176332,1514464863.003024,1053.1223982385557,23014435.98414951,61,16,11 28,pass
11583754.39774776,1514464863.003024,1053.1223982385557,23014435.98414951,62,16,11 24,pass
11599114.39774776,1514464863.003024,1053.1223982385557,23014435.98414951,63,16,11 20,pass
11622154.39774776,1514464863.003024,1053.1223982385557,23014435.98414951,64,16,11 16,pass
11660554.39774776,1514464863.003024,1053.1223982385557,23014435.98414951,65,16,11 12,pass
11737354.39774776,1514464863.003024,1053.1223982385557,23014435.98414951,66,16,11 8,pass
11564141.871221492,1722460037.3210356,1200.9889755980637,23231127.83686675,67,17,12 48,pass
11568191.325766943,1722460037.3210356,1200.9889755980637,23231127.83686675,68,17,12 44,pass
11573050.671221493,1722460037.3210356,1200.9889755980637,23231127.83686675,69,17,12 40,pass
11578989.871221492,1722460037.3210356,1200.9889755980637,23231127.83686675,70,17,12 36,pass
11586413.871221492,1722460037.3210356,1200.9889755980637,23231127.83686675,71,17,12 32,pass
11595959.014078634,1722460037.3210356,1200.9889755980637,23231127.83686675,72,17,12 28,pass
11608685.871221492,1722460037.3210356,1200.9889755980637,23231127.83686675,73,17,12 24,pass
11626503.471221492,1722460037.3210356,1200.9889755980637,23231127.83686675,74,17,12 20,pass
11653229.871221492,1722460037.3210356,1200.9889755980637,23231127.83686675,75,17,12 16,pass
11697773.871221492,1722460037.3210356,1200.9889755980637,23231127.83686675,76,17,12 12,pass
11786861.871221492,1722460037.3210356,1200.9889755980637,23231127.83686675,77,17,12 8,pass
11563762.871221492,2138450385.95706,1496.7221303170786,23664511.54230124,78,17,13 48,pass
11567777.416676035,2138450385.95706,1496.7221303170786,23664511.54230124,79,17,13 44,pass
11572594.871221492,2138450385.95706,1496.7221303170786,23664511.54230124,80,17,13 40,pass
11578482.871221492,2138450385.95706,1496.7221303170786,23664511.54230124,81,17,13 36,pass
11585842.871221492,2138450385.95706,1496.7221303170786,23664511.54230124,82,17,13 32,pass
