Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg19,L0,1024,1774224,21822.2,48,2.1996e+06,7.70715e+13,6.05704e+08,51,1.7842,51,1,51,950,54,1,1,150528,1728,3.90257e+12,85162752,1251.64,190.771,3.2775,6.05703e+08,85162752, 1790127, 1790127, 150528, 47.5736, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 48, 48
vgg19,L1,1024,1774224,323343,1024,3.16691e+06,7.70715e+13,6.05704e+08,1088,21.5453,1088,1,1088,19616,54,1,1,3211264,36864,5.61881e+12,1816805376,1251.64,190.771,67.6752,6.05703e+08,1816805376, 38189376, 38189376, 3211264, 47.5736, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
vgg19,L2,1024,871200,2.9145e+06,1024,351346,7.70715e+13,6.05704e+08,1088,21.8012,1088,1,1088,19616,54,1,1,802816,73728,3.06093e+11,892108800,1251.64,190.771,67.6752,6.05703e+08,892108800, 18919488, 18919488, 802816, 47.1529, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 1548800, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
vgg19,L3,1024,1742400,1.56956e+06,1024,652414,7.70715e+13,6.05704e+08,1088,21.8035,1088,1,1088,19616,54,1,1,1605632,147456,1.13677e+12,1784217600,1251.64,190.771,67.6752,6.05703e+08,1784217600, 37843008, 37843008, 1605632, 47.1479, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 3097600, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
vgg19,L4,1024,839808,2.86249e+06,1024,357731,7.70715e+13,6.05704e+08,1088,22.4643,1088,1,1088,19616,54,1,1,401408,294912,3.00425e+11,859963392,1251.64,190.771,67.6752,6.05703e+08,859963392, 18570816, 18570816, 401408, 46.3072, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 1492992, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
vgg19,L5,1024,1679616,1.51673e+06,1024,675137,7.70715e+13,6.05704e+08,1088,22.4695,1088,1,1088,19616,54,1,1,802816,589824,1.13397e+12,1719926784,1251.64,190.771,67.6752,6.05703e+08,1719926784, 37150272, 37150272, 802816, 46.2965, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
vgg19,L6,1024,1679616,2.85318e+06,1024,358897,7.70715e+13,6.05704e+08,1088,22.4695,1088,1,1088,19616,54,1,1,802816,589824,6.0281e+11,1719926784,1251.64,190.771,67.6752,6.05703e+08,1719926784, 37150272, 37150272, 802816, 46.2965, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
vgg19,L7,1024,1679616,2.85318e+06,1024,358897,7.70715e+13,6.05704e+08,1088,22.4695,1088,1,1088,19616,54,1,1,802816,589824,6.0281e+11,1719926784,1251.64,190.771,67.6752,6.05703e+08,1719926784, 37150272, 37150272, 802816, 46.2965, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
vgg19,L8,1024,778752,2.76629e+06,1024,370171,7.70715e+13,6.05704e+08,1088,24.4662,1088,1,1088,19616,54,1,1,200704,1179648,2.88271e+11,797442048,1251.64,190.771,67.6752,6.05703e+08,797442048, 17873472, 17873472, 200704, 44.616, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 1384448, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
vgg19,L9,1024,1557504,1.42674e+06,1024,717720,7.70715e+13,6.05704e+08,1088,24.4777,1088,1,1088,19616,54,1,1,401408,2359296,1.11785e+12,1594884096,1251.64,190.771,67.6752,6.05703e+08,1594884096, 35764800, 35764800, 401408, 44.5937, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
vgg19,L10,1024,1557504,2.66663e+06,1024,384005,7.70715e+13,6.05704e+08,1088,24.4777,1088,1,1088,19616,54,1,1,401408,2359296,5.98089e+11,1594884096,1251.64,190.771,67.6752,6.05703e+08,1594884096, 35764800, 35764800, 401408, 44.5937, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 1024, 48
