Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg19,L0,1024,95904,68310.5,888,1.29995e+07,8.99166e+13,7.06655e+08,113,98.6656,113,1,113,3488,54,1,1,150528,1728,1.2467e+12,85162752,1251.64,190.771,12.0336,7.06653e+08,85162752, 5320944, 5320944, 150528, 16.0052, 85162752, 1023552, 1023552, 1728, 83.2032, 85162752, 85162752, 3154176, 9462528, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 888, 12.8
vgg19,L1,1024,2045952,1.63599e+06,888,542792,8.99166e+13,7.06655e+08,113,98.6666,113,1,113,3488,54,1,1,3211264,36864,1.11053e+12,1816805376,1251.64,190.771,12.0336,7.06653e+08,1816805376, 113548608, 113548608, 3211264, 16.0002, 1816805376, 32224320, 32224320, 36864, 56.3799, 1816805376, 1816805376, 3154176, 201867264, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 888, 12.8
vgg19,L2,1024,1013760,3.5994e+06,880,244485,8.99166e+13,7.06655e+08,113,97.7777,113,1,113,3488,54,1,1,802816,73728,2.4785e+11,892108800,1251.64,190.771,12.0336,7.06653e+08,892108800, 55752768, 55752768, 802816, 16.0012, 892108800, 15967872, 15967872, 73728, 55.869, 892108800, 892108800, 1548800, 99123200, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 880, 12.8
vgg19,L3,1024,2027520,2.87768e+06,880,305802,8.99166e+13,7.06655e+08,113,97.7777,113,1,113,3488,54,1,1,1605632,147456,6.20019e+11,1784217600,1251.64,190.771,12.0336,7.06653e+08,1784217600, 111509568, 111509568, 1605632, 16.0006, 1784217600, 32188032, 32188032, 147456, 55.4311, 1784217600, 1784217600, 1548800, 198246400, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 880, 12.8
vgg19,L4,1024,995328,3.52285e+06,864,245256,8.99166e+13,7.06655e+08,96,96,96,1,96,2988,54,1,1,401408,294912,2.4411e+11,859963392,1251.64,190.771,10.3086,7.06653e+08,859963392, 53740422, 53740422, 401408, 16.0022, 859963392, 15803136, 15803136, 294912, 54.4173, 859963392, 859963392, 746496, 95551488, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
vgg19,L5,1024,1990656,2.77586e+06,864,311255,8.99166e+13,7.06655e+08,96,96,96,1,96,2988,54,1,1,802816,589824,6.19602e+11,1719926784,1251.64,190.771,10.3086,7.06653e+08,1719926784, 107488134, 107488134, 802816, 16.0011, 1719926784, 31728384, 31728384, 589824, 54.2078, 1719926784, 1719926784, 746496, 191102976, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
vgg19,L6,1024,1990656,4.13194e+06,864,209103,8.99166e+13,7.06655e+08,96,96,96,1,96,2988,54,1,1,802816,589824,4.16252e+11,1719926784,1251.64,190.771,10.3086,7.06653e+08,1719926784, 107488134, 107488134, 802816, 16.0011, 1719926784, 31728384, 31728384, 589824, 54.2078, 1719926784, 1719926784, 746496, 191102976, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
vgg19,L7,1024,1990656,4.13194e+06,864,209103,8.99166e+13,7.06655e+08,96,96,96,1,96,2988,54,1,1,802816,589824,4.16252e+11,1719926784,1251.64,190.771,10.3086,7.06653e+08,1719926784, 107488134, 107488134, 802816, 16.0011, 1719926784, 31728384, 31728384, 589824, 54.2078, 1719926784, 1719926784, 746496, 191102976, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
vgg19,L8,1024,1916928,3.44136e+06,416,120882,8.99166e+13,7.06655e+08,46,46.2222,46,1,46,1588,54,1,1,200704,1179648,2.31723e+11,797442048,1251.64,190.771,5.4786,7.06653e+08,797442048, 49832874, 49832874, 200704, 16.0023, 797442048, 30555648, 30555648, 1179648, 26.098, 797442048, 797442048, 346112, 88604672, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 416, 9.90476
vgg19,L9,1024,3833856,2.72261e+06,416,152794,8.99166e+13,7.06655e+08,46,46.2222,46,1,46,1588,54,1,1,401408,2359296,5.85792e+11,1594884096,1251.64,190.771,5.4786,7.06653e+08,1594884096, 99673002, 99673002, 401408, 16.0012, 1594884096, 61226496, 61226496, 2359296, 26.0489, 1594884096, 1594884096, 346112, 177209344, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 416, 9.90476
