DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,192 4,6 12,11,8,1034040261379125,159996678734939,54234862,10452232,19065970,15307417,1214280000000,389990951,fail
2,192 8,6 8,11,8,1034040261379125,160466922594969,54234862,10482952,19065970,15307417,2428530000000,389990951,fail
3,192 4,7 12,7,12,80187719024400,273237982261628,13582920,13188654,5903570,20717653,1214280000000,610985824,pass
4,192 8,7 8,7,12,80187719024400,273985806689651,13582920,13224750,5903570,20717653,2428530000000,610985824,pass
5,192 4,8 12,5,14,16625458588800,288394899942955,6934440,13265034,2397520,21740983,1214280000000,857980094,pass
6,192 8,8 8,5,14,16625458588800,289179662490324,6934440,13301130,2397520,21740983,2428530000000,857980094,pass
7,192 4,9 12,3,16,254006829600,303708141079342,285960,13341414,888260,22764313,1214280000000,1104974363,pass
8,192 8,9 8,3,16,254006829600,304529841746056,285960,13377510,888260,22764313,2428530000000,1104974363,pass
9,192 4,10 12,3,16,254006829600,303708141079342,285960,13341414,888260,22764313,1214280000000,1104974363,pass
10,192 8,10 8,3,16,254006829600,304529841746056,285960,13377510,888260,22764313,2428530000000,1104974363,pass
11,192 4,11 12,3,16,254006829600,303708141079342,285960,13341414,888260,22764313,1214280000000,1104974363,pass
12,192 8,11 8,3,16,254006829600,304529841746056,285960,13377510,888260,22764313,2428530000000,1104974363,pass
13,192 4,12 12,3,16,254006829600,303708141079342,285960,13341414,888260,22764313,1214280000000,1104974363,pass
14,192 8,12 8,3,16,254006829600,304529841746056,285960,13377510,888260,22764313,2428530000000,1104974363,pass
15,192 4,13 12,2,17,85753602720,317458379427052,122040,13433933,702668,23631081,1214280000000,1936955060,pass
16,192 8,13 8,2,17,85753602720,319255097784807,122040,13509965,702668,23631081,2428530000000,1936955060,pass
17,192 4,14 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
18,192 8,14 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
19,192 4,15 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
20,192 8,15 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
21,192 4,16 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
22,192 8,16 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
23,192 4,17 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
24,192 8,17 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
25,192 4,18 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
26,192 8,18 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
27,192 4,19 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
28,192 8,19 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
29,192 4,20 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
30,192 8,20 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
31,192 4,21 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
32,192 8,21 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
33,192 4,22 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
34,192 8,22 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
35,192 4,23 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
36,192 8,23 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
37,192 4,24 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
38,192 8,24 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
39,192 4,25 12,0,19,0,329378837596433,0,13565203,0,24281156,1214280000000,2560940583,fail
40,192 8,25 8,0,19,0,332511689552346,0,13694227,0,24281156,2428530000000,2560940583,fail
41,704 4,6 12,11,8,249368671555464,159996678734939,14978820,10452232,16648085,15307417,4419630000000,389990951,pass
42,704 8,6 8,11,8,249368671555464,160466922594969,14978820,10482952,16648085,15307417,8839010000000,389990951,pass
43,704 4,7 12,7,12,19492484587056,273237982261628,3732780,13188654,5221975,20717653,4419630000000,610985824,pass
44,704 8,7 8,7,12,19492484587056,273985806689651,3732780,13224750,5221975,20717653,8839010000000,610985824,pass
45,704 4,8 12,5,14,3915880469424,288394899942955,1905420,13265034,2055127,21740983,4419630000000,857980094,pass
46,704 8,8 8,5,14,3915880469424,289179662490324,1905420,13301130,2055127,21740983,8839010000000,857980094,pass
47,704 4,9 12,3,16,65871024672,303708141079342,78060,13341414,843851,22764313,4419630000000,1104974363,pass
48,704 8,9 8,3,16,65871024672,304529841746056,78060,13377510,843851,22764313,8839010000000,1104974363,pass
49,704 4,10 12,3,16,65871024672,303708141079342,78060,13341414,843851,22764313,4419630000000,1104974363,pass
50,704 8,10 8,3,16,65871024672,304529841746056,78060,13377510,843851,22764313,8839010000000,1104974363,pass
51,704 4,11 12,3,16,65871024672,303708141079342,78060,13341414,843851,22764313,4419630000000,1104974363,pass
52,704 8,11 8,3,16,65871024672,304529841746056,78060,13377510,843851,22764313,8839010000000,1104974363,pass
53,704 4,12 12,3,16,65871024672,303708141079342,78060,13341414,843851,22764313,4419630000000,1104974363,pass
54,704 8,12 8,3,16,65871024672,304529841746056,78060,13377510,843851,22764313,8839010000000,1104974363,pass
55,704 4,13 12,2,17,22516068060,317458379427052,33300,13433933,676158,23631081,4419630000000,1936955060,pass
56,704 8,13 8,2,17,22516068060,319255097784807,33300,13509965,676158,23631081,8839010000000,1936955060,pass
57,704 4,14 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
58,704 8,14 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
59,704 4,15 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
60,704 8,15 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
61,704 4,16 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
62,704 8,16 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
63,704 4,17 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
64,704 8,17 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
65,704 4,18 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
66,704 8,18 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
67,704 4,19 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
68,704 8,19 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
69,704 4,20 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
70,704 8,20 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
71,704 4,21 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
72,704 8,21 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
73,704 4,22 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
74,704 8,22 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
75,704 4,23 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
76,704 8,23 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
77,704 4,24 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
78,704 8,24 8,0,19,0,332511689552346,0,13694227,0,24281156,8839010000000,2560940583,fail
79,704 4,25 12,0,19,0,329378837596433,0,13565203,0,24281156,4419630000000,2560940583,fail
