DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,19,13500691.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,25 16,pass
1,8,10452232.10449127,389990951.8462722,255.96438651715263,15307417.318659635,6 12,fail
2,8,10482952.10449127,389990951.8462722,255.96438651715263,15307417.318659635,6 8,fail
3,12,13188654.767244551,610985824.5591599,406.66684869328407,20717653.701895688,7 12,pass
4,12,13224750.767244551,610985824.5591599,406.66684869328407,20717653.701895688,7 8,pass
5,14,13265034.5550344,857980094.0617989,582.1847390600876,21740983.692613345,8 12,pass
6,14,13301130.5550344,857980094.0617989,582.1847390600876,21740983.692613345,8 8,pass
7,16,13341414.342824249,1104974363.564438,757.7026294268912,22764313.683331,9 12,pass
8,16,13377510.342824249,1104974363.564438,757.7026294268912,22764313.683331,9 8,pass
9,16,13341414.342824249,1104974363.564438,757.7026294268912,22764313.683331,10 12,pass
10,16,13377510.342824249,1104974363.564438,757.7026294268912,22764313.683331,10 8,pass
11,16,13341414.342824249,1104974363.564438,757.7026294268912,22764313.683331,11 12,pass
12,16,13377510.342824249,1104974363.564438,757.7026294268912,22764313.683331,11 8,pass
13,16,13341414.342824249,1104974363.564438,757.7026294268912,22764313.683331,12 12,pass
14,16,13377510.342824249,1104974363.564438,757.7026294268912,22764313.683331,12 8,pass
15,17,13433933.816297978,1936955060.836485,1349.168938864922,23631081.09419997,13 12,pass
16,17,13509965.816297978,1936955060.836485,1349.168938864922,23631081.09419997,13 8,pass
17,19,13565203.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 12,fail
18,19,13694227.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 8,fail
19,19,13565203.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 12,fail
20,19,13694227.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 8,fail
21,19,13565203.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,16 12,fail
22,19,13694227.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,16 8,fail
23,19,13565203.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,17 12,fail
24,19,13694227.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,17 8,fail
25,19,13565203.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,18 12,fail
26,19,13694227.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,18 8,fail
27,19,13565203.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,19 12,fail
28,19,13694227.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,19 8,fail
