DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,19,13355539.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,48 64,pass
1,7,8138770.959201968,474488991.4129645,320.31548653441365,15017667.198858935,6 48,pass
2,7,8139713.504656513,474488991.4129645,320.31548653441365,15017667.198858935,6 44,pass
3,7,8140844.559201968,474488991.4129645,320.31548653441365,15017667.198858935,6 40,pass
4,7,8142226.959201968,474488991.4129645,320.31548653441365,15017667.198858935,6 36,pass
5,7,8143954.959201968,474488991.4129645,320.31548653441365,15017667.198858935,6 32,pass
6,7,8146176.673487682,474488991.4129645,320.31548653441365,15017667.198858935,6 28,pass
7,7,8149138.959201968,474488991.4129645,320.31548653441365,15017667.198858935,6 24,pass
8,7,8153286.159201968,474488991.4129645,320.31548653441365,15017667.198858935,6 20,pass
9,7,8159506.959201968,474488991.4129645,320.31548653441365,15017667.198858935,6 16,pass
10,9,8971288.837100444,578486578.5719705,389.60762725588114,18244580.932323176,7 48,pass
11,9,8972929.564373171,578486578.5719705,389.60762725588114,18244580.932323176,7 44,pass
12,9,8974898.437100444,578486578.5719705,389.60762725588114,18244580.932323176,7 40,pass
13,9,8977304.837100444,578486578.5719705,389.60762725588114,18244580.932323176,7 36,pass
14,9,8980312.837100444,578486578.5719705,389.60762725588114,18244580.932323176,7 32,pass
15,9,8984180.265671872,578486578.5719705,389.60762725588114,18244580.932323176,7 28,pass
16,9,8989336.837100444,578486578.5719705,389.60762725588114,18244580.932323176,7 24,pass
17,9,8996556.037100444,578486578.5719705,389.60762725588114,18244580.932323176,7 20,pass
18,9,9007384.837100444,578486578.5719705,389.60762725588114,18244580.932323176,7 16,pass
19,11,9047668.624890292,825480848.0746095,565.1255176226847,19267910.92304084,8 48,pass
20,11,9049309.35216302,825480848.0746095,565.1255176226847,19267910.92304084,8 44,pass
21,11,9051278.224890292,825480848.0746095,565.1255176226847,19267910.92304084,8 40,pass
22,11,9053684.624890292,825480848.0746095,565.1255176226847,19267910.92304084,8 36,pass
23,11,9056692.624890292,825480848.0746095,565.1255176226847,19267910.92304084,8 32,pass
24,11,9060560.05346172,825480848.0746095,565.1255176226847,19267910.92304084,8 28,pass
25,11,9065716.624890292,825480848.0746095,565.1255176226847,19267910.92304084,8 24,pass
26,11,9072935.824890291,825480848.0746095,565.1255176226847,19267910.92304084,8 20,pass
27,11,9083764.624890292,825480848.0746095,565.1255176226847,19267910.92304084,8 16,pass
28,13,9124048.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,9 48,pass
29,13,9125689.139952866,1072475117.5772486,740.6434079894883,20291240.91375849,9 44,pass
30,13,9127658.01268014,1072475117.5772486,740.6434079894883,20291240.91375849,9 40,pass
31,13,9130064.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,9 36,pass
32,13,9133072.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,9 32,pass
33,13,9136939.841251569,1072475117.5772486,740.6434079894883,20291240.91375849,9 28,pass
34,13,9142096.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,9 24,pass
35,13,9149315.61268014,1072475117.5772486,740.6434079894883,20291240.91375849,9 20,pass
36,13,9160144.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,9 16,pass
37,13,9124048.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,10 48,pass
38,13,9125689.139952866,1072475117.5772486,740.6434079894883,20291240.91375849,10 44,pass
39,13,9127658.01268014,1072475117.5772486,740.6434079894883,20291240.91375849,10 40,pass
40,13,9130064.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,10 36,pass
41,13,9133072.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,10 32,pass
42,13,9136939.841251569,1072475117.5772486,740.6434079894883,20291240.91375849,10 28,pass
43,13,9142096.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,10 24,pass
44,13,9149315.61268014,1072475117.5772486,740.6434079894883,20291240.91375849,10 20,pass
45,13,9160144.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,10 16,pass
46,13,9124048.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,11 48,pass
47,13,9125689.139952866,1072475117.5772486,740.6434079894883,20291240.91375849,11 44,pass
48,13,9127658.01268014,1072475117.5772486,740.6434079894883,20291240.91375849,11 40,pass
49,13,9130064.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,11 36,pass
50,13,9133072.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,11 32,pass
51,13,9136939.841251569,1072475117.5772486,740.6434079894883,20291240.91375849,11 28,pass
52,13,9142096.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,11 24,pass
53,13,9149315.61268014,1072475117.5772486,740.6434079894883,20291240.91375849,11 20,pass
54,13,9160144.41268014,1072475117.5772486,740.6434079894883,20291240.91375849,11 16,pass
55,15,10937777.095428986,1910955664.0467336,1334.9988774022972,22157389.162349608,12 48,pass
56,15,10941233.095428985,1910955664.0467336,1334.9988774022972,22157389.162349608,12 44,pass
57,15,10945380.295428986,1910955664.0467336,1334.9988774022972,22157389.162349608,12 40,pass
58,15,10950449.095428986,1910955664.0467336,1334.9988774022972,22157389.162349608,12 36,pass
59,15,10956785.095428986,1910955664.0467336,1334.9988774022972,22157389.162349608,12 32,pass
60,15,10964931.38114327,1910955664.0467336,1334.9988774022972,22157389.162349608,12 28,pass
61,15,10975793.095428986,1910955664.0467336,1334.9988774022972,22157389.162349608,12 24,pass
62,15,10990999.495428983,1910955664.0467336,1334.9988774022972,22157389.162349608,12 20,pass
63,15,11013809.095428986,1910955664.0467336,1334.9988774022972,22157389.162349608,12 16,pass
64,16,11544975.397747764,1930455211.639048,1348.855552957571,23447819.689584,13 48,pass
65,16,11548431.397747764,1930455211.639048,1348.855552957571,23447819.689584,13 44,pass
66,16,11552578.597747764,1930455211.639048,1348.855552957571,23447819.689584,13 40,pass
67,16,11557647.397747764,1930455211.639048,1348.855552957571,23447819.689584,13 36,pass
68,16,11563983.397747764,1930455211.639048,1348.855552957571,23447819.689584,13 32,pass
