DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,19,35339400.0,29580730.9,102762000000000.0,807605000.0,1024 64,pass
1,11,40522080.0,18219999.5,6459620000000.0,50766472.72727273,256 16,pass
2,11,40522080.0,18219999.5,8074520000000.0,63457972.72727273,256 20,pass
3,11,40522080.0,18219999.5,9689420000000.0,76149500.0,256 24,pass
4,11,40522080.0,18219999.5,11304300000000.0,88841000.0,256 28,pass
5,11,40522080.0,18219999.5,12919200000000.0,101532727.27272728,256 32,pass
6,11,40522080.0,18219999.5,14534100000000.0,114224000.0,256 36,pass
7,11,40522080.0,18219999.5,16149000000000.0,126916000.0,256 40,pass
8,11,40522080.0,18219999.5,17763900000000.0,139607000.0,256 44,pass
9,11,40522080.0,18219999.5,19378800000000.0,152299000.0,256 48,pass
10,7,10167600.0,5667279.5,6459620000000.0,50766457.14285714,256 16,pass
11,7,10167600.0,5667279.5,8074520000000.0,63457957.14285714,256 20,pass
12,7,10167600.0,5667279.5,9689420000000.0,76149500.0,256 24,pass
13,7,10167600.0,5667279.5,11304300000000.0,88841000.0,256 28,pass
14,7,10167600.0,5667279.5,12919200000000.0,101532571.42857143,256 32,pass
15,7,10167600.0,5667279.5,14534100000000.0,114224000.0,256 36,pass
16,7,10167600.0,5667279.5,16149000000000.0,126916000.0,256 40,pass
17,7,10167600.0,5667279.5,17763900000000.0,139607000.0,256 44,pass
18,7,10167600.0,5667279.5,19378800000000.0,152299000.0,256 48,pass
19,5,5190960.0,2278856.5,6459620000000.0,50766440.0,256 16,pass
20,5,5190960.0,2278856.5,8074520000000.0,63457940.0,256 20,pass
21,5,5190960.0,2278856.5,9689420000000.0,76149500.0,256 24,pass
22,5,5190960.0,2278856.5,11304300000000.0,88841000.0,256 28,pass
23,5,5190960.0,2278856.5,12919200000000.0,101532400.0,256 32,pass
24,5,5190960.0,2278856.5,14534100000000.0,114224000.0,256 36,pass
25,5,5190960.0,2278856.5,16149000000000.0,126916000.0,256 40,pass
26,5,5190960.0,2278856.5,17763900000000.0,139607000.0,256 44,pass
27,5,5190960.0,2278856.5,19378800000000.0,152299000.0,256 48,pass
28,3,214320.0,872930.5,6459620000000.0,50766400.0,256 16,pass
29,3,214320.0,872930.5,8074520000000.0,63457900.0,256 20,pass
30,3,214320.0,872930.5,9689420000000.0,76149500.0,256 24,pass
31,3,214320.0,872930.5,11304300000000.0,88841000.0,256 28,pass
32,3,214320.0,872930.5,12919200000000.0,101532000.0,256 32,pass
33,3,214320.0,872930.5,14534100000000.0,114224000.0,256 36,pass
34,3,214320.0,872930.5,16149000000000.0,126916000.0,256 40,pass
35,3,214320.0,872930.5,17763900000000.0,139607000.0,256 44,pass
36,3,214320.0,872930.5,19378800000000.0,152299000.0,256 48,pass
37,3,214320.0,872930.5,6459620000000.0,50766400.0,256 16,pass
38,3,214320.0,872930.5,8074520000000.0,63457900.0,256 20,pass
39,3,214320.0,872930.5,9689420000000.0,76149500.0,256 24,pass
40,3,214320.0,872930.5,11304300000000.0,88841000.0,256 28,pass
41,3,214320.0,872930.5,12919200000000.0,101532000.0,256 32,pass
42,3,214320.0,872930.5,14534100000000.0,114224000.0,256 36,pass
43,3,214320.0,872930.5,16149000000000.0,126916000.0,256 40,pass
44,3,214320.0,872930.5,17763900000000.0,139607000.0,256 44,pass
45,3,214320.0,872930.5,19378800000000.0,152299000.0,256 48,pass
46,3,214320.0,872930.5,6459620000000.0,50766400.0,256 16,pass
47,3,214320.0,872930.5,8074520000000.0,63457900.0,256 20,pass
48,3,214320.0,872930.5,9689420000000.0,76149500.0,256 24,pass
49,3,214320.0,872930.5,11304300000000.0,88841000.0,256 28,pass
50,3,214320.0,872930.5,12919200000000.0,101532000.0,256 32,pass
51,3,214320.0,872930.5,14534100000000.0,114224000.0,256 36,pass
52,3,214320.0,872930.5,16149000000000.0,126916000.0,256 40,pass
53,3,214320.0,872930.5,17763900000000.0,139607000.0,256 44,pass
54,3,214320.0,872930.5,19378800000000.0,152299000.0,256 48,pass
55,3,214320.0,872930.5,6459620000000.0,50766400.0,256 16,pass
56,3,214320.0,872930.5,8074520000000.0,63457900.0,256 20,pass
57,3,214320.0,872930.5,9689420000000.0,76149500.0,256 24,pass
58,3,214320.0,872930.5,11304300000000.0,88841000.0,256 28,pass
59,3,214320.0,872930.5,12919200000000.0,101532000.0,256 32,pass
60,3,214320.0,872930.5,14534100000000.0,114224000.0,256 36,pass
61,3,214320.0,872930.5,16149000000000.0,126916000.0,256 40,pass
62,3,214320.0,872930.5,17763900000000.0,139607000.0,256 44,pass
63,3,214320.0,872930.5,19378800000000.0,152299000.0,256 48,pass
64,2,91440.0,693503.5,6459620000000.0,50766400.0,256 16,pass
65,2,91440.0,693503.5,8074520000000.0,63457900.0,256 20,pass
66,2,91440.0,693503.5,9689420000000.0,76149500.0,256 24,pass
67,2,91440.0,693503.5,11304300000000.0,88841000.0,256 28,pass
68,2,91440.0,693503.5,12919200000000.0,101532000.0,256 32,pass
69,2,91440.0,693503.5,14534100000000.0,114224000.0,256 36,pass
70,2,91440.0,693503.5,16149000000000.0,126916000.0,256 40,pass
71,2,91440.0,693503.5,17763900000000.0,139607000.0,256 44,pass
72,2,91440.0,693503.5,19378800000000.0,152299000.0,256 48,pass
73,0,0.0,0.0,6459620000000.0,,256 16,fail
74,0,0.0,0.0,8074520000000.0,,256 20,fail
75,0,0.0,0.0,9689420000000.0,,256 24,fail
76,0,0.0,0.0,11304300000000.0,,256 28,fail
77,0,0.0,0.0,12919200000000.0,,256 32,fail
78,0,0.0,0.0,14534100000000.0,,256 36,fail
79,0,0.0,0.0,16149000000000.0,,256 40,fail
80,0,0.0,0.0,17763900000000.0,,256 44,fail
81,0,0.0,0.0,19378800000000.0,,256 48,fail
82,0,0.0,0.0,6459620000000.0,,256 16,fail
83,0,0.0,0.0,8074520000000.0,,256 20,fail
84,0,0.0,0.0,9689420000000.0,,256 24,fail
85,0,0.0,0.0,11304300000000.0,,256 28,fail
86,0,0.0,0.0,12919200000000.0,,256 32,fail
87,0,0.0,0.0,14534100000000.0,,256 36,fail
88,0,0.0,0.0,16149000000000.0,,256 40,fail
89,0,0.0,0.0,17763900000000.0,,256 44,fail
90,0,0.0,0.0,19378800000000.0,,256 48,fail
91,0,0.0,0.0,6459620000000.0,,256 16,fail
92,0,0.0,0.0,8074520000000.0,,256 20,fail
93,0,0.0,0.0,9689420000000.0,,256 24,fail
94,0,0.0,0.0,11304300000000.0,,256 28,fail
95,0,0.0,0.0,12919200000000.0,,256 32,fail
96,0,0.0,0.0,14534100000000.0,,256 36,fail
97,0,0.0,0.0,16149000000000.0,,256 40,fail
98,0,0.0,0.0,17763900000000.0,,256 44,fail
99,0,0.0,0.0,19378800000000.0,,256 48,fail
100,0,0.0,0.0,6459620000000.0,,256 16,fail
101,0,0.0,0.0,8074520000000.0,,256 20,fail
102,0,0.0,0.0,9689420000000.0,,256 24,fail
103,0,0.0,0.0,11304300000000.0,,256 28,fail
104,0,0.0,0.0,12919200000000.0,,256 32,fail
105,0,0.0,0.0,14534100000000.0,,256 36,fail
106,0,0.0,0.0,16149000000000.0,,256 40,fail
107,0,0.0,0.0,17763900000000.0,,256 44,fail
108,0,0.0,0.0,19378800000000.0,,256 48,fail
109,0,0.0,0.0,6459620000000.0,,256 16,fail
110,0,0.0,0.0,8074520000000.0,,256 20,fail
111,0,0.0,0.0,9689420000000.0,,256 24,fail
112,0,0.0,0.0,11304300000000.0,,256 28,fail
113,0,0.0,0.0,12919200000000.0,,256 32,fail
114,0,0.0,0.0,14534100000000.0,,256 36,fail
115,0,0.0,0.0,16149000000000.0,,256 40,fail
116,0,0.0,0.0,17763900000000.0,,256 44,fail
117,0,0.0,0.0,19378800000000.0,,256 48,fail
118,0,0.0,0.0,6459620000000.0,,256 16,fail
119,0,0.0,0.0,8074520000000.0,,256 20,fail
120,0,0.0,0.0,9689420000000.0,,256 24,fail
121,0,0.0,0.0,11304300000000.0,,256 28,fail
122,0,0.0,0.0,12919200000000.0,,256 32,fail
123,0,0.0,0.0,14534100000000.0,,256 36,fail
124,0,0.0,0.0,16149000000000.0,,256 40,fail
125,0,0.0,0.0,17763900000000.0,,256 44,fail
126,0,0.0,0.0,19378800000000.0,,256 48,fail
127,0,0.0,0.0,6459620000000.0,,256 16,fail
128,0,0.0,0.0,8074520000000.0,,256 20,fail
129,0,0.0,0.0,9689420000000.0,,256 24,fail
130,0,0.0,0.0,11304300000000.0,,256 28,fail
131,0,0.0,0.0,12919200000000.0,,256 32,fail
132,0,0.0,0.0,14534100000000.0,,256 36,fail
133,0,0.0,0.0,16149000000000.0,,256 40,fail
134,0,0.0,0.0,17763900000000.0,,256 44,fail
135,0,0.0,0.0,19378800000000.0,,256 48,fail
136,0,0.0,0.0,6459620000000.0,,256 16,fail
137,0,0.0,0.0,8074520000000.0,,256 20,fail
138,0,0.0,0.0,9689420000000.0,,256 24,fail
139,0,0.0,0.0,11304300000000.0,,256 28,fail
140,0,0.0,0.0,12919200000000.0,,256 32,fail
141,0,0.0,0.0,14534100000000.0,,256 36,fail
142,0,0.0,0.0,16149000000000.0,,256 40,fail
143,0,0.0,0.0,17763900000000.0,,256 44,fail
144,0,0.0,0.0,19378800000000.0,,256 48,fail
145,0,0.0,0.0,6459620000000.0,,256 16,fail
146,0,0.0,0.0,8074520000000.0,,256 20,fail
147,0,0.0,0.0,9689420000000.0,,256 24,fail
148,0,0.0,0.0,11304300000000.0,,256 28,fail
149,0,0.0,0.0,12919200000000.0,,256 32,fail
150,0,0.0,0.0,14534100000000.0,,256 36,fail
151,0,0.0,0.0,16149000000000.0,,256 40,fail
152,0,0.0,0.0,17763900000000.0,,256 44,fail
153,0,0.0,0.0,19378800000000.0,,256 48,fail
154,0,0.0,0.0,6459620000000.0,,256 16,fail
155,0,0.0,0.0,8074520000000.0,,256 20,fail
156,0,0.0,0.0,9689420000000.0,,256 24,fail
157,0,0.0,0.0,11304300000000.0,,256 28,fail
158,0,0.0,0.0,12919200000000.0,,256 32,fail
159,0,0.0,0.0,14534100000000.0,,256 36,fail
160,0,0.0,0.0,16149000000000.0,,256 40,fail
161,0,0.0,0.0,17763900000000.0,,256 44,fail
162,0,0.0,0.0,19378800000000.0,,256 48,fail
163,0,0.0,0.0,6459620000000.0,,256 16,fail
164,0,0.0,0.0,8074520000000.0,,256 20,fail
165,0,0.0,0.0,9689420000000.0,,256 24,fail
166,0,0.0,0.0,11304300000000.0,,256 28,fail
167,0,0.0,0.0,12919200000000.0,,256 32,fail
168,0,0.0,0.0,14534100000000.0,,256 36,fail
169,0,0.0,0.0,16149000000000.0,,256 40,fail
170,0,0.0,0.0,17763900000000.0,,256 44,fail
171,0,0.0,0.0,19378800000000.0,,256 48,fail
172,11,27326850.0,17408409.8,9664790000000.0,75955772.72727273,384 16,pass
173,11,27326850.0,17408409.8,12081000000000.0,94944572.72727272,384 20,pass
174,11,27326850.0,17408409.8,14497100000000.0,113933000.0,384 24,pass
175,11,27326850.0,17408409.8,16913300000000.0,132922000.0,384 28,pass
176,11,27326850.0,17408409.8,19329500000000.0,151911000.0,384 32,pass
177,11,27326850.0,17408409.8,21745700000000.0,170900000.0,384 36,pass
178,11,27326850.0,17408409.8,24161900000000.0,189889000.0,384 40,pass
179,11,27326850.0,17408409.8,26578000000000.0,208877000.0,384 44,pass
180,11,27326850.0,17408409.8,28994200000000.0,227866000.0,384 48,pass
181,7,6830340.0,5436269.8,9664790000000.0,75955757.14285715,384 16,pass
182,7,6830340.0,5436269.8,12081000000000.0,94944557.14285716,384 20,pass
183,7,6830340.0,5436269.8,14497100000000.0,113933000.0,384 24,pass
184,7,6830340.0,5436269.8,16913300000000.0,132922000.0,384 28,pass
185,7,6830340.0,5436269.8,19329500000000.0,151911000.0,384 32,pass
186,7,6830340.0,5436269.8,21745700000000.0,170900000.0,384 36,pass
187,7,6830340.0,5436269.8,24161900000000.0,189889000.0,384 40,pass
188,7,6830340.0,5436269.8,26578000000000.0,208877000.0,384 44,pass
189,7,6830340.0,5436269.8,28994200000000.0,227866000.0,384 48,pass
190,5,3486660.0,2162741.8,9664790000000.0,75955740.0,384 16,pass
191,5,3486660.0,2162741.8,12081000000000.0,94944540.0,384 20,pass
192,5,3486660.0,2162741.8,14497100000000.0,113933000.0,384 24,pass
193,5,3486660.0,2162741.8,16913300000000.0,132922000.0,384 28,pass
194,5,3486660.0,2162741.8,19329500000000.0,151911000.0,384 32,pass
195,5,3486660.0,2162741.8,21745700000000.0,170900000.0,384 36,pass
196,5,3486660.0,2162741.8,24161900000000.0,189889000.0,384 40,pass
197,5,3486660.0,2162741.8,26578000000000.0,208877000.0,384 44,pass
198,5,3486660.0,2162741.8,28994200000000.0,227866000.0,384 48,pass
199,3,142980.0,857745.8,9664790000000.0,75955700.0,384 16,pass
200,3,142980.0,857745.8,12081000000000.0,94944500.0,384 20,pass
201,3,142980.0,857745.8,14497100000000.0,113933000.0,384 24,pass
202,3,142980.0,857745.8,16913300000000.0,132922000.0,384 28,pass
203,3,142980.0,857745.8,19329500000000.0,151911000.0,384 32,pass
204,3,142980.0,857745.8,21745700000000.0,170900000.0,384 36,pass
205,3,142980.0,857745.8,24161900000000.0,189889000.0,384 40,pass
206,3,142980.0,857745.8,26578000000000.0,208877000.0,384 44,pass
207,3,142980.0,857745.8,28994200000000.0,227866000.0,384 48,pass
208,3,142980.0,857745.8,9664790000000.0,75955700.0,384 16,pass
209,3,142980.0,857745.8,12081000000000.0,94944500.0,384 20,pass
210,3,142980.0,857745.8,14497100000000.0,113933000.0,384 24,pass
211,3,142980.0,857745.8,16913300000000.0,132922000.0,384 28,pass
212,3,142980.0,857745.8,19329500000000.0,151911000.0,384 32,pass
213,3,142980.0,857745.8,21745700000000.0,170900000.0,384 36,pass
214,3,142980.0,857745.8,24161900000000.0,189889000.0,384 40,pass
215,3,142980.0,857745.8,26578000000000.0,208877000.0,384 44,pass
216,3,142980.0,857745.8,28994200000000.0,227866000.0,384 48,pass
217,3,142980.0,857745.8,9664790000000.0,75955700.0,384 16,pass
218,3,142980.0,857745.8,12081000000000.0,94944500.0,384 20,pass
219,3,142980.0,857745.8,14497100000000.0,113933000.0,384 24,pass
220,3,142980.0,857745.8,16913300000000.0,132922000.0,384 28,pass
221,3,142980.0,857745.8,19329500000000.0,151911000.0,384 32,pass
222,3,142980.0,857745.8,21745700000000.0,170900000.0,384 36,pass
223,3,142980.0,857745.8,24161900000000.0,189889000.0,384 40,pass
224,3,142980.0,857745.8,26578000000000.0,208877000.0,384 44,pass
225,3,142980.0,857745.8,28994200000000.0,227866000.0,384 48,pass
226,3,142980.0,857745.8,9664790000000.0,75955700.0,384 16,pass
227,3,142980.0,857745.8,12081000000000.0,94944500.0,384 20,pass
228,3,142980.0,857745.8,14497100000000.0,113933000.0,384 24,pass
229,3,142980.0,857745.8,16913300000000.0,132922000.0,384 28,pass
230,3,142980.0,857745.8,19329500000000.0,151911000.0,384 32,pass
231,3,142980.0,857745.8,21745700000000.0,170900000.0,384 36,pass
232,3,142980.0,857745.8,24161900000000.0,189889000.0,384 40,pass
233,3,142980.0,857745.8,26578000000000.0,208877000.0,384 44,pass
234,3,142980.0,857745.8,28994200000000.0,227866000.0,384 48,pass
235,2,61020.0,684464.8,9664790000000.0,75955700.0,384 16,pass
236,2,61020.0,684464.8,12081000000000.0,94944500.0,384 20,pass
237,2,61020.0,684464.8,14497100000000.0,113933000.0,384 24,pass
238,2,61020.0,684464.8,16913300000000.0,132922000.0,384 28,pass
239,2,61020.0,684464.8,19329500000000.0,151911000.0,384 32,pass
240,2,61020.0,684464.8,21745700000000.0,170900000.0,384 36,pass
241,2,61020.0,684464.8,24161900000000.0,189889000.0,384 40,pass
242,2,61020.0,684464.8,26578000000000.0,208877000.0,384 44,pass
243,2,61020.0,684464.8,28994200000000.0,227866000.0,384 48,pass
244,0,0.0,0.0,9664790000000.0,,384 16,fail
245,0,0.0,0.0,12081000000000.0,,384 20,fail
246,0,0.0,0.0,14497100000000.0,,384 24,fail
247,0,0.0,0.0,16913300000000.0,,384 28,fail
248,0,0.0,0.0,19329500000000.0,,384 32,fail
249,0,0.0,0.0,21745700000000.0,,384 36,fail
250,0,0.0,0.0,24161900000000.0,,384 40,fail
251,0,0.0,0.0,26578000000000.0,,384 44,fail
252,0,0.0,0.0,28994200000000.0,,384 48,fail
253,0,0.0,0.0,9664790000000.0,,384 16,fail
254,0,0.0,0.0,12081000000000.0,,384 20,fail
255,0,0.0,0.0,14497100000000.0,,384 24,fail
256,0,0.0,0.0,16913300000000.0,,384 28,fail
257,0,0.0,0.0,19329500000000.0,,384 32,fail
258,0,0.0,0.0,21745700000000.0,,384 36,fail
259,0,0.0,0.0,24161900000000.0,,384 40,fail
260,0,0.0,0.0,26578000000000.0,,384 44,fail
261,0,0.0,0.0,28994200000000.0,,384 48,fail
262,0,0.0,0.0,9664790000000.0,,384 16,fail
263,0,0.0,0.0,12081000000000.0,,384 20,fail
264,0,0.0,0.0,14497100000000.0,,384 24,fail
265,0,0.0,0.0,16913300000000.0,,384 28,fail
266,0,0.0,0.0,19329500000000.0,,384 32,fail
267,0,0.0,0.0,21745700000000.0,,384 36,fail
268,0,0.0,0.0,24161900000000.0,,384 40,fail
269,0,0.0,0.0,26578000000000.0,,384 44,fail
270,0,0.0,0.0,28994200000000.0,,384 48,fail
271,0,0.0,0.0,9664790000000.0,,384 16,fail
272,0,0.0,0.0,12081000000000.0,,384 20,fail
273,0,0.0,0.0,14497100000000.0,,384 24,fail
274,0,0.0,0.0,16913300000000.0,,384 28,fail
275,0,0.0,0.0,19329500000000.0,,384 32,fail
276,0,0.0,0.0,21745700000000.0,,384 36,fail
277,0,0.0,0.0,24161900000000.0,,384 40,fail
278,0,0.0,0.0,26578000000000.0,,384 44,fail
279,0,0.0,0.0,28994200000000.0,,384 48,fail
280,0,0.0,0.0,9664790000000.0,,384 16,fail
281,0,0.0,0.0,12081000000000.0,,384 20,fail
282,0,0.0,0.0,14497100000000.0,,384 24,fail
283,0,0.0,0.0,16913300000000.0,,384 28,fail
284,0,0.0,0.0,19329500000000.0,,384 32,fail
285,0,0.0,0.0,21745700000000.0,,384 36,fail
286,0,0.0,0.0,24161900000000.0,,384 40,fail
287,0,0.0,0.0,26578000000000.0,,384 44,fail
288,0,0.0,0.0,28994200000000.0,,384 48,fail
289,0,0.0,0.0,9664790000000.0,,384 16,fail
290,0,0.0,0.0,12081000000000.0,,384 20,fail
291,0,0.0,0.0,14497100000000.0,,384 24,fail
292,0,0.0,0.0,16913300000000.0,,384 28,fail
293,0,0.0,0.0,19329500000000.0,,384 32,fail
294,0,0.0,0.0,21745700000000.0,,384 36,fail
295,0,0.0,0.0,24161900000000.0,,384 40,fail
296,0,0.0,0.0,26578000000000.0,,384 44,fail
297,0,0.0,0.0,28994200000000.0,,384 48,fail
298,0,0.0,0.0,9664790000000.0,,384 16,fail
299,0,0.0,0.0,12081000000000.0,,384 20,fail
300,0,0.0,0.0,14497100000000.0,,384 24,fail
301,0,0.0,0.0,16913300000000.0,,384 28,fail
302,0,0.0,0.0,19329500000000.0,,384 32,fail
303,0,0.0,0.0,21745700000000.0,,384 36,fail
304,0,0.0,0.0,24161900000000.0,,384 40,fail
305,0,0.0,0.0,26578000000000.0,,384 44,fail
306,0,0.0,0.0,28994200000000.0,,384 48,fail
307,0,0.0,0.0,9664790000000.0,,384 16,fail
308,0,0.0,0.0,12081000000000.0,,384 20,fail
309,0,0.0,0.0,14497100000000.0,,384 24,fail
310,0,0.0,0.0,16913300000000.0,,384 28,fail
311,0,0.0,0.0,19329500000000.0,,384 32,fail
