DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,11,8,738312277338960.0,159291312944896.06,40522080,10406152,18219999,15307417,6459620000000,389990951,pass
2,256 20,6 44,11,8,738312277338960.0,159312687665806.47,40522080,10407548,18219999,15307417,8074520000000,389990951,pass
3,256 24,6 40,11,8,738312277338960.0,159338337330899.0,40522080,10409224,18219999,15307417,9689420000000,389990951,pass
4,256 28,6 36,11,8,738312277338960.0,159369686921567.6,40522080,10411272,18219999,15307417,11304300000000,389990951,pass
5,256 32,6 32,11,8,738312277338960.0,159408873909903.38,40522080,10413832,18219999,15307417,12919200000000,389990951,pass
6,256 36,6 28,11,8,738312277338960.0,159459257180620.78,40522080,10417123,18219999,15307417,14534100000000,389990951,pass
7,256 40,6 24,11,8,738312277338960.0,159526434874910.7,40522080,10421512,18219999,15307417,16149000000000,389990951,pass
8,256 44,6 20,11,8,738312277338960.0,159620483646916.53,40522080,10427656,18219999,15307417,17763900000000,389990951,pass
9,256 48,6 16,11,8,738312277338960.0,159761556804925.28,40522080,10436872,18219999,15307417,19378800000000,389990951,pass
10,256 16,7 48,7,12,57622631044200.0,272116245619592.84,10167600,13134510,5667279,20717653,6459620000000,610985824,pass
11,256 20,7 44,7,12,57622631044200.0,272150237639048.47,10167600,13136151,5667279,20717653,8074520000000,610985824,pass
12,256 24,7 40,7,12,57622631044200.0,272191028062395.25,10167600,13138120,5667279,20717653,9689420000000,610985824,pass
13,256 28,7 36,7,12,57622631044200.0,272240883024263.44,10167600,13140526,5667279,20717653,11304300000000,610985824,pass
14,256 32,7 32,7,12,57622631044200.0,272303201726598.75,10167600,13143534,5667279,20717653,12919200000000,610985824,pass
15,256 36,7 28,7,12,57622631044200.0,272383325772458.44,10167600,13147402,5667279,20717653,14534100000000,610985824,pass
16,256 40,7 24,7,12,57622631044200.0,272490157833604.66,10167600,13152558,5667279,20717653,16149000000000,610985824,pass
17,256 44,7 20,7,12,57622631044200.0,272639722719209.38,10167600,13159777,5667279,20717653,17763900000000,610985824,pass
18,256 48,7 16,7,12,57622631044200.0,272864070047616.47,10167600,13170606,5667279,20717653,19378800000000,610985824,pass
19,256 16,8 48,5,14,11829452937240.0,287217756121902.56,5190960,13210890,2278856,21740983,6459620000000,857980094,pass
20,256 20,8 44,5,14,11829452937240.0,287253427146782.9,5190960,13212531,2278856,21740983,8074520000000,857980094,pass
21,256 24,8 40,5,14,11829452937240.0,287296232376639.44,5190960,13214500,2278856,21740983,9689420000000,857980094,pass
22,256 28,8 36,5,14,11829452937240.0,287348549879797.3,5190960,13216906,2278856,21740983,11304300000000,857980094,pass
23,256 32,8 32,5,14,11829452937240.0,287413946758744.7,5190960,13219914,2278856,21740983,12919200000000,857980094,pass
24,256 36,8 28,5,14,11829452937240.0,287498028460248.44,5190960,13223781,2278856,21740983,14534100000000,857980094,pass
25,256 40,8 24,5,14,11829452937240.0,287610137395586.9,5190960,13228938,2278856,21740983,16149000000000,857980094,pass
26,256 44,8 20,5,14,11829452937240.0,287767089905060.5,5190960,13236157,2278856,21740983,17763900000000,857980094,pass
27,256 48,8 16,5,14,11829452937240.0,288002518669271.1,5190960,13246986,2278856,21740983,19378800000000,857980094,pass
28,256 16,9 48,3,16,187086464760.0,302475590079272.25,214320,13287270,872930,22764313,6459620000000,1104974363,pass
29,256 20,9 44,3,16,187086464760.0,302512940109577.3,214320,13288911,872930,22764313,8074520000000,1104974363,pass
30,256 24,9 40,3,16,187086464760.0,302557760145943.56,214320,13290879,872930,22764313,9689420000000,1104974363,pass
31,256 28,9 36,3,16,187086464760.0,302612540190391.2,214320,13293286,872930,22764313,11304300000000,1104974363,pass
32,256 32,9 32,3,16,187086464760.0,302681015245950.6,214320,13296294,872930,22764313,12919200000000,1104974363,pass
33,256 36,9 28,3,16,187086464760.0,302769054603098.5,214320,13300161,872930,22764313,14534100000000,1104974363,pass
34,256 40,9 24,3,16,187086464760.0,302886440412629.0,214320,13305318,872930,22764313,16149000000000,1104974363,pass
35,256 44,9 20,3,16,187086464760.0,303050780545971.6,214320,13312537,872930,22764313,17763900000000,1104974363,pass
36,256 48,9 16,3,16,187086464760.0,303297290745985.75,214320,13323366,872930,22764313,19378800000000,1104974363,pass
37,256 16,10 48,3,16,187086464760.0,302475590079272.25,214320,13287270,872930,22764313,6459620000000,1104974363,pass
38,256 20,10 44,3,16,187086464760.0,302512940109577.3,214320,13288911,872930,22764313,8074520000000,1104974363,pass
39,256 24,10 40,3,16,187086464760.0,302557760145943.56,214320,13290879,872930,22764313,9689420000000,1104974363,pass
40,256 28,10 36,3,16,187086464760.0,302612540190391.2,214320,13293286,872930,22764313,11304300000000,1104974363,pass
41,256 32,10 32,3,16,187086464760.0,302681015245950.6,214320,13296294,872930,22764313,12919200000000,1104974363,pass
42,256 36,10 28,3,16,187086464760.0,302769054603098.5,214320,13300161,872930,22764313,14534100000000,1104974363,pass
43,256 40,10 24,3,16,187086464760.0,302886440412629.0,214320,13305318,872930,22764313,16149000000000,1104974363,pass
44,256 44,10 20,3,16,187086464760.0,303050780545971.6,214320,13312537,872930,22764313,17763900000000,1104974363,pass
45,256 48,10 16,3,16,187086464760.0,303297290745985.75,214320,13323366,872930,22764313,19378800000000,1104974363,pass
46,256 16,11 48,3,16,187086464760.0,302475590079272.25,214320,13287270,872930,22764313,6459620000000,1104974363,pass
47,256 20,11 44,3,16,187086464760.0,302512940109577.3,214320,13288911,872930,22764313,8074520000000,1104974363,pass
48,256 24,11 40,3,16,187086464760.0,302557760145943.56,214320,13290879,872930,22764313,9689420000000,1104974363,pass
49,256 28,11 36,3,16,187086464760.0,302612540190391.2,214320,13293286,872930,22764313,11304300000000,1104974363,pass
50,256 32,11 32,3,16,187086464760.0,302681015245950.6,214320,13296294,872930,22764313,12919200000000,1104974363,pass
51,256 36,11 28,3,16,187086464760.0,302769054603098.5,214320,13300161,872930,22764313,14534100000000,1104974363,pass
52,256 40,11 24,3,16,187086464760.0,302886440412629.0,214320,13305318,872930,22764313,16149000000000,1104974363,pass
53,256 44,11 20,3,16,187086464760.0,303050780545971.6,214320,13312537,872930,22764313,17763900000000,1104974363,pass
54,256 48,11 16,3,16,187086464760.0,303297290745985.75,214320,13323366,872930,22764313,19378800000000,1104974363,pass
55,256 16,12 48,3,16,187086464760.0,302475590079272.25,214320,13287270,872930,22764313,6459620000000,1104974363,pass
56,256 20,12 44,3,16,187086464760.0,302512940109577.3,214320,13288911,872930,22764313,8074520000000,1104974363,pass
57,256 24,12 40,3,16,187086464760.0,302557760145943.56,214320,13290879,872930,22764313,9689420000000,1104974363,pass
58,256 28,12 36,3,16,187086464760.0,302612540190391.2,214320,13293286,872930,22764313,11304300000000,1104974363,pass
59,256 32,12 32,3,16,187086464760.0,302681015245950.6,214320,13296294,872930,22764313,12919200000000,1104974363,pass
60,256 36,12 28,3,16,187086464760.0,302769054603098.5,214320,13300161,872930,22764313,14534100000000,1104974363,pass
61,256 40,12 24,3,16,187086464760.0,302886440412629.0,214320,13305318,872930,22764313,16149000000000,1104974363,pass
62,256 44,12 20,3,16,187086464760.0,303050780545971.6,214320,13312537,872930,22764313,17763900000000,1104974363,pass
63,256 48,12 16,3,16,187086464760.0,303297290745985.75,214320,13323366,872930,22764313,19378800000000,1104974363,pass
64,256 16,13 48,2,17,63413960040.0,314763301890421.5,91440,13319885,693503,23631081,6459620000000,1936955060,pass
65,256 20,13 44,2,17,63413960040.0,314844970906683.0,91440,13323341,693503,23631081,8074520000000,1936955060,pass
66,256 24,13 40,2,17,63413960040.0,314942973726196.9,91440,13327489,693503,23631081,9689420000000,1936955060,pass
67,256 28,13 36,2,17,63413960040.0,315062754950047.2,91440,13332557,693503,23631081,11304300000000,1936955060,pass
68,256 32,13 32,2,17,63413960040.0,315212481479860.06,91440,13338893,693503,23631081,12919200000000,1936955060,pass
69,256 36,13 28,2,17,63413960040.0,315404987018190.9,91440,13347040,693503,23631081,14534100000000,1936955060,pass
70,256 40,13 24,2,17,63413960040.0,315661661069298.6,91440,13357901,693503,23631081,16149000000000,1936955060,pass
71,256 44,13 20,2,17,63413960040.0,316021004740849.4,91440,13373108,693503,23631081,17763900000000,1936955060,pass
72,256 48,13 16,2,17,63413960040.0,316560020248175.7,91440,13395917,693503,23631081,19378800000000,1936955060,pass
