DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,19,940459440.0,46089410.5,102762000000000.0,807605000.0,1024 64,pass
1,13,416253360.0,20295890.5,6459620000000.0,50766476.92307692,256 16,pass
2,13,416253360.0,20295890.5,8074520000000.0,63457976.92307692,256 20,pass
3,13,416253360.0,20295890.5,9689420000000.0,76149500.0,256 24,pass
4,13,416253360.0,20295890.5,11304300000000.0,88841000.0,256 28,pass
5,13,416253360.0,20295890.5,12919200000000.0,101532769.23076925,256 32,pass
6,13,416253360.0,20295890.5,14534100000000.0,114224000.0,256 36,pass
7,13,416253360.0,20295890.5,16149000000000.0,126916000.0,256 40,pass
8,13,416253360.0,20295890.5,17763900000000.0,139607000.0,256 44,pass
9,13,416253360.0,20295890.5,19378800000000.0,152299000.0,256 48,pass
10,12,358745520.0,18210460.5,6459620000000.0,50766475.0,256 16,pass
11,12,358745520.0,18210460.5,8074520000000.0,63457975.0,256 20,pass
12,12,358745520.0,18210460.5,9689420000000.0,76149500.0,256 24,pass
13,12,358745520.0,18210460.5,11304300000000.0,88841000.0,256 28,pass
14,12,358745520.0,18210460.5,12919200000000.0,101532750.0,256 32,pass
15,12,358745520.0,18210460.5,14534100000000.0,114224000.0,256 36,pass
16,12,358745520.0,18210460.5,16149000000000.0,126916000.0,256 40,pass
17,12,358745520.0,18210460.5,17763900000000.0,139607000.0,256 44,pass
18,12,358745520.0,18210460.5,19378800000000.0,152299000.0,256 48,pass
19,10,252577200.0,16348918.5,6459620000000.0,50766470.0,256 16,pass
20,10,252577200.0,16348918.5,8074520000000.0,63457970.0,256 20,pass
21,10,252577200.0,16348918.5,9689420000000.0,76149500.0,256 24,pass
22,10,252577200.0,16348918.5,11304300000000.0,88841000.0,256 28,pass
23,10,252577200.0,16348918.5,12919200000000.0,101532700.0,256 32,pass
24,10,252577200.0,16348918.5,14534100000000.0,114224000.0,256 36,pass
25,10,252577200.0,16348918.5,16149000000000.0,126916000.0,256 40,pass
26,10,252577200.0,16348918.5,17763900000000.0,139607000.0,256 44,pass
27,10,252577200.0,16348918.5,19378800000000.0,152299000.0,256 48,pass
28,8,146408880.0,14487376.5,6459620000000.0,50766462.5,256 16,pass
29,8,146408880.0,14487376.5,8074520000000.0,63457962.5,256 20,pass
30,8,146408880.0,14487376.5,9689420000000.0,76149500.0,256 24,pass
31,8,146408880.0,14487376.5,11304300000000.0,88841000.0,256 28,pass
32,8,146408880.0,14487376.5,12919200000000.0,101532625.0,256 32,pass
33,8,146408880.0,14487376.5,14534100000000.0,114224000.0,256 36,pass
34,8,146408880.0,14487376.5,16149000000000.0,126916000.0,256 40,pass
35,8,146408880.0,14487376.5,17763900000000.0,139607000.0,256 44,pass
36,8,146408880.0,14487376.5,19378800000000.0,152299000.0,256 48,pass
37,8,146408880.0,14487376.5,6459620000000.0,50766462.5,256 16,pass
38,8,146408880.0,14487376.5,8074520000000.0,63457962.5,256 20,pass
39,8,146408880.0,14487376.5,9689420000000.0,76149500.0,256 24,pass
40,8,146408880.0,14487376.5,11304300000000.0,88841000.0,256 28,pass
41,8,146408880.0,14487376.5,12919200000000.0,101532625.0,256 32,pass
42,8,146408880.0,14487376.5,14534100000000.0,114224000.0,256 36,pass
43,8,146408880.0,14487376.5,16149000000000.0,126916000.0,256 40,pass
44,8,146408880.0,14487376.5,17763900000000.0,139607000.0,256 44,pass
45,8,146408880.0,14487376.5,19378800000000.0,152299000.0,256 48,pass
46,8,146408880.0,14487376.5,6459620000000.0,50766462.5,256 16,pass
47,8,146408880.0,14487376.5,8074520000000.0,63457962.5,256 20,pass
48,8,146408880.0,14487376.5,9689420000000.0,76149500.0,256 24,pass
49,8,146408880.0,14487376.5,11304300000000.0,88841000.0,256 28,pass
50,8,146408880.0,14487376.5,12919200000000.0,101532625.0,256 32,pass
51,8,146408880.0,14487376.5,14534100000000.0,114224000.0,256 36,pass
52,8,146408880.0,14487376.5,16149000000000.0,126916000.0,256 40,pass
53,8,146408880.0,14487376.5,17763900000000.0,139607000.0,256 44,pass
54,8,146408880.0,14487376.5,19378800000000.0,152299000.0,256 48,pass
55,6,84538800.0,9596455.5,6459620000000.0,50766466.66666666,256 16,pass
56,6,84538800.0,9596455.5,8074520000000.0,63457966.66666666,256 20,pass
