DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,19,13355539.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,24 64,pass
1,7,6259088.052245632,493988539.00527817,334.1721620896876,13727992.43929959,6 48,pass
2,7,6260309.870427449,493988539.00527817,334.1721620896876,13727992.43929959,6 44,pass
3,7,6261776.052245632,493988539.00527817,334.1721620896876,13727992.43929959,6 40,pass
4,7,6263568.052245632,493988539.00527817,334.1721620896876,13727992.43929959,6 36,pass
5,7,6265808.052245632,493988539.00527817,334.1721620896876,13727992.43929959,6 32,pass
6,7,6268688.052245632,493988539.00527817,334.1721620896876,13727992.43929959,6 28,pass
7,7,6272528.052245632,493988539.00527817,334.1721620896876,13727992.43929959,6 24,pass
8,7,6277904.052245632,493988539.00527817,334.1721620896876,13727992.43929959,6 20,pass
9,7,6285968.052245632,493988539.00527817,334.1721620896876,13727992.43929959,6 16,pass
10,11,11359600.348694338,604485975.361722,406.3534627859331,20534392.29727971,7 48,pass
11,11,11361241.075967064,604485975.361722,406.3534627859331,20534392.29727971,7 44,pass
12,11,11363209.948694335,604485975.361722,406.3534627859331,20534392.29727971,7 40,pass
13,11,11365616.348694338,604485975.361722,406.3534627859331,20534392.29727971,7 36,pass
14,11,11368624.348694338,604485975.361722,406.3534627859331,20534392.29727971,7 32,pass
15,11,11372491.777265765,604485975.361722,406.3534627859331,20534392.29727971,7 28,pass
16,11,11377648.348694338,604485975.361722,406.3534627859331,20534392.29727971,7 24,pass
17,11,11384867.548694337,604485975.361722,406.3534627859331,20534392.29727971,7 20,pass
18,11,11395696.348694338,604485975.361722,406.3534627859331,20534392.29727971,7 16,pass
19,13,11435980.136484183,851480244.864361,581.8713531527367,21557722.28799737,8 48,pass
20,13,11437620.863756912,851480244.864361,581.8713531527367,21557722.28799737,8 44,pass
21,13,11439589.736484185,851480244.864361,581.8713531527367,21557722.28799737,8 40,pass
22,13,11441996.136484183,851480244.864361,581.8713531527367,21557722.28799737,8 36,pass
23,13,11445004.136484183,851480244.864361,581.8713531527367,21557722.28799737,8 32,pass
24,13,11448871.565055612,851480244.864361,581.8713531527367,21557722.28799737,8 28,pass
25,13,11454028.136484183,851480244.864361,581.8713531527367,21557722.28799737,8 24,pass
26,13,11461247.336484184,851480244.864361,581.8713531527367,21557722.28799737,8 20,pass
27,13,11472076.136484183,851480244.864361,581.8713531527367,21557722.28799737,8 16,pass
28,15,11512359.924274031,1098474514.367,757.3892435195403,22581052.278715026,9 48,pass
29,15,11514000.65154676,1098474514.367,757.3892435195403,22581052.278715026,9 44,pass
30,15,11515969.524274033,1098474514.367,757.3892435195403,22581052.278715026,9 40,pass
31,15,11518375.924274031,1098474514.367,757.3892435195403,22581052.278715026,9 36,pass
32,15,11521383.924274031,1098474514.367,757.3892435195403,22581052.278715026,9 32,pass
33,15,11525251.35284546,1098474514.367,757.3892435195403,22581052.278715026,9 28,pass
34,15,11530407.924274031,1098474514.367,757.3892435195403,22581052.278715026,9 24,pass
35,15,11537627.124274032,1098474514.367,757.3892435195403,22581052.278715026,9 20,pass
36,15,11548455.924274031,1098474514.367,757.3892435195403,22581052.278715026,9 16,pass
37,15,11512359.924274031,1098474514.367,757.3892435195403,22581052.278715026,10 48,pass
38,15,11514000.65154676,1098474514.367,757.3892435195403,22581052.278715026,10 44,pass
