DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,19,189140160.0,54882764.0,102762000000000.0,807605000.0,1024 64,pass
1,19,243783840.0,55444857.0,6459620000000.0,50766484.21052632,256 16,fail
2,19,243783840.0,55444857.0,8074520000000.0,63457984.21052632,256 20,fail
3,19,243783840.0,55444857.0,9689420000000.0,76149500.0,256 24,fail
4,19,243783840.0,55444857.0,11304300000000.0,88841000.0,256 28,fail
5,19,243783840.0,55444857.0,12919200000000.0,101532842.10526316,256 32,fail
6,19,243783840.0,55444857.0,14534100000000.0,114224000.0,256 36,fail
7,19,243783840.0,55444857.0,16149000000000.0,126916000.0,256 40,fail
8,19,243783840.0,55444857.0,17763900000000.0,139607000.0,256 44,fail
9,19,243783840.0,55444857.0,19378800000000.0,152299000.0,256 48,fail
10,19,243783840.0,55444857.0,6459620000000.0,50766484.21052632,256 16,fail
11,19,243783840.0,55444857.0,8074520000000.0,63457984.21052632,256 20,fail
12,19,243783840.0,55444857.0,9689420000000.0,76149500.0,256 24,fail
13,19,243783840.0,55444857.0,11304300000000.0,88841000.0,256 28,fail
14,19,243783840.0,55444857.0,12919200000000.0,101532842.10526316,256 32,fail
15,19,243783840.0,55444857.0,14534100000000.0,114224000.0,256 36,fail
16,19,243783840.0,55444857.0,16149000000000.0,126916000.0,256 40,fail
17,19,243783840.0,55444857.0,17763900000000.0,139607000.0,256 44,fail
18,19,243783840.0,55444857.0,19378800000000.0,152299000.0,256 48,fail
19,19,243783840.0,55444857.0,6459620000000.0,50766484.21052632,256 16,fail
20,19,243783840.0,55444857.0,8074520000000.0,63457984.21052632,256 20,fail
21,19,243783840.0,55444857.0,9689420000000.0,76149500.0,256 24,fail
22,19,243783840.0,55444857.0,11304300000000.0,88841000.0,256 28,fail
23,19,243783840.0,55444857.0,12919200000000.0,101532842.10526316,256 32,fail
24,19,243783840.0,55444857.0,14534100000000.0,114224000.0,256 36,fail
25,19,243783840.0,55444857.0,16149000000000.0,126916000.0,256 40,fail
26,19,243783840.0,55444857.0,17763900000000.0,139607000.0,256 44,fail
27,19,243783840.0,55444857.0,19378800000000.0,152299000.0,256 48,fail
28,17,194631840.0,51136144.0,6459620000000.0,50766488.23529412,256 16,fail
29,17,194631840.0,51136144.0,8074520000000.0,63457988.23529412,256 20,fail
30,17,194631840.0,51136144.0,9689420000000.0,76149500.0,256 24,fail
31,17,194631840.0,51136144.0,11304300000000.0,88841000.0,256 28,fail
32,17,194631840.0,51136144.0,12919200000000.0,101532882.35294116,256 32,fail
33,17,194631840.0,51136144.0,14534100000000.0,114224000.0,256 36,fail
34,17,194631840.0,51136144.0,16149000000000.0,126916000.0,256 40,fail
35,17,194631840.0,51136144.0,17763900000000.0,139607000.0,256 44,fail
36,17,194631840.0,51136144.0,19378800000000.0,152299000.0,256 48,fail
37,15,159242400.0,41023484.0,6459620000000.0,50766486.66666666,256 16,pass
38,15,159242400.0,41023484.0,8074520000000.0,63457986.66666666,256 20,pass
39,15,159242400.0,41023484.0,9689420000000.0,76149500.0,256 24,pass
40,15,159242400.0,41023484.0,11304300000000.0,88841000.0,256 28,pass
41,15,159242400.0,41023484.0,12919200000000.0,101532866.66666669,256 32,pass
42,15,159242400.0,41023484.0,14534100000000.0,114224000.0,256 36,pass
43,15,159242400.0,41023484.0,16149000000000.0,126916000.0,256 40,pass
44,15,159242400.0,41023484.0,17763900000000.0,139607000.0,256 44,pass
45,15,159242400.0,41023484.0,19378800000000.0,152299000.0,256 48,pass
46,15,159242400.0,41023484.0,6459620000000.0,50766486.66666666,256 16,pass
47,15,159242400.0,41023484.0,8074520000000.0,63457986.66666666,256 20,pass
48,15,159242400.0,41023484.0,9689420000000.0,76149500.0,256 24,pass
49,15,159242400.0,41023484.0,11304300000000.0,88841000.0,256 28,pass
50,15,159242400.0,41023484.0,12919200000000.0,101532866.66666669,256 32,pass
51,15,159242400.0,41023484.0,14534100000000.0,114224000.0,256 36,pass
52,15,159242400.0,41023484.0,16149000000000.0,126916000.0,256 40,pass
53,15,159242400.0,41023484.0,17763900000000.0,139607000.0,256 44,pass
54,15,159242400.0,41023484.0,19378800000000.0,152299000.0,256 48,pass
55,8,59187360.0,14013629.0,6459620000000.0,50766487.5,256 16,pass
56,8,59187360.0,14013629.0,8074520000000.0,63457987.5,256 20,pass
57,8,59187360.0,14013629.0,9689420000000.0,76149500.0,256 24,pass
58,8,59187360.0,14013629.0,11304300000000.0,88841000.0,256 28,pass
59,8,59187360.0,14013629.0,12919200000000.0,101532875.0,256 32,pass
60,8,59187360.0,14013629.0,14534100000000.0,114224000.0,256 36,pass
61,8,59187360.0,14013629.0,16149000000000.0,126916000.0,256 40,pass
62,8,59187360.0,14013629.0,17763900000000.0,139607000.0,256 44,pass
63,8,59187360.0,14013629.0,19378800000000.0,152299000.0,256 48,pass
64,5,32645280.0,9164039.0,6459620000000.0,50766480.0,256 16,pass
65,5,32645280.0,9164039.0,8074520000000.0,63457980.0,256 20,pass
66,5,32645280.0,9164039.0,9689420000000.0,76149500.0,256 24,pass
67,5,32645280.0,9164039.0,11304300000000.0,88841000.0,256 28,pass
68,5,32645280.0,9164039.0,12919200000000.0,101532800.0,256 32,pass
69,5,32645280.0,9164039.0,14534100000000.0,114224000.0,256 36,pass
70,5,32645280.0,9164039.0,16149000000000.0,126916000.0,256 40,pass
71,5,32645280.0,9164039.0,17763900000000.0,139607000.0,256 44,pass
72,5,32645280.0,9164039.0,19378800000000.0,152299000.0,256 48,pass
73,0,0.0,0.0,6459620000000.0,,256 16,fail
74,0,0.0,0.0,8074520000000.0,,256 20,fail
75,0,0.0,0.0,9689420000000.0,,256 24,fail
76,0,0.0,0.0,11304300000000.0,,256 28,fail
77,0,0.0,0.0,12919200000000.0,,256 32,fail
78,0,0.0,0.0,14534100000000.0,,256 36,fail
79,0,0.0,0.0,16149000000000.0,,256 40,fail
80,0,0.0,0.0,17763900000000.0,,256 44,fail
81,0,0.0,0.0,19378800000000.0,,256 48,fail
82,0,0.0,0.0,6459620000000.0,,256 16,fail
83,0,0.0,0.0,8074520000000.0,,256 20,fail
84,0,0.0,0.0,9689420000000.0,,256 24,fail
85,0,0.0,0.0,11304300000000.0,,256 28,fail
86,0,0.0,0.0,12919200000000.0,,256 32,fail
87,0,0.0,0.0,14534100000000.0,,256 36,fail
88,0,0.0,0.0,16149000000000.0,,256 40,fail
89,0,0.0,0.0,17763900000000.0,,256 44,fail
90,0,0.0,0.0,19378800000000.0,,256 48,fail
91,0,0.0,0.0,6459620000000.0,,256 16,fail
92,0,0.0,0.0,8074520000000.0,,256 20,fail
93,0,0.0,0.0,9689420000000.0,,256 24,fail
94,0,0.0,0.0,11304300000000.0,,256 28,fail
95,0,0.0,0.0,12919200000000.0,,256 32,fail
