DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
1,1024 16,6 48,11,8,165630380677506.0,159291312944896.06,25690900000000.0,pass
2,1024 20,6 44,11,8,165630380677506.0,159312687665806.47,32113400000000.0,pass
3,1024 24,6 40,11,8,165630380677506.0,159338337330899.0,38536000000000.0,pass
4,1024 28,6 36,11,8,165630380677506.0,159369686921567.6,44958600000000.0,pass
5,1024 32,6 32,11,8,165630380677506.0,159408873909903.38,51381200000000.0,pass
6,1024 36,6 28,11,8,165630380677506.0,159459257180620.78,57803700000000.0,pass
7,1024 40,6 24,11,8,165630380677506.0,159526434874910.7,64226300000000.0,pass
8,1024 44,6 20,11,8,165630380677506.0,159620483646916.53,70648900000000.0,pass
9,1024 48,6 16,11,8,165630380677506.0,159761556804925.28,77071500000000.0,pass
10,1024 16,7 48,7,12,13064748363972.0,272116245619592.84,25690900000000.0,pass
11,1024 20,7 44,7,12,13064748363972.0,272150237639048.47,32113400000000.0,pass
12,1024 24,7 40,7,12,13064748363972.0,272191028062395.25,38536000000000.0,pass
13,1024 28,7 36,7,12,13064748363972.0,272240883024263.44,44958600000000.0,pass
14,1024 32,7 32,7,12,13064748363972.0,272303201726598.75,51381200000000.0,pass
15,1024 36,7 28,7,12,13064748363972.0,272383325772458.44,57803700000000.0,pass
16,1024 40,7 24,7,12,13064748363972.0,272490157833604.66,64226300000000.0,pass
17,1024 44,7 20,7,12,13064748363972.0,272639722719209.38,70648900000000.0,pass
18,1024 48,7 16,7,12,13064748363972.0,272864070047616.47,77071500000000.0,pass
19,1024 16,8 48,5,14,2613536504460.0,287217756121902.56,25690900000000.0,pass
20,1024 20,8 44,5,14,2613536504460.0,287253427146782.9,32113400000000.0,pass
21,1024 24,8 40,5,14,2613536504460.0,287296232376639.44,38536000000000.0,pass
22,1024 28,8 36,5,14,2613536504460.0,287348549879797.3,44958600000000.0,pass
23,1024 32,8 32,5,14,2613536504460.0,287413946758744.7,51381200000000.0,pass
24,1024 36,8 28,5,14,2613536504460.0,287498028460248.44,57803700000000.0,pass
25,1024 40,8 24,5,14,2613536504460.0,287610137395586.9,64226300000000.0,pass
26,1024 44,8 20,5,14,2613536504460.0,287767089905060.5,70648900000000.0,pass
27,1024 48,8 16,5,14,2613536504460.0,288002518669271.1,77071500000000.0,pass
28,1024 16,9 48,3,16,44982005148.0,302475590079272.25,25690900000000.0,pass
29,1024 20,9 44,3,16,44982005148.0,302512940109577.3,32113400000000.0,pass
30,1024 24,9 40,3,16,44982005148.0,302557760145943.56,38536000000000.0,pass
31,1024 28,9 36,3,16,44982005148.0,302612540190391.2,44958600000000.0,pass
32,1024 32,9 32,3,16,44982005148.0,302681015245950.6,51381200000000.0,pass
33,1024 36,9 28,3,16,44982005148.0,302769054603098.5,57803700000000.0,pass
34,1024 40,9 24,3,16,44982005148.0,302886440412629.0,64226300000000.0,pass
35,1024 44,9 20,3,16,44982005148.0,303050780545971.6,70648900000000.0,pass
36,1024 48,9 16,3,16,44982005148.0,303297290745985.75,77071500000000.0,pass
37,1024 16,10 48,3,16,44982005148.0,302475590079272.25,25690900000000.0,pass
38,1024 20,10 44,3,16,44982005148.0,302512940109577.3,32113400000000.0,pass
39,1024 24,10 40,3,16,44982005148.0,302557760145943.56,38536000000000.0,pass
40,1024 28,10 36,3,16,44982005148.0,302612540190391.2,44958600000000.0,pass
