DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,19,13355539.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,26 64,pass
1,8,10406152.10449127,389990951.8462722,255.96438651715263,15307417.318659635,6 48,pass
2,8,10407548.468127633,389990951.8462722,255.96438651715263,15307417.318659635,6 44,pass
3,8,10409224.10449127,389990951.8462722,255.96438651715263,15307417.318659635,6 40,pass
4,8,10411272.10449127,389990951.8462722,255.96438651715263,15307417.318659635,6 36,pass
5,8,10413832.10449127,389990951.8462722,255.96438651715263,15307417.318659635,6 32,pass
6,8,10417123.533062696,389990951.8462722,255.96438651715263,15307417.318659635,6 28,pass
7,8,10421512.10449127,389990951.8462722,255.96438651715263,15307417.318659635,6 24,pass
8,8,10427656.10449127,389990951.8462722,255.96438651715263,15307417.318659635,6 20,pass
9,8,10436872.10449127,389990951.8462722,255.96438651715263,15307417.318659635,6 16,pass
10,12,13134510.767244551,610985824.5591599,406.66684869328407,20717653.701895688,7 48,pass
11,12,13136151.494517278,610985824.5591599,406.66684869328407,20717653.701895688,7 44,pass
12,12,13138120.367244553,610985824.5591599,406.66684869328407,20717653.701895688,7 40,pass
13,12,13140526.767244551,610985824.5591599,406.66684869328407,20717653.701895688,7 36,pass
14,12,13143534.767244551,610985824.5591599,406.66684869328407,20717653.701895688,7 32,pass
15,12,13147402.19581598,610985824.5591599,406.66684869328407,20717653.701895688,7 28,pass
16,12,13152558.767244551,610985824.5591599,406.66684869328407,20717653.701895688,7 24,pass
17,12,13159777.96724455,610985824.5591599,406.66684869328407,20717653.701895688,7 20,pass
18,12,13170606.767244551,610985824.5591599,406.66684869328407,20717653.701895688,7 16,pass
19,14,13210890.5550344,857980094.0617989,582.1847390600876,21740983.692613345,8 48,pass
20,14,13212531.282307126,857980094.0617989,582.1847390600876,21740983.692613345,8 44,pass
21,14,13214500.1550344,857980094.0617989,582.1847390600876,21740983.692613345,8 40,pass
22,14,13216906.5550344,857980094.0617989,582.1847390600876,21740983.692613345,8 36,pass
23,14,13219914.5550344,857980094.0617989,582.1847390600876,21740983.692613345,8 32,pass
24,14,13223781.983605828,857980094.0617989,582.1847390600876,21740983.692613345,8 28,pass
25,14,13228938.5550344,857980094.0617989,582.1847390600876,21740983.692613345,8 24,pass
26,14,13236157.755034398,857980094.0617989,582.1847390600876,21740983.692613345,8 20,pass
27,14,13246986.5550344,857980094.0617989,582.1847390600876,21740983.692613345,8 16,pass
28,16,13287270.342824249,1104974363.564438,757.7026294268912,22764313.683331,9 48,pass
29,16,13288911.070096971,1104974363.564438,757.7026294268912,22764313.683331,9 44,pass
30,16,13290879.942824246,1104974363.564438,757.7026294268912,22764313.683331,9 40,pass
31,16,13293286.342824249,1104974363.564438,757.7026294268912,22764313.683331,9 36,pass
32,16,13296294.342824249,1104974363.564438,757.7026294268912,22764313.683331,9 32,pass
33,16,13300161.771395676,1104974363.564438,757.7026294268912,22764313.683331,9 28,pass
34,16,13305318.342824249,1104974363.564438,757.7026294268912,22764313.683331,9 24,pass
35,16,13312537.542824246,1104974363.564438,757.7026294268912,22764313.683331,9 20,pass
36,16,13323366.342824249,1104974363.564438,757.7026294268912,22764313.683331,9 16,pass
37,16,13287270.342824249,1104974363.564438,757.7026294268912,22764313.683331,10 48,pass
38,16,13288911.070096971,1104974363.564438,757.7026294268912,22764313.683331,10 44,pass
39,16,13290879.942824246,1104974363.564438,757.7026294268912,22764313.683331,10 40,pass
40,16,13293286.342824249,1104974363.564438,757.7026294268912,22764313.683331,10 36,pass
41,16,13296294.342824249,1104974363.564438,757.7026294268912,22764313.683331,10 32,pass
42,16,13300161.771395676,1104974363.564438,757.7026294268912,22764313.683331,10 28,pass
43,16,13305318.342824249,1104974363.564438,757.7026294268912,22764313.683331,10 24,pass
44,16,13312537.542824246,1104974363.564438,757.7026294268912,22764313.683331,10 20,pass
45,16,13323366.342824249,1104974363.564438,757.7026294268912,22764313.683331,10 16,pass
46,16,13287270.342824249,1104974363.564438,757.7026294268912,22764313.683331,11 48,pass
47,16,13288911.070096971,1104974363.564438,757.7026294268912,22764313.683331,11 44,pass
48,16,13290879.942824246,1104974363.564438,757.7026294268912,22764313.683331,11 40,pass
49,16,13293286.342824249,1104974363.564438,757.7026294268912,22764313.683331,11 36,pass
50,16,13296294.342824249,1104974363.564438,757.7026294268912,22764313.683331,11 32,pass
51,16,13300161.771395676,1104974363.564438,757.7026294268912,22764313.683331,11 28,pass
52,16,13305318.342824249,1104974363.564438,757.7026294268912,22764313.683331,11 24,pass
53,16,13312537.542824246,1104974363.564438,757.7026294268912,22764313.683331,11 20,pass
54,16,13323366.342824249,1104974363.564438,757.7026294268912,22764313.683331,11 16,pass
55,16,13287270.342824249,1104974363.564438,757.7026294268912,22764313.683331,12 48,pass
56,16,13288911.070096971,1104974363.564438,757.7026294268912,22764313.683331,12 44,pass
57,16,13290879.942824246,1104974363.564438,757.7026294268912,22764313.683331,12 40,pass
58,16,13293286.342824249,1104974363.564438,757.7026294268912,22764313.683331,12 36,pass
59,16,13296294.342824249,1104974363.564438,757.7026294268912,22764313.683331,12 32,pass
60,16,13300161.771395676,1104974363.564438,757.7026294268912,22764313.683331,12 28,pass
61,16,13305318.342824249,1104974363.564438,757.7026294268912,22764313.683331,12 24,pass
62,16,13312537.542824246,1104974363.564438,757.7026294268912,22764313.683331,12 20,pass
63,16,13323366.342824249,1104974363.564438,757.7026294268912,22764313.683331,12 16,pass
64,17,13319885.816297978,1936955060.836485,1349.168938864922,23631081.09419997,13 48,pass
65,17,13323341.816297976,1936955060.836485,1349.168938864922,23631081.09419997,13 44,pass
66,17,13327489.016297976,1936955060.836485,1349.168938864922,23631081.09419997,13 40,pass
67,17,13332557.816297978,1936955060.836485,1349.168938864922,23631081.09419997,13 36,pass
68,17,13338893.816297978,1936955060.836485,1349.168938864922,23631081.09419997,13 32,pass
69,17,13347040.102012264,1936955060.836485,1349.168938864922,23631081.09419997,13 28,pass
70,17,13357901.816297978,1936955060.836485,1349.168938864922,23631081.09419997,13 24,pass
71,17,13373108.216297977,1936955060.836485,1349.168938864922,23631081.09419997,13 20,pass
72,17,13395917.816297978,1936955060.836485,1349.168938864922,23631081.09419997,13 16,pass
73,19,13371667.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 48,fail
74,19,13377532.490518166,2560940583.790521,1792.7686709434452,24281156.652351703,14 44,fail
75,19,13384570.16324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 40,fail
76,19,13393171.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 36,fail
77,19,13403923.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 32,fail
78,19,13417747.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 28,fail
79,19,13436179.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 24,fail
80,19,13461984.563245438,2560940583.790521,1792.7686709434452,24281156.652351703,14 20,fail
81,19,13500691.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,14 16,fail
82,19,13371667.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 48,fail
83,19,13377532.490518166,2560940583.790521,1792.7686709434452,24281156.652351703,15 44,fail
84,19,13384570.16324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 40,fail
85,19,13393171.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 36,fail
86,19,13403923.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 32,fail
87,19,13417747.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 28,fail
88,19,13436179.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,15 24,fail
